matchId,gameDuration,Input_Role,Input_Player_ID,Input_Ally_TOP_ID,Input_Enemy_TOP_ID,Input_Ally_JUNGLE_ID,Input_Enemy_JUNGLE_ID,Input_Ally_MIDDLE_ID,Input_Enemy_MIDDLE_ID,Input_Ally_BOTTOM_ID,Input_Enemy_BOTTOM_ID,Input_Ally_UTILITY_ID,Input_Enemy_UTILITY_ID,Target_GoldDiff_5,Target_XpDiff_5,Target_CsDiff_5,Target_GoldDiff_10,Target_XpDiff_10,Target_CsDiff_10,Target_GoldDiff_15,Target_XpDiff_15,Target_CsDiff_15,Target_GoldDiff_20,Target_XpDiff_20,Target_CsDiff_20,Target_EarlyTakedowns,Target_LaneCsBefore10,Target_DmgTotal,Target_DmgPhys,Target_DmgMagic,Target_DmgTrue,Target_DmgTurret,Target_DmgObj,Target_TotalCS,Target_GoldEarned,Target_DragonTakedowns,Target_BaronTakedowns,Target_RiftHeraldTakedowns,Target_VoidMonsterTakedowns,Target_TurretPlates,Target_MaxCsAdvantage,Target_SoloKills,Target_VisionScore,Target_WardsPlaced,Target_WardsKilled,Target_ControlWardsPlaced,Target_TimeCC,Target_TotalCC,Target_TotalHeal,Target_HealOnTeammates,Target_DamageShielded,Target_DamageTaken,Target_DamageMitigated,Target_KillParticipation,Target_Team_Dragons,Target_Team_Barons,Target_Team_Towers,Target_Team_Inhibitors,Target_Team_RiftHeralds,Target_Team_VoidGrubs,Target_Team_ElderDragons,Target_JgCsBefore10,Target_EnemyJgInvades
EUW1_7714276123,25.33333333333333,TOP,24,24,887,36,59,13,134,523,42,111,517,-84,178,-6,221,426,3,1260,2060,38,2314,1819,46,2,81.0,843.1184210526317,496.6973684210527,301.0657894736842,45.31578947368421,716.0131578947369,716.0131578947369,226,11988,0,0,0,0,17,62.25,3,0.7894736842105263,0.3157894736842105,0.0394736842105263,0.0,0.5526315789473685,3.986842105263158,225.31578947368425,0.0,0.0,829.1842105263158,574.1842105263158,0.46,3,1,7,1,1,2,0,,
EUW1_7714276123,25.33333333333333,JUNGLE,36,24,887,36,59,13,134,523,42,111,517,116,154,8,85,501,16,223,782,19,1140,2383,29,2,,708.1184210526316,402.2763157894737,282.8684210526316,22.97368421052632,153.55263157894737,2102.0526315789475,205,11638,3,1,1,4,15,50.8500000834465,2,1.2631578947368425,0.2368421052631579,0.1973684210526315,0.0789473684210526,0.4736842105263158,18.63157894736842,1446.9868421052631,0.0,0.0,1411.7763157894738,1018.7763157894738,0.62,3,1,7,1,1,2,0,92.0,15.0
EUW1_7714276123,25.33333333333333,MIDDLE,13,24,887,36,59,13,134,523,42,111,517,-234,-198,-8,-956,-569,-17,-1896,-584,-23,-1826,-705,-26,0,85.0,531.1973684210526,25.73684210526316,504.8684210526316,0.5921052631578948,237.1184210526316,312.3157894736842,241,10600,2,0,0,2,16,2.0,0,0.7894736842105263,0.3947368421052631,0.0394736842105263,0.0394736842105263,0.75,1.6578947368421053,213.9078947368421,0.0,0.0,756.1578947368422,506.4473684210527,0.29,3,1,7,1,1,2,0,,
EUW1_7714276123,25.33333333333333,BOTTOM,523,24,887,36,59,13,134,523,42,111,517,-861,-85,12,-1075,-215,15,-971,-889,-4,-1492,-539,10,6,86.0,949.342105263158,885.75,63.55263157894737,0.0,239.01315789473685,545.921052631579,207,12237,2,1,0,1,10,17.0,1,0.7105263157894737,0.3552631578947368,0.1578947368421052,0.0,0.4736842105263158,2.8421052631578947,239.25,0.0,0.0,752.6447368421053,397.3815789473685,0.54,3,1,7,1,1,2,0,,
EUW1_7714276123,25.33333333333333,UTILITY,111,24,887,36,59,13,134,523,42,111,517,-360,-94,0,-493,148,3,-453,308,6,-370,-39,3,5,23.0,309.67105263157896,87.82894736842105,186.94736842105263,34.85526315789474,0.0,105.4342105263158,33,8175,1,1,0,3,5,8.0,0,3.118421052631579,1.5,0.1578947368421052,0.3157894736842105,2.013157894736842,7.855263157894737,78.11842105263159,0.0,78.98684210526316,615.2763157894738,823.421052631579,0.67,3,1,7,1,1,2,0,,
EUW1_7714247285,31.966666666666665,TOP,92,92,58,200,64,103,517,115,136,526,267,-205,-354,-3,-867,-677,-31,-2019,-1550,-41,-3155,-3052,-62,1,58.0,394.8488008342024,355.5891553701773,0.0,39.25964546402503,414.7758081334724,419.4056308654849,241,12750,0,0,1,1,17,9.0,2,0.8133472367049009,0.2815432742440041,0.0312825860271115,0.0,0.7194994786235662,6.475495307612096,156.63190823774767,0.0,0.0,710.8342022940564,1003.8894681960376,0.17,2,1,8,2,1,3,0,,
EUW1_7714247285,31.966666666666665,JUNGLE,200,92,58,200,64,103,517,115,136,526,267,-1025,-353,-4,-210,41,4,477,-26,12,2357,1481,13,9,,934.8175182481752,605.1303441084464,115.6517205422315,213.9728884254432,62.877997914494266,1758.9572471324298,248,18502,2,1,1,5,12,39.25,2,1.1574556830031284,0.0,0.3441084462982273,0.0,1.2200208550573517,13.169968717413974,696.8821689259646,0.0,0.0,1284.900938477581,1528.4671532846717,0.6,2,1,8,2,1,3,0,68.0,29.0
EUW1_7714247285,31.966666666666665,MIDDLE,103,92,58,200,64,103,517,115,136,526,267,-247,-112,6,-903,-786,-3,-2539,-1567,-9,-3457,-2356,-7,1,70.0,745.6204379562045,66.53806047966633,478.4984358706986,200.5213764337852,66.91345151199167,117.5599582898853,233,11518,1,1,0,1,7,24.0,1,0.7507820646506779,0.1876955161626694,0.218978102189781,0.0312825860271115,0.9071949947862356,1.9395203336809177,118.18561001042754,0.0,0.0,725.6621480709073,527.7059436913452,0.23,2,1,8,2,1,3,0,,
EUW1_7714247285,31.966666666666665,BOTTOM,115,92,58,200,64,103,517,115,136,526,267,103,-3,18,1542,916,42,2706,781,54,3462,740,62,11,84.0,1384.0354535974975,47.61209593326382,1269.9165797705944,66.47549530761209,302.9405630865485,549.541188738269,264,16650,1,1,1,2,11,61.0,2,1.251303441084463,0.4692387904066736,0.1876955161626694,0.1564129301355578,0.6569343065693432,8.070907194994787,41.69968717413973,0.0,0.0,567.747653806048,224.3274244004171,0.74,2,1,8,2,1,3,0,,
EUW1_7714247285,31.966666666666665,UTILITY,526,92,58,200,64,103,517,115,136,526,267,536,329,4,762,370,7,1165,1168,6,829,305,4,13,11.0,403.2950990615224,95.91240875912408,284.3274244004171,23.02398331595412,104.76538060479668,144.21272158498437,18,10453,1,1,1,2,9,8.0,0,3.7226277372262775,1.7205422314911367,0.218978102189781,0.3753910323253389,2.095933263816476,8.75912408759124,286.51720542231493,18.36287799791449,0.0,1017.5912408759124,1402.1793534932222,0.77,2,1,8,2,1,3,0,,
