matchId,teamId,patch,window_early,window_mid,is_neutral_early,gold_diff_14,tower_diff_14,OBS_TEAM_FOCUS_EARLY,SUCCESS_TEAM_FOCUS_EARLY,OBS_JG_STYLE_EARLY,SUCCESS_JG_STYLE_EARLY,OBS_MAP_MODE_MID,SUCCESS_MAP_MODE_MID,X_BOTTOM_Champ,X_JUNGLE_Champ,X_MIDDLE_Champ,X_TOP_Champ,X_UTILITY_Champ
7696104692,100,16.2,0-14,14-25,0,-2602,0,BOT,1,MIXED,,SPLIT,1,804,203,517,31,40
7696104692,200,16.2,0-14,14-25,0,-2602,0,TOP,0,FARM_HEAVY,0,SPLIT,1,222,59,61,122,76
7696110210,100,16.2,0-14,14-25,0,-8324,-2,NEUTRAL,,FARM_HEAVY,1,,,21,28,117,98,526
7696110210,200,16.2,0-14,14-25,0,-8324,-2,NEUTRAL,,MIXED,,,,222,517,134,8,43
7696116882,100,16.2,0-14,14-25,1,-1591,0,BOT,1,FARM_HEAVY,0,GROUP,1,523,106,268,8,412
7696116882,200,16.2,0-14,14-25,1,-1591,0,NEUTRAL,,GANK_HEAVY,1,GROUP,1,29,31,41,69,117
7696133382,100,16.2,0-14,14-25,1,1422,-1,NEUTRAL,,GANK_HEAVY,1,SPLIT,1,42,234,101,24,555
7696133382,200,16.2,0-14,14-25,1,1422,-1,NEUTRAL,,GANK_HEAVY,1,GROUP,1,81,20,110,41,432
7696135813,100,16.2,0-14,14-25,1,-1580,-1,BOT,1,MIXED,,GROUP,1,15,76,35,799,201
7696135813,200,16.2,0-14,14-25,1,-1580,-1,NEUTRAL,,FARM_HEAVY,0,GROUP,1,222,107,84,150,12
7696145063,100,16.2,0-14,14-25,0,-4585,-1,NEUTRAL,,MIXED,,GROUP,1,804,59,13,39,412
7696145063,200,16.2,0-14,14-25,0,-4585,-1,NEUTRAL,,MIXED,,SPLIT,1,81,77,3,68,161
7696150890,100,16.2,0-14,14-25,1,329,0,NEUTRAL,,FARM_HEAVY,1,GROUP,1,15,30,238,67,34
7696150890,200,16.2,0-14,14-25,1,329,0,NEUTRAL,,MIXED,,SPLIT,1,145,92,154,41,497
7696166812,100,16.2,0-14,14-25,1,1671,0,NEUTRAL,,MIXED,,GROUP,1,804,36,103,126,117
7696166812,200,16.2,0-14,14-25,1,1671,0,TOP,1,FARM_HEAVY,1,GROUP,0,51,121,84,67,432
7696169869,100,16.2,0-14,14-25,0,312,-2,NEUTRAL,,GANK_HEAVY,1,GROUP,1,42,28,157,897,201
7696169869,200,16.2,0-14,14-25,0,312,-2,NEUTRAL,,FARM_HEAVY,1,GROUP,1,15,163,39,106,497
7696172482,100,16.2,0-14,14-25,0,-5150,0,NEUTRAL,,MIXED,,GROUP,1,22,234,103,8,555
7696172482,200,16.2,0-14,14-25,0,-5150,0,NEUTRAL,,FARM_HEAVY,1,GROUP,1,523,59,99,777,902
7696179711,100,16.2,0-14,14-25,1,1965,0,BOT,0,MIXED,,SPLIT,1,804,59,166,69,267
7696179711,200,16.2,0-14,14-25,1,1965,0,NEUTRAL,,MIXED,,GROUP,1,236,427,112,13,44
7696181274,100,16.2,0-14,14-25,1,-1800,0,NEUTRAL,,MIXED,,GROUP,1,804,799,34,68,432
7696181274,200,16.2,0-14,14-25,1,-1800,0,BOT,1,FARM_HEAVY,1,GROUP,1,222,266,134,904,201
7696184088,100,16.2,0-14,14-25,0,-8240,-3,NEUTRAL,,GANK_HEAVY,1,GROUP,0,22,92,163,516,117
7696184088,200,16.2,0-14,14-25,0,-8240,-3,NEUTRAL,,GANK_HEAVY,1,GROUP,1,81,233,245,110,555
7696185837,100,16.2,0-14,14-25,0,-9071,-3,BOT,1,MIXED,,,,236,266,157,887,267
7696185837,200,16.2,0-14,14-25,0,-9071,-3,NEUTRAL,,FARM_HEAVY,1,,,29,246,904,6,44
7696188957,100,16.2,0-14,14-25,1,-2168,0,BOT,0,GANK_HEAVY,1,,,804,107,142,39,117
7696188957,200,16.2,0-14,14-25,1,-2168,0,NEUTRAL,,MIXED,,,,202,24,8,110,518
7696189072,100,16.2,0-14,14-25,1,-2192,-1,NEUTRAL,,FARM_HEAVY,1,,,15,163,157,98,201
7696189072,200,16.2,0-14,14-25,1,-2192,-1,NEUTRAL,,FARM_HEAVY,0,,,21,421,3,2,53
7696193299,100,16.2,0-14,14-25,1,344,1,NEUTRAL,,FARM_HEAVY,1,,,15,163,157,68,12
7696193299,200,16.2,0-14,14-25,1,344,1,TOP,0,FARM_HEAVY,0,,,51,203,268,74,34
7696201453,100,16.2,0-14,14-25,0,7767,2,BOT,1,FARM_HEAVY,1,,,202,266,134,83,245
7696201453,200,16.2,0-14,14-25,0,7767,2,BOT,0,MIXED,,,,222,30,42,893,526
7696204095,100,16.2,0-14,14-25,1,1260,0,BOT,1,GANK_HEAVY,1,,,202,19,112,58,26
7696204095,200,16.2,0-14,14-25,1,1260,0,BOT,0,GANK_HEAVY,1,,,110,517,126,238,37
7696204904,100,16.2,0-14,14-25,1,-1540,0,NEUTRAL,,GANK_HEAVY,1,,,51,234,50,113,89
7696204904,200,16.2,0-14,14-25,1,-1540,0,NEUTRAL,,MIXED,,,,29,131,42,84,432
7696207393,100,16.2,0-14,14-25,0,-4307,0,NEUTRAL,,FARM_HEAVY,0,,,145,266,777,68,78
7696207393,200,16.2,0-14,14-25,0,-4307,0,NEUTRAL,,MIXED,,,,81,799,800,24,111
7696209305,100,16.2,0-14,14-25,1,-2249,0,NEUTRAL,,FARM_HEAVY,0,GROUP,1,96,203,800,17,117
7696209305,200,16.2,0-14,14-25,1,-2249,0,BOT,1,GANK_HEAVY,1,GROUP,1,110,76,166,150,201
7696210230,100,16.2,0-14,14-25,1,172,-1,NEUTRAL,,GANK_HEAVY,1,GROUP,1,523,20,54,38,518
7696210230,200,16.2,0-14,14-25,1,172,-1,NEUTRAL,,GANK_HEAVY,1,GROUP,1,119,76,157,24,89
7696210884,100,16.2,0-14,14-25,1,-1779,0,TOP,1,FARM_HEAVY,1,SPLIT,1,26,5,777,58,518
7696210884,200,16.2,0-14,14-25,1,-1779,0,NEUTRAL,,MIXED,,GROUP,1,523,163,13,904,111
7696217469,100,16.2,0-14,14-25,1,-72,1,NEUTRAL,,MIXED,,GROUP,1,50,35,80,14,16
7696217469,200,16.2,0-14,14-25,1,-72,1,BOT,1,MIXED,,GROUP,1,202,246,78,31,267
7696220055,100,16.2,0-14,14-25,1,1672,1,NEUTRAL,,MIXED,,,,110,266,134,83,432
7696220055,200,16.2,0-14,14-25,1,1672,1,NEUTRAL,,MIXED,,,,804,126,887,893,555
7696230590,100,16.2,0-14,14-25,1,-1477,-1,NEUTRAL,,MIXED,,GROUP,1,29,421,103,24,412
7696230590,200,16.2,0-14,14-25,1,-1477,-1,TOP,1,GANK_HEAVY,1,GROUP,1,804,131,38,122,117
7696237294,100,16.2,0-14,14-25,1,-1782,-1,NEUTRAL,,MIXED,,GROUP,1,901,121,8,92,16
7696237294,200,16.2,0-14,14-25,1,-1782,-1,NEUTRAL,,MIXED,,GROUP,1,110,20,103,133,201
7696241815,100,16.2,0-14,14-25,0,6489,1,BOT,1,MIXED,,,,498,33,142,83,76
7696241815,200,16.2,0-14,14-25,0,6489,1,NEUTRAL,,MIXED,,,,110,56,85,875,22
7696243536,100,16.2,0-14,14-25,1,612,1,BOT,0,GANK_HEAVY,1,GROUP,1,51,60,112,516,267
7696243536,200,16.2,0-14,14-25,1,612,1,NEUTRAL,,GANK_HEAVY,1,GROUP,1,110,421,84,75,57
