matchId,teamId,win,patch,window_early,window_mid,is_neutral_early,gold_diff_14,tower_diff_14,OBS_TEAM_FOCUS_EARLY,OBS_JG_STYLE_EARLY,OBS_MAP_MODE_MID,X_BOTTOM_Champ,X_JUNGLE_Champ,X_MIDDLE_Champ,X_TOP_Champ,X_UTILITY_Champ
3915259648,100,1,16.4,0-14,14-25,1,1268,0,TOP,MIXED,,119,234,103,516,40
3915259648,200,0,16.4,0-14,14-25,1,1268,0,NEUTRAL,MIXED,,804,62,99,240,267
3915272334,100,0,16.4,0-14,14-25,1,611,0,BOT,MIXED,SPLIT,360,121,34,150,99
3915272334,200,1,16.4,0-14,14-25,1,611,0,NEUTRAL,MIXED,GROUP,222,64,103,67,37
3915419047,100,1,16.4,0-14,14-25,1,3993,1,NEUTRAL,GANK_HEAVY,,222,20,950,897,117
3915419047,200,0,16.4,0-14,14-25,1,3993,1,NEUTRAL,MIXED,,901,238,134,31,902
3915644549,100,1,16.4,0-14,14-25,1,2762,1,TOP,GANK_HEAVY,GROUP,163,234,134,950,432
3915644549,200,0,16.4,0-14,14-25,1,2762,1,NEUTRAL,MIXED,GROUP,67,904,38,897,12
3915681718,100,0,16.4,0-14,14-25,1,-854,0,NEUTRAL,FARM_HEAVY,,50,5,246,92,497
3915681718,200,1,16.4,0-14,14-25,1,-854,0,BOT,FARM_HEAVY,,67,131,39,19,37
3915690863,100,1,16.4,0-14,14-25,1,3058,-1,NEUTRAL,MIXED,,145,131,166,157,412
3915690863,200,0,16.4,0-14,14-25,1,3058,-1,TOP,GANK_HEAVY,,22,76,238,41,111
3915759503,100,0,16.4,0-14,14-25,1,1098,0,TOP,MIXED,GROUP,498,11,901,43,201
3915759503,200,1,16.4,0-14,14-25,1,1098,0,BOT,MIXED,GROUP,202,234,90,67,888
3916156352,100,1,16.4,0-14,14-25,1,1074,0,TOP,FARM_HEAVY,,96,234,245,80,432
3916156352,200,0,16.4,0-14,14-25,1,1074,0,BOT,MIXED,,51,131,157,126,902
3916355244,100,0,16.4,0-14,14-25,1,-2210,0,NEUTRAL,MIXED,GROUP,804,33,90,904,16
3916355244,200,1,16.4,0-14,14-25,1,-2210,0,BOT,FARM_HEAVY,GROUP,222,887,55,41,1
3916375227,100,0,16.4,0-14,14-25,1,-3247,0,TOP,MIXED,GROUP,222,62,34,107,43
3916375227,200,1,16.4,0-14,14-25,1,-3247,0,BOT,MIXED,GROUP,221,234,7,82,117
3916407607,100,0,16.4,0-14,14-25,1,-1850,0,TOP,MIXED,SPLIT,222,64,157,14,412
3916407607,200,1,16.4,0-14,14-25,1,-1850,0,BOT,MIXED,SPLIT,145,36,86,41,26
3916810409,100,0,16.4,0-14,14-25,1,-2888,-1,NEUTRAL,MIXED,GROUP,901,106,55,75,267
3916810409,200,1,16.4,0-14,14-25,1,-2888,-1,NEUTRAL,MIXED,GROUP,51,60,85,83,412
3916832122,100,0,16.4,0-14,14-25,1,-175,0,NEUTRAL,GANK_HEAVY,GROUP,222,56,127,266,902
3916832122,200,1,16.4,0-14,14-25,1,-175,0,BOT,FARM_HEAVY,GROUP,63,234,4,6,267
3916846098,100,0,16.4,0-14,14-25,1,-3207,-1,NEUTRAL,MIXED,GROUP,202,62,90,27,53
3916846098,200,1,16.4,0-14,14-25,1,-3207,-1,BOT,MIXED,GROUP,22,121,8,6,555
3916872301,100,0,16.4,0-14,14-25,1,-1560,0,NEUTRAL,GANK_HEAVY,GROUP,22,234,157,54,432
3916872301,200,1,16.4,0-14,14-25,1,-1560,0,BOT,MIXED,GROUP,42,77,38,50,12
3916889472,100,1,16.4,0-14,14-25,1,704,0,NEUTRAL,GANK_HEAVY,GROUP,498,234,38,81,40
3916889472,200,0,16.4,0-14,14-25,1,704,0,NEUTRAL,GANK_HEAVY,GROUP,42,35,84,54,201
3916903826,100,1,16.4,0-14,14-25,1,-227,0,NEUTRAL,GANK_HEAVY,,75,266,18,45,412
3916903826,200,0,16.4,0-14,14-25,1,-227,0,BOT,MIXED,,157,64,103,897,40
3916918936,100,1,16.4,0-14,14-25,1,-2181,0,TOP,FARM_HEAVY,GROUP,145,233,8,31,111
3916918936,200,0,16.4,0-14,14-25,1,-2181,0,NEUTRAL,MIXED,GROUP,236,60,711,80,267
3917253151,100,0,16.4,0-14,14-25,1,708,-1,BOT,GANK_HEAVY,GROUP,21,131,39,126,12
3917253151,200,1,16.4,0-14,14-25,1,708,-1,NEUTRAL,MIXED,GROUP,99,234,777,31,267
3917263655,100,1,16.4,0-14,14-25,1,3065,0,BOT,FARM_HEAVY,SPLIT,202,60,950,80,16
3917263655,200,0,16.4,0-14,14-25,1,3065,0,NEUTRAL,MIXED,SPLIT,51,91,7,246,43
3917292080,100,0,16.4,0-14,14-25,1,1277,1,NEUTRAL,FARM_HEAVY,,81,5,238,27,902
3917292080,200,1,16.4,0-14,14-25,1,1277,1,BOT,FARM_HEAVY,,51,234,777,104,43
