role_slot,champion_name,n
ally_bottom,Yunara,19104
ally_bottom,Ezreal,18544
ally_bottom,Kaisa,17764
ally_bottom,Jhin,15732
ally_bottom,Caitlyn,14990
ally_bottom,Corki,14133
ally_bottom,Varus,13228
ally_bottom,Aphelios,12765
ally_bottom,Jinx,11347
ally_bottom,Lucian,7475
ally_bottom,Sivir,7395
ally_bottom,Ashe,6733
ally_bottom,Draven,6250
ally_bottom,Twitch,6228
ally_bottom,Smolder,5619
ally_bottom,Tristana,5314
ally_bottom,MissFortune,4913
ally_bottom,Samira,4761
ally_bottom,Vayne,4498
ally_bottom,Xayah,4268
ally_bottom,Zeri,4017
ally_bottom,KogMaw,3500
ally_bottom,AurelionSol,3157
ally_bottom,Mel,3100
ally_bottom,Yasuo,3094
ally_bottom,Swain,2961
ally_bottom,Ziggs,2851
ally_bottom,Kalista,2419
ally_bottom,Senna,2348
ally_bottom,Velkoz,2236
ally_bottom,Nilah,2234
ally_bottom,Karthus,2204
ally_bottom,Veigar,1985
ally_bottom,Seraphine,1859
ally_bottom,Lux,1338
ally_bottom,Hwei,1119
ally_bottom,Cassiopeia,1114
ally_bottom,Vladimir,1065
ally_bottom,Brand,986
ally_bottom,Syndra,984
ally_bottom,Katarina,713
ally_bottom,Zilean,697
ally_bottom,Zyra,559
ally_bottom,Viktor,421
ally_bottom,Heimerdinger,355
ally_bottom,Naafiri,289
ally_bottom,Xerath,281
ally_bottom,Ekko,228
ally_bottom,Fiora,226
ally_bottom,Anivia,216
ally_bottom,Singed,214
ally_bottom,Malzahar,203
ally_bottom,Taliyah,200
ally_bottom,Sion,186
ally_bottom,Aurora,167
ally_bottom,Akshan,159
ally_bottom,Qiyana,154
ally_bottom,Viego,131
ally_bottom,Zoe,126
ally_bottom,Rengar,101
ally_bottom,Ahri,95
ally_bottom,Olaf,84
ally_bottom,TahmKench,84
ally_bottom,TwistedFate,69
ally_bottom,Yone,69
ally_bottom,Pantheon,64
ally_bottom,LeeSin,58
ally_bottom,Irelia,55
ally_bottom,Zed,55
ally_bottom,Ryze,54
ally_bottom,Soraka,54
ally_bottom,Chogath,50
ally_bottom,Karma,45
ally_bottom,Quinn,40
ally_bottom,Riven,39
ally_bottom,Akali,38
ally_bottom,MasterYi,36
ally_bottom,Sylas,33
ally_bottom,Annie,31
ally_bottom,Camille,30
ally_bottom,DrMundo,28
ally_bottom,KSante,25
ally_bottom,Kayle,25
ally_bottom,Graves,23
ally_bottom,Lissandra,23
ally_bottom,Ornn,22
ally_bottom,Talon,22
ally_bottom,Kennen,21
ally_bottom,Kindred,20
ally_bottom,MonkeyKing,20
ally_bottom,Morgana,20
ally_bottom,XinZhao,20
ally_bottom,Gwen,19
ally_bottom,Jax,18
ally_bottom,Kled,18
ally_bottom,Leblanc,18
ally_bottom,Azir,17
ally_bottom,Orianna,17
ally_bottom,Kayn,15
ally_bottom,Neeko,15
ally_bottom,Fizz,14
ally_bottom,Pyke,14
ally_bottom,Sona,14
ally_bottom,Kassadin,13
ally_bottom,Teemo,13
ally_bottom,Vex,13
ally_bottom,Lulu,12
ally_bottom,Nunu,12
ally_bottom,RekSai,12
ally_bottom,Elise,11
ally_bottom,Jayce,11
ally_bottom,FiddleSticks,10
ally_bottom,Galio,10
ally_bottom,Malphite,10
ally_bottom,Nautilus,10
ally_bottom,Urgot,10
ally_bottom,Ambessa,9
ally_bottom,Diana,9
ally_bottom,Nasus,9
ally_bottom,Zac,9
ally_bottom,Maokai,8
ally_bottom,Gangplank,7
ally_bottom,Nidalee,7
ally_bottom,Briar,6
ally_bottom,Renata,6
ally_bottom,Sett,6
ally_bottom,Shaco,6
ally_bottom,Tryndamere,6
ally_bottom,Aatrox,5
ally_bottom,Darius,5
ally_bottom,Garen,5
ally_bottom,Renekton,5
ally_bottom,Trundle,5
ally_bottom,Shen,4
ally_bottom,Alistar,3
ally_bottom,Bard,3
ally_bottom,JarvanIV,3
ally_bottom,Mordekaiser,3
ally_bottom,Nami,3
ally_bottom,Nocturne,3
ally_bottom,Rumble,3
ally_bottom,Udyr,3
ally_bottom,Zaahen,3
ally_bottom,Belveth,2
ally_bottom,Blitzcrank,2
ally_bottom,Gnar,2
ally_bottom,Gragas,2
ally_bottom,Khazix,2
ally_bottom,Rakan,2
ally_bottom,Rammus,2
ally_bottom,Sejuani,2
ally_bottom,Taric,2
ally_bottom,Vi,2
ally_bottom,Warwick,2
ally_bottom,Yorick,2
ally_bottom,Braum,1
ally_bottom,Hecarim,1
ally_bottom,Illaoi,1
ally_bottom,Ivern,1
ally_bottom,Janna,1
ally_bottom,Leona,1
ally_bottom,Volibear,1
ally_bottom,Yuumi,1
ally_jungle,Viego,13317
ally_jungle,Khazix,12231
ally_jungle,JarvanIV,11286
ally_jungle,Diana,8629
ally_jungle,Talon,8608
ally_jungle,LeeSin,8520
ally_jungle,Hecarim,7913
ally_jungle,DrMundo,7655
ally_jungle,Ambessa,7521
ally_jungle,XinZhao,7050
ally_jungle,Rengar,6572
ally_jungle,Ekko,6566
ally_jungle,Jayce,6537
ally_jungle,Zaahen,6314
ally_jungle,RekSai,6293
ally_jungle,Shaco,6202
ally_jungle,Naafiri,5656
ally_jungle,Qiyana,5518
ally_jungle,Nunu,5131
ally_jungle,Vi,4620
ally_jungle,Sylas,4510
ally_jungle,Zac,4260
ally_jungle,Graves,4167
ally_jungle,Taliyah,4064
ally_jungle,Elise,4036
ally_jungle,Aatrox,3997
ally_jungle,MasterYi,3806
ally_jungle,Nidalee,3584
ally_jungle,Kayn,3538
ally_jungle,Nocturne,3502
ally_jungle,Volibear,3250
ally_jungle,Ivern,3124
ally_jungle,Zed,3115
ally_jungle,Gwen,3062
ally_jungle,FiddleSticks,3020
ally_jungle,Kindred,2941
ally_jungle,MonkeyKing,2902
ally_jungle,Belveth,2888
ally_jungle,Evelynn,2762
ally_jungle,Karthus,2703
ally_jungle,Briar,2495
ally_jungle,Udyr,2335
ally_jungle,Zyra,2304
ally_jungle,Lillia,2152
ally_jungle,Pantheon,1466
ally_jungle,Malphite,1387
ally_jungle,Sejuani,1378
ally_jungle,Jax,1353
ally_jungle,Darius,1252
ally_jungle,Rammus,1142
ally_jungle,Chogath,1130
ally_jungle,Skarner,1017
ally_jungle,Shen,958
ally_jungle,Nasus,828
ally_jungle,Warwick,825
ally_jungle,Brand,791
ally_jungle,Rumble,784
ally_jungle,Fizz,751
ally_jungle,Trundle,730
ally_jungle,Maokai,642
ally_jungle,Shyvana,630
ally_jungle,Amumu,622
ally_jungle,Teemo,527
ally_jungle,Gragas,515
ally_jungle,Riven,467
ally_jungle,Poppy,457
ally_jungle,Morgana,451
ally_jungle,Mordekaiser,335
ally_jungle,Olaf,301
ally_jungle,Sion,258
ally_jungle,Neeko,225
ally_jungle,AurelionSol,224
ally_jungle,Camille,185
ally_jungle,Vayne,104
ally_jungle,Twitch,76
ally_jungle,Urgot,61
ally_jungle,Kayle,55
ally_jungle,Ezreal,47
ally_jungle,Kaisa,45
ally_jungle,Ornn,44
ally_jungle,Nautilus,40
ally_jungle,Singed,34
ally_jungle,Yone,27
ally_jungle,Tryndamere,22
ally_jungle,Taric,21
ally_jungle,Zeri,21
ally_jungle,Draven,19
ally_jungle,Kassadin,19
ally_jungle,Yorick,19
ally_jungle,Sett,14
ally_jungle,TwistedFate,12
ally_jungle,Corki,10
ally_jungle,Kled,10
ally_jungle,Heimerdinger,7
ally_jungle,Gnar,6
ally_jungle,Ryze,6
ally_jungle,Yasuo,6
ally_jungle,Akali,5
ally_jungle,Ashe,5
ally_jungle,Nilah,5
ally_jungle,Varus,5
ally_jungle,Zoe,5
ally_jungle,Ahri,4
ally_jungle,Akshan,4
ally_jungle,Garen,4
ally_jungle,KogMaw,4
ally_jungle,Annie,3
ally_jungle,Galio,3
ally_jungle,Jhin,3
ally_jungle,Pyke,3
ally_jungle,Tristana,3
ally_jungle,Xayah,3
ally_jungle,Anivia,2
ally_jungle,Aurora,2
ally_jungle,Cassiopeia,2
ally_jungle,Irelia,2
ally_jungle,KSante,2
ally_jungle,Karma,2
ally_jungle,Lux,2
ally_jungle,MissFortune,2
ally_jungle,Renekton,2
ally_jungle,Sona,2
ally_jungle,TahmKench,2
ally_jungle,Thresh,2
ally_jungle,Zilean,2
ally_jungle,Aphelios,1
ally_jungle,Bard,1
ally_jungle,Blitzcrank,1
ally_jungle,Illaoi,1
ally_jungle,Leblanc,1
ally_jungle,Leona,1
ally_jungle,Lulu,1
ally_jungle,Malzahar,1
ally_jungle,Mel,1
ally_jungle,Nami,1
ally_jungle,Orianna,1
ally_jungle,Smolder,1
ally_jungle,Swain,1
ally_jungle,Syndra,1
ally_jungle,Vex,1
ally_middle,Ahri,14747
ally_middle,Ryze,11321
ally_middle,Yasuo,10328
ally_middle,Syndra,10321
ally_middle,Orianna,10116
ally_middle,Akali,9138
ally_middle,Kassadin,8533
