"phase","experiment_id","changed_parameter","changed_value","start_minute","max_minute","far_adc_threshold","weight_triplet","support_scores_path","support_config_json","model_input_path","label_distribution_dir","train_outdir","feature_groups","batch_size","epochs","lr","hidden1","hidden2","dropout","weight_decay","patience","val_size","seed","objective_metric"
"label_weights","label_weights_weight_triplet_0p55-0p25-0p20","weight_triplet","0.55,0.25,0.20","5","12","2500","0.55,0.25,0.20","ProgresoActual/OAT/support_oat_full_m12/scores/label_weights_weight_triplet_0p55-0p25-0p20/support_scores.parquet","ProgresoActual/OAT/support_oat_full_m12/scores/label_weights_weight_triplet_0p55-0p25-0p20/selected_support_score_config.json","ProgresoActual/OAT/support_oat_full_m12/model_inputs/label_weights_weight_triplet_0p55-0p25-0p20/model_input.parquet","ProgresoActual/OAT/support_oat_full_m12/label_distribution/label_weights_weight_triplet_0p55-0p25-0p20","ProgresoActual/models/oat_tuning/support_oat_full_m12/label_weights_weight_triplet_0p55-0p25-0p20","standard","256","60","0.001","256","128","0.2","1E-05","10","0.2","42","val_mse"
"label_weights","label_weights_weight_triplet_0p45-0p35-0p20","weight_triplet","0.45,0.35,0.20","5","12","2500","0.45,0.35,0.20","ProgresoActual/OAT/support_oat_full_m12/scores/label_weights_weight_triplet_0p45-0p35-0p20/support_scores.parquet","ProgresoActual/OAT/support_oat_full_m12/scores/label_weights_weight_triplet_0p45-0p35-0p20/selected_support_score_config.json","ProgresoActual/OAT/support_oat_full_m12/model_inputs/label_weights_weight_triplet_0p45-0p35-0p20/model_input.parquet","ProgresoActual/OAT/support_oat_full_m12/label_distribution/label_weights_weight_triplet_0p45-0p35-0p20","ProgresoActual/models/oat_tuning/support_oat_full_m12/label_weights_weight_triplet_0p45-0p35-0p20","standard","256","60","0.001","256","128","0.2","1E-05","10","0.2","42","val_mse"
"label_weights","label_weights_weight_triplet_0p35-0p45-0p20","weight_triplet","0.35,0.45,0.20","5","12","2500","0.35,0.45,0.20","ProgresoActual/OAT/support_oat_full_m12/scores/label_weights_weight_triplet_0p35-0p45-0p20/support_scores.parquet","ProgresoActual/OAT/support_oat_full_m12/scores/label_weights_weight_triplet_0p35-0p45-0p20/selected_support_score_config.json","ProgresoActual/OAT/support_oat_full_m12/model_inputs/label_weights_weight_triplet_0p35-0p45-0p20/model_input.parquet","ProgresoActual/OAT/support_oat_full_m12/label_distribution/label_weights_weight_triplet_0p35-0p45-0p20","ProgresoActual/models/oat_tuning/support_oat_full_m12/label_weights_weight_triplet_0p35-0p45-0p20","standard","256","60","0.001","256","128","0.2","1E-05","10","0.2","42","val_mse"
"label_weights","label_weights_weight_triplet_0p45-0p25-0p30","weight_triplet","0.45,0.25,0.30","5","12","2500","0.45,0.25,0.30","ProgresoActual/OAT/support_oat_full_m12/scores/label_weights_weight_triplet_0p45-0p25-0p30/support_scores.parquet","ProgresoActual/OAT/support_oat_full_m12/scores/label_weights_weight_triplet_0p45-0p25-0p30/selected_support_score_config.json","ProgresoActual/OAT/support_oat_full_m12/model_inputs/label_weights_weight_triplet_0p45-0p25-0p30/model_input.parquet","ProgresoActual/OAT/support_oat_full_m12/label_distribution/label_weights_weight_triplet_0p45-0p25-0p30","ProgresoActual/models/oat_tuning/support_oat_full_m12/label_weights_weight_triplet_0p45-0p25-0p30","standard","256","60","0.001","256","128","0.2","1E-05","10","0.2","42","val_mse"
"label_weights","label_weights_weight_triplet_0p35-0p35-0p30","weight_triplet","0.35,0.35,0.30","5","12","2500","0.35,0.35,0.30","ProgresoActual/OAT/support_oat_full_m12/scores/label_weights_weight_triplet_0p35-0p35-0p30/support_scores.parquet","ProgresoActual/OAT/support_oat_full_m12/scores/label_weights_weight_triplet_0p35-0p35-0p30/selected_support_score_config.json","ProgresoActual/OAT/support_oat_full_m12/model_inputs/label_weights_weight_triplet_0p35-0p35-0p30/model_input.parquet","ProgresoActual/OAT/support_oat_full_m12/label_distribution/label_weights_weight_triplet_0p35-0p35-0p30","ProgresoActual/models/oat_tuning/support_oat_full_m12/label_weights_weight_triplet_0p35-0p35-0p30","standard","256","60","0.001","256","128","0.2","1E-05","10","0.2","42","val_mse"
"time_window","time_window_start_max_s4_m10","start_max","s4_m10","4","10","2500","0.45,0.35,0.20","ProgresoActual/OAT/support_oat_full_m12/scores/time_window_start_max_s4_m10/support_scores.parquet","ProgresoActual/OAT/support_oat_full_m12/scores/time_window_start_max_s4_m10/selected_support_score_config.json","ProgresoActual/OAT/support_oat_full_m12/model_inputs/time_window_start_max_s4_m10/model_input.parquet","ProgresoActual/OAT/support_oat_full_m12/label_distribution/time_window_start_max_s4_m10","ProgresoActual/models/oat_tuning/support_oat_full_m12/time_window_start_max_s4_m10","standard","256","60","0.001","256","128","0.2","1E-05","10","0.2","42","val_mse"
"time_window","time_window_start_max_s4_m12","start_max","s4_m12","4","12","2500","0.45,0.35,0.20","ProgresoActual/OAT/support_oat_full_m12/scores/time_window_start_max_s4_m12/support_scores.parquet","ProgresoActual/OAT/support_oat_full_m12/scores/time_window_start_max_s4_m12/selected_support_score_config.json","ProgresoActual/OAT/support_oat_full_m12/model_inputs/time_window_start_max_s4_m12/model_input.parquet","ProgresoActual/OAT/support_oat_full_m12/label_distribution/time_window_start_max_s4_m12","ProgresoActual/models/oat_tuning/support_oat_full_m12/time_window_start_max_s4_m12","standard","256","60","0.001","256","128","0.2","1E-05","10","0.2","42","val_mse"
"time_window","time_window_start_max_s4_m14","start_max","s4_m14","4","14","2500","0.45,0.35,0.20","ProgresoActual/OAT/support_oat_full_m12/scores/time_window_start_max_s4_m14/support_scores.parquet","ProgresoActual/OAT/support_oat_full_m12/scores/time_window_start_max_s4_m14/selected_support_score_config.json","ProgresoActual/OAT/support_oat_full_m12/model_inputs/time_window_start_max_s4_m14/model_input.parquet","ProgresoActual/OAT/support_oat_full_m12/label_distribution/time_window_start_max_s4_m14","ProgresoActual/models/oat_tuning/support_oat_full_m12/time_window_start_max_s4_m14","standard","256","60","0.001","256","128","0.2","1E-05","10","0.2","42","val_mse"
"time_window","time_window_start_max_s5_m10","start_max","s5_m10","5","10","2500","0.45,0.35,0.20","ProgresoActual/OAT/support_oat_full_m12/scores/time_window_start_max_s5_m10/support_scores.parquet","ProgresoActual/OAT/support_oat_full_m12/scores/time_window_start_max_s5_m10/selected_support_score_config.json","ProgresoActual/OAT/support_oat_full_m12/model_inputs/time_window_start_max_s5_m10/model_input.parquet","ProgresoActual/OAT/support_oat_full_m12/label_distribution/time_window_start_max_s5_m10","ProgresoActual/models/oat_tuning/support_oat_full_m12/time_window_start_max_s5_m10","standard","256","60","0.001","256","128","0.2","1E-05","10","0.2","42","val_mse"
"time_window","time_window_start_max_s5_m12","start_max","s5_m12","5","12","2500","0.45,0.35,0.20","ProgresoActual/OAT/support_oat_full_m12/scores/time_window_start_max_s5_m12/support_scores.parquet","ProgresoActual/OAT/support_oat_full_m12/scores/time_window_start_max_s5_m12/selected_support_score_config.json","ProgresoActual/OAT/support_oat_full_m12/model_inputs/time_window_start_max_s5_m12/model_input.parquet","ProgresoActual/OAT/support_oat_full_m12/label_distribution/time_window_start_max_s5_m12","ProgresoActual/models/oat_tuning/support_oat_full_m12/time_window_start_max_s5_m12","standard","256","60","0.001","256","128","0.2","1E-05","10","0.2","42","val_mse"
