champion_name,count,mean,median,std,q25,q75
AurelionSol,127,0.5421191918629601,0.5456453634085212,0.22836461865840424,0.387132955502383,0.7275
Twitch,103,0.5014226375510686,0.4815754419956406,0.22593563820674506,0.3267857142857143,0.6453707916287534
Nunu,44,0.49541807394177223,0.5190694680385055,0.17846999078987155,0.34080104996379434,0.6437499999999999
Elise,4612,0.4152986385606995,0.40665039650185386,0.18583539826201967,0.28186245658016407,0.5357142857142858
Shaco,1272,0.41309700011874806,0.4004783393501805,0.20862790685980226,0.2571482324183874,0.5578512895497433
Jax,191,0.40404500803849647,0.3869343986543314,0.2133073724652508,0.21758374203647327,0.5609335002782415
Akshan,34,0.3982784797847947,0.40279583329016755,0.1344994856637831,0.33129399046776337,0.46473214285714287
Briar,33,0.392914083796435,0.38339697919635224,0.1339724254272733,0.2833333333333333,0.49306820706509663
Leblanc,713,0.39284920506199805,0.39210097055705084,0.1778491424451011,0.2600765306122449,0.5075318246110325
Rammus,97,0.38320089631556653,0.3689437155352729,0.19662506980132965,0.24664003521990788,0.5333333333333334
Camille,444,0.38068708149325065,0.3605003241841366,0.17381725958781669,0.25110142677134395,0.49108845918883964
Singed,103,0.36900248865111196,0.3459656084656085,0.1908523739850096,0.21912371372337364,0.5075815429521773
Sylas,1161,0.36700003796546754,0.3539656259854935,0.17770322205877756,0.23278791178872857,0.474284331060032
Pyke,10195,0.3662172141823436,0.3547745525833175,0.1716730495305635,0.24348628037020942,0.4794253608903241
XinZhao,67,0.3655846830816641,0.3341150911403137,0.18700927123129105,0.2256984488581436,0.5333333333333334
Vi,43,0.36242237117473275,0.3378002170243549,0.15860693218525568,0.24166666666666667,0.49720037724898436
Bard,19960,0.35890465647764414,0.34878024552276293,0.16682868851946603,0.23775589307960218,0.46640173603851237
MasterYi,25,0.35634781072760974,0.2902464065708419,0.23419151601150187,0.18333333333333335,0.4985269709543569
Poppy,3025,0.3561136237831601,0.34961416490486263,0.17105005468830256,0.23133116883116883,0.46566759603469643
Qiyana,122,0.3545010056267839,0.3468265564915992,0.17111078854886141,0.2440855105204291,0.4558735139547067
Pantheon,3430,0.35449462281762717,0.34063125569527464,0.17900292461700326,0.22340713665349946,0.4698374582996836
Nidalee,866,0.33732495622398945,0.3149825001914671,0.19002872366084428,0.19147735219482642,0.46083157121112367
Quinn,39,0.33489779224589006,0.32347944723175776,0.1420152004759238,0.24791040556383642,0.4243486054541657
TwistedFate,151,0.33311599379654094,0.3287335451656832,0.18051007525907373,0.18315459924964284,0.4596560020500361
Fiora,53,0.3303946524166211,0.31571365248226946,0.17754879561039058,0.19166666666666668,0.45230053420644495
Kennen,54,0.3283161775996511,0.3010926047672109,0.17278427383498515,0.20889372714037144,0.43567968173644755
Ekko,136,0.32470864633811725,0.2972563998557779,0.16670488461622943,0.20700452140670964,0.43051468899925716
LeeSin,101,0.3220443818656024,0.2972193790515183,0.2031648204363118,0.1404690618762475,0.4666666666666667
Alistar,12711,0.32157999944280324,0.3075983878615458,0.1684004095409413,0.19475478955362197,0.4286475107658697
Vayne,21,0.31861683559564946,0.28897166228454574,0.15572741348980054,0.22961522717969707,0.36000000000000004
RekSai,80,0.31528103756134557,0.26933041843409844,0.18281285216472457,0.1926962876803851,0.41227904082109873
Sejuani,58,0.3146366516474958,0.2927351889585499,0.17072611614291083,0.17011805565480867,0.455801611644719
Skarner,115,0.31157107540040335,0.3246640537513998,0.15663953352807838,0.2025462356023865,0.3885443897044038
Galio,770,0.31093906160324314,0.2893821733056191,0.1624665327916784,0.19353996001241994,0.4006443625729013
Taliyah,284,0.30905950243954056,0.2945991206656515,0.1618917040592042,0.1882369719575458,0.4105175725675099
Rell,10801,0.30848136064705567,0.296127029608405,0.16310766919536704,0.18626801632925105,0.41476592749032026
