champion_name,generated_count,generated_mean,generated_median,generated_std,reference_source,expert_archetype,expert_support_roam_score,expert_confidence,notes,delta_mean_vs_expert
AurelionSol,12,0.45793024860411435,0.4643784450246591,0.22646523439580452,,,,,,
Leblanc,30,0.4353869115309052,0.44016029349770713,0.20124351250038047,,,,,,
Camille,13,0.433514098384497,0.45,0.20427680522866848,,,,,,
Elise,212,0.4135143339744751,0.40288184251931525,0.1895212182899454,,,,,,
Poppy,142,0.37383030045463267,0.3745738460526127,0.1652680710258625,,,,,,
Pyke,459,0.3714870922347762,0.3477941176470588,0.1918288226928804,manual_only,roaming_assassin,0.92,0.95,"Designed around roaming, picks and snowballing.",-0.5485129077652238
Bard,939,0.36613262223422555,0.3549489936586711,0.17399394027411608,manual_only,roaming_specialist,0.95,0.95,Design explicitly rewards leaving lane and impacting map.,-0.5838673777657744
Sylas,60,0.36481100496248453,0.34541425978230317,0.16811769150178676,,,,,,
Nidalee,83,0.3463170014348898,0.3416528047315405,0.20453132284759087,,,,,,
Maokai,65,0.3380257171125207,0.3421636686090702,0.1720846972698389,,,,,,
Brand,62,0.33762911903158677,0.28065678964329266,0.21723172851829803,manual_only,lane_mage,0.35,0.75,Usually values lane poke and damage more than repeated roaming.,-0.012370880968413211
Pantheon,151,0.32991875696278966,0.33228395061728394,0.16830547021656542,,,,,,
Alistar,611,0.32728834003111384,0.31791882556131257,0.17884765612412948,manual_only,engage_roamer,0.82,0.9,Strong engage and roam identity after lane setup.,-0.4927116599688861
Galio,35,0.32061275683807466,0.29434484576852094,0.14168870678824586,,,,,,
Blitzcrank,365,0.3188426189882927,0.30195298692117356,0.18695460383356002,manual_only,pick_roamer,0.78,0.85,Hook pressure translates well to river and mid roams.,-0.46115738101170733
Shaco,35,0.3076937606418093,0.28611453518233176,0.19902170532315397,,,,,,
Rell,500,0.3058426904498134,0.2852171784343095,0.1664740978374566,manual_only,engage_roamer,0.82,0.85,Engage kit and skirmish value support roaming.,-0.5141573095501866
KSante,10,0.3027442942968042,0.2559117317883304,0.1882418733164651,,,,,,
Leona,528,0.29803552642541986,0.2853890505018738,0.17691319833640423,manual_only,engage_roamer,0.8,0.9,Reliable CC and early skirmish pressure support roams.,-0.5019644735745802
Rakan,706,0.2929381216698259,0.277575371332932,0.16446945129463494,manual_only,engage_roamer,0.76,0.85,High mobility engage enables map movement.,-0.4670618783301741
Janna,671,0.29176439357931716,0.2668534718425369,0.18017034001759094,manual_only,enchanter_roamer,0.58,0.7,"Can roam, but tends to preserve ADC and lane safety.",-0.2882356064206828
Nautilus,1198,0.2886744651099355,0.2713475753233037,0.16757031974126668,manual_only,engage_roamer,0.84,0.9,Classic early roam and pick support.,-0.5513255348900645
Zoe,52,0.2869329824293365,0.27844720347752805,0.16038911800323052,,,,,,
Neeko,420,0.28545610191150317,0.25981172237511246,0.1652590960053947,,,,,,
