task,max_minute,label,n
jungle,6.0,ambiguous,11486
jungle,6.0,farm_oriented,10999
jungle,6.0,map_presence,6618
jungle,8.0,ambiguous,11261
jungle,8.0,farm_oriented,11108
jungle,8.0,map_presence,7178
jungle,10.0,ambiguous,15363
jungle,10.0,farm_oriented,6610
jungle,10.0,map_presence,7576
jungle,12.0,ambiguous,15225
jungle,12.0,farm_oriented,7460
jungle,12.0,map_presence,6865
jungle,14.0,ambiguous,16372
jungle,14.0,farm_oriented,6936
jungle,14.0,map_presence,6242
support,6.0,ambiguous,11638
support,6.0,lane_anchored,7837
support,6.0,roamer,9898
support,8.0,ambiguous,10666
support,8.0,lane_anchored,9722
support,8.0,roamer,9162
support,10.0,ambiguous,14254
support,10.0,lane_anchored,7810
support,10.0,roamer,7486
support,12.0,ambiguous,16029
support,12.0,lane_anchored,6086
support,12.0,roamer,7435
support,14.0,ambiguous,15914
support,14.0,lane_anchored,6503
support,14.0,roamer,7133
team,6.0,ambiguous,12714
team,6.0,botside_oriented,8466
team,6.0,topside_oriented,8370
team,8.0,ambiguous,15786
team,8.0,botside_oriented,6439
team,8.0,topside_oriented,7325
team,10.0,ambiguous,16130
team,10.0,botside_oriented,6525
team,10.0,topside_oriented,6895
team,12.0,ambiguous,16863
team,12.0,botside_oriented,6275
team,12.0,topside_oriented,6412
team,14.0,ambiguous,17053
team,14.0,botside_oriented,6106
team,14.0,topside_oriented,6391
