task,window_a,window_b,from_label,to_label,n,pct_of_pair
team,6,8,ambiguous,ambiguous,8519,0.2882910321489002
team,6,8,ambiguous,botside_oriented,2146,0.07262267343485618
team,6,8,ambiguous,topside_oriented,2049,0.06934010152284265
team,6,8,botside_oriented,ambiguous,3951,0.13370558375634517
team,6,8,botside_oriented,botside_oriented,4283,0.14494077834179356
team,6,8,botside_oriented,topside_oriented,232,0.007851099830795263
team,6,8,topside_oriented,ambiguous,3316,0.1122165820642978
team,6,8,topside_oriented,botside_oriented,10,0.00033840947546531303
team,6,8,topside_oriented,topside_oriented,5044,0.1706937394247039
team,8,10,ambiguous,ambiguous,10768,0.36439932318104906
team,8,10,ambiguous,botside_oriented,2673,0.09045685279187818
team,8,10,ambiguous,topside_oriented,2345,0.0793570219966159
team,8,10,botside_oriented,ambiguous,2424,0.08203045685279188
team,8,10,botside_oriented,botside_oriented,3852,0.13035532994923857
team,8,10,botside_oriented,topside_oriented,163,0.0055160744500846026
team,8,10,topside_oriented,ambiguous,2938,0.09942470389170897
team,8,10,topside_oriented,topside_oriented,4387,0.14846023688663282
team,10,12,ambiguous,ambiguous,12873,0.4356345177664975
team,10,12,ambiguous,botside_oriented,1752,0.05928934010152284
team,10,12,ambiguous,topside_oriented,1505,0.05093062605752961
team,10,12,botside_oriented,ambiguous,1969,0.06663282571912013
team,10,12,botside_oriented,botside_oriented,4523,0.15306260575296107
team,10,12,botside_oriented,topside_oriented,33,0.001116751269035533
team,10,12,topside_oriented,ambiguous,2021,0.06839255499153976
team,10,12,topside_oriented,topside_oriented,4874,0.16494077834179358
team,12,14,ambiguous,ambiguous,13615,0.4607445008460237
team,12,14,ambiguous,botside_oriented,1590,0.05380710659898477
team,12,14,ambiguous,topside_oriented,1658,0.0561082910321489
team,12,14,botside_oriented,ambiguous,1755,0.05939086294416244
team,12,14,botside_oriented,botside_oriented,4516,0.15282571912013537
team,12,14,botside_oriented,topside_oriented,4,0.00013536379018612522
team,12,14,topside_oriented,ambiguous,1683,0.05695431472081218
team,12,14,topside_oriented,topside_oriented,4729,0.16003384094754652
