epoch,train_loss,val_loss,is_best,jungle_presence_accuracy,jungle_presence_balanced_accuracy,jungle_presence_f1_macro,jungle_presence_valid_samples,support_roam_accuracy,support_roam_balanced_accuracy,support_roam_f1_macro,support_roam_valid_samples,team_tendency_accuracy,team_tendency_balanced_accuracy,team_tendency_f1_macro,team_tendency_valid_samples
1,1.1815286489912702,1.1002475353666974,1,0.3673,0.3387,0.3317,5910,0.3807,0.3401,0.3182,5910,0.3712,0.3387,0.3323,5910
2,1.124709942659549,1.0960932661434115,1,0.3924,0.3429,0.3052,5910,0.3628,0.3564,0.3417,5910,0.4426,0.3473,0.3446,5910
3,1.1039883868545042,1.0946194489393541,1,0.3993,0.3485,0.2948,5910,0.3521,0.3833,0.3457,5910,0.4917,0.3444,0.3208,5910
4,1.0970349224690858,1.0923796368936194,1,0.4174,0.3605,0.3049,5910,0.3288,0.3936,0.3158,5910,0.5252,0.3471,0.2951,5910
5,1.0924966489401364,1.089626547366431,1,0.4262,0.3629,0.3089,5910,0.3255,0.4024,0.3034,5910,0.5293,0.3499,0.2946,5910
6,1.089288812442076,1.0873316461463063,1,0.4311,0.3681,0.313,5910,0.3217,0.4042,0.2941,5910,0.5222,0.3539,0.3031,5910
7,1.087507325905027,1.08577530936743,1,0.4203,0.3696,0.3097,5910,0.3191,0.4066,0.2845,5910,0.5095,0.356,0.3095,5910
8,1.0860185591299119,1.0848170488618958,1,0.4169,0.3708,0.3087,5910,0.3223,0.4087,0.29,5910,0.4953,0.3656,0.3207,5910
9,1.085217437203564,1.0842432694588418,1,0.4125,0.3727,0.3072,5910,0.3201,0.4087,0.2839,5910,0.5034,0.363,0.3182,5910
10,1.0837681633163427,1.083523008020598,1,0.409,0.3727,0.3058,5910,0.324,0.4123,0.29,5910,0.4963,0.3647,0.3199,5910
11,1.0822720301736228,1.0824406848139367,1,0.4118,0.3708,0.3067,5910,0.3296,0.4171,0.298,5910,0.4964,0.3601,0.3156,5910
12,1.080828788357136,1.0820689038778522,1,0.4074,0.3671,0.3039,5910,0.3298,0.4195,0.2946,5910,0.4988,0.3577,0.313,5910
13,1.0799365597126247,1.081229204776525,1,0.4142,0.3682,0.3071,5910,0.3299,0.4221,0.2918,5910,0.4964,0.3619,0.3175,5910
14,1.0785194298135852,1.0801029079456619,1,0.4162,0.3716,0.3104,5910,0.3377,0.4267,0.3054,5910,0.4997,0.3643,0.32,5910
15,1.0775695060110335,1.0797563364864808,1,0.4173,0.3719,0.3158,5910,0.3425,0.4318,0.3105,5910,0.4976,0.3614,0.3173,5910
16,1.0764647148183961,1.0793174864677004,1,0.4188,0.3745,0.3183,5910,0.3404,0.4313,0.3064,5910,0.4968,0.3623,0.3189,5910
