epoch,task,accuracy,balanced_accuracy,f1_macro,valid_samples
1,jungle_presence_label,0.3408,0.3285,0.3086,5910
1,support_roam_label,0.521,0.3364,0.2806,5910
1,team_tendency_label,0.4105,0.3434,0.3284,5910
2,jungle_presence_label,0.387,0.3352,0.3112,5910
2,support_roam_label,0.5301,0.336,0.2667,5910
2,team_tendency_label,0.5144,0.3324,0.2967,5910
3,jungle_presence_label,0.4146,0.3393,0.3029,5910
3,support_roam_label,0.5272,0.3415,0.2816,5910
3,team_tendency_label,0.5533,0.3337,0.2636,5910
4,jungle_presence_label,0.4093,0.3444,0.3007,5910
4,support_roam_label,0.5152,0.3488,0.3024,5910
4,team_tendency_label,0.5648,0.3346,0.2507,5910
5,jungle_presence_label,0.4396,0.3422,0.3003,5910
5,support_roam_label,0.51,0.357,0.3174,5910
5,team_tendency_label,0.5673,0.3338,0.2444,5910
6,jungle_presence_label,0.4626,0.3358,0.285,5910
6,support_roam_label,0.4897,0.3677,0.332,5910
6,team_tendency_label,0.568,0.3345,0.2455,5910
7,jungle_presence_label,0.4426,0.3392,0.2958,5910
7,support_roam_label,0.4821,0.3736,0.3412,5910
7,team_tendency_label,0.5689,0.3378,0.254,5910
8,jungle_presence_label,0.4289,0.3417,0.2964,5910
8,support_roam_label,0.4804,0.3786,0.3431,5910
8,team_tendency_label,0.5651,0.34,0.2647,5910
9,jungle_presence_label,0.4365,0.3457,0.3047,5910
9,support_roam_label,0.4816,0.3877,0.3574,5910
9,team_tendency_label,0.5636,0.3408,0.2687,5910
10,jungle_presence_label,0.4169,0.3474,0.3148,5910
10,support_roam_label,0.4704,0.3921,0.3672,5910
10,team_tendency_label,0.5638,0.3437,0.2754,5910
11,jungle_presence_label,0.3946,0.3437,0.297,5910
11,support_roam_label,0.4672,0.394,0.3739,5910
11,team_tendency_label,0.5604,0.3445,0.28,5910
12,jungle_presence_label,0.4015,0.3419,0.3002,5910
12,support_roam_label,0.4616,0.4048,0.3903,5910
12,team_tendency_label,0.5541,0.3437,0.2833,5910
13,jungle_presence_label,0.4196,0.3423,0.3105,5910
13,support_roam_label,0.4604,0.4085,0.395,5910
13,team_tendency_label,0.5558,0.3437,0.2821,5910
14,jungle_presence_label,0.4124,0.3479,0.3062,5910
14,support_roam_label,0.4572,0.4122,0.4028,5910
14,team_tendency_label,0.556,0.3441,0.283,5910
15,jungle_presence_label,0.4117,0.3501,0.3144,5910
15,support_roam_label,0.4636,0.4182,0.4104,5910
15,team_tendency_label,0.5557,0.3439,0.2828,5910
16,jungle_presence_label,0.4069,0.3531,0.326,5910
16,support_roam_label,0.458,0.4234,0.4128,5910
16,team_tendency_label,0.5548,0.3441,0.2839,5910
17,jungle_presence_label,0.4029,0.3545,0.3275,5910
