epoch,task,accuracy,balanced_accuracy,f1_macro,valid_samples
1,jungle_presence_label,0.5109,0.5105,0.5104,2877
1,support_roam_label,0.5477,0.5502,0.5435,3062
1,team_tendency_label,0.5024,0.5098,0.4526,2689
2,jungle_presence_label,0.5332,0.5197,0.4845,2877
2,support_roam_label,0.5725,0.5736,0.5721,3062
2,team_tendency_label,0.5128,0.5171,0.4985,2689
3,jungle_presence_label,0.5304,0.5107,0.4194,2877
3,support_roam_label,0.5905,0.5917,0.5898,3062
3,team_tendency_label,0.5292,0.5295,0.5292,2689
4,jungle_presence_label,0.5276,0.506,0.387,2877
4,support_roam_label,0.6019,0.6027,0.6017,3062
4,team_tendency_label,0.5307,0.5299,0.5297,2689
5,jungle_presence_label,0.5217,0.5001,0.3801,2877
5,support_roam_label,0.5999,0.6007,0.5998,3062
5,team_tendency_label,0.537,0.5354,0.5339,2689
6,jungle_presence_label,0.5224,0.501,0.3847,2877
6,support_roam_label,0.6091,0.6093,0.6091,3062
6,team_tendency_label,0.5325,0.5308,0.5288,2689
7,jungle_presence_label,0.5276,0.5074,0.4078,2877
7,support_roam_label,0.6101,0.6107,0.61,3062
7,team_tendency_label,0.5329,0.5307,0.5277,2689
8,jungle_presence_label,0.528,0.5092,0.4272,2877
8,support_roam_label,0.6208,0.6209,0.6208,3062
8,team_tendency_label,0.5348,0.5332,0.5318,2689
9,jungle_presence_label,0.5276,0.5072,0.406,2877
9,support_roam_label,0.6267,0.6267,0.6266,3062
9,team_tendency_label,0.537,0.5356,0.5344,2689
10,jungle_presence_label,0.5325,0.513,0.4241,2877
10,support_roam_label,0.6297,0.6294,0.6294,3062
10,team_tendency_label,0.5467,0.5451,0.5437,2689
11,jungle_presence_label,0.5353,0.5166,0.4378,2877
11,support_roam_label,0.6391,0.6387,0.6387,3062
11,team_tendency_label,0.5448,0.5435,0.5426,2689
12,jungle_presence_label,0.5318,0.515,0.4537,2877
12,support_roam_label,0.6427,0.6426,0.6426,3062
12,team_tendency_label,0.5433,0.5417,0.5402,2689
13,jungle_presence_label,0.5311,0.5137,0.447,2877
13,support_roam_label,0.6453,0.6449,0.6449,3062
13,team_tendency_label,0.5493,0.5482,0.5478,2689
14,jungle_presence_label,0.5353,0.5182,0.455,2877
14,support_roam_label,0.6476,0.6474,0.6474,3062
14,team_tendency_label,0.553,0.5518,0.551,2689
15,jungle_presence_label,0.537,0.5208,0.4657,2877
15,support_roam_label,0.6496,0.649,0.649,3062
15,team_tendency_label,0.5508,0.549,0.5472,2689
16,jungle_presence_label,0.536,0.52,0.4665,2877
16,support_roam_label,0.6522,0.6517,0.6517,3062
16,team_tendency_label,0.5459,0.544,0.5418,2689
17,jungle_presence_label,0.5342,0.5181,0.4638,2877
17,support_roam_label,0.6558,0.655,0.655,3062
17,team_tendency_label,0.5534,0.5519,0.5508,2689
18,jungle_presence_label,0.5367,0.5223,0.481,2877
18,support_roam_label,0.6584,0.6577,0.6578,3062
18,team_tendency_label,0.5556,0.554,0.5526,2689
19,jungle_presence_label,0.5349,0.5203,0.4776,2877
19,support_roam_label,0.6535,0.6531,0.6531,3062
19,team_tendency_label,0.5541,0.5524,0.5507,2689
20,jungle_presence_label,0.5377,0.5248,0.4932,2877
20,support_roam_label,0.6528,0.6519,0.6518,3062
20,team_tendency_label,0.556,0.5553,0.5552,2689
21,jungle_presence_label,0.5422,0.529,0.4959,2877
21,support_roam_label,0.6571,0.656,0.6558,3062
21,team_tendency_label,0.5563,0.5557,0.5556,2689
22,jungle_presence_label,0.5457,0.5351,0.5157,2877
22,support_roam_label,0.6597,0.6587,0.6585,3062
22,team_tendency_label,0.5515,0.5505,0.55,2689
23,jungle_presence_label,0.5468,0.5347,0.5089,2877
23,support_roam_label,0.6499,0.649,0.6489,3062
23,team_tendency_label,0.5537,0.5521,0.5506,2689
24,jungle_presence_label,0.5495,0.5378,0.5135,2877
24,support_roam_label,0.646,0.6452,0.6451,3062
24,team_tendency_label,0.5563,0.5551,0.5544,2689
25,jungle_presence_label,0.554,0.5427,0.5206,2877
25,support_roam_label,0.6473,0.6463,0.6461,3062
25,team_tendency_label,0.5586,0.5581,0.5581,2689
26,jungle_presence_label,0.5565,0.545,0.5222,2877
26,support_roam_label,0.644,0.6429,0.6426,3062
26,team_tendency_label,0.5522,0.5517,0.5517,2689
27,jungle_presence_label,0.5558,0.5458,0.5296,2877
27,support_roam_label,0.6421,0.6409,0.6407,3062
27,team_tendency_label,0.5534,0.5527,0.5527,2689
28,jungle_presence_label,0.5634,0.5536,0.5383,2877
28,support_roam_label,0.646,0.6449,0.6446,3062
28,team_tendency_label,0.5534,0.5524,0.5521,2689
29,jungle_presence_label,0.5558,0.546,0.5307,2877
29,support_roam_label,0.6398,0.6388,0.6386,3062
29,team_tendency_label,0.5482,0.5474,0.5472,2689
30,jungle_presence_label,0.5613,0.5521,0.5387,2877
30,support_roam_label,0.6395,0.6384,0.6382,3062
30,team_tendency_label,0.5582,0.5576,0.5575,2689
31,jungle_presence_label,0.5659,0.5581,0.5496,2877
31,support_roam_label,0.6349,0.6331,0.6318,3062
31,team_tendency_label,0.5567,0.5563,0.5563,2689
32,jungle_presence_label,0.5714,0.5621,0.549,2877
32,support_roam_label,0.6398,0.639,0.639,3062
32,team_tendency_label,0.5545,0.5528,0.5511,2689
33,jungle_presence_label,0.5652,0.557,0.5473,2877
33,support_roam_label,0.6417,0.6408,0.6407,3062
33,team_tendency_label,0.5467,0.5448,0.5429,2689
34,jungle_presence_label,0.568,0.5604,0.5524,2877
34,support_roam_label,0.6332,0.632,0.6315,3062
34,team_tendency_label,0.5496,0.549,0.549,2689
35,jungle_presence_label,0.5666,0.5582,0.5479,2877
35,support_roam_label,0.6355,0.635,0.6351,3062
35,team_tendency_label,0.55,0.5488,0.548,2689
36,jungle_presence_label,0.5645,0.5572,0.5501,2877
36,support_roam_label,0.6303,0.63,0.63,3062
36,team_tendency_label,0.5459,0.5443,0.5429,2689
37,jungle_presence_label,0.5697,0.5621,0.5544,2877
37,support_roam_label,0.6297,0.6287,0.6285,3062
37,team_tendency_label,0.5489,0.548,0.5476,2689
38,jungle_presence_label,0.5697,0.5611,0.5505,2877
38,support_roam_label,0.631,0.6305,0.6306,3062
38,team_tendency_label,0.5493,0.5488,0.5487,2689
39,jungle_presence_label,0.5697,0.5619,0.5537,2877
39,support_roam_label,0.6303,0.6295,0.6294,3062
39,team_tendency_label,0.5478,0.5474,0.5474,2689
40,jungle_presence_label,0.5756,0.5684,0.5616,2877
40,support_roam_label,0.631,0.63,0.6299,3062
40,team_tendency_label,0.5426,0.5423,0.5423,2689
