metric,q,value
team_side_focus_score,0.01,-0.7894736842105263
team_side_focus_score,0.05,-0.7333333333333333
team_side_focus_score,0.1,-0.6666666666666666
team_side_focus_score,0.25,-0.5789473684210527
team_side_focus_score,0.33,-0.5555555555555556
team_side_focus_score,0.5,-0.5
team_side_focus_score,0.66,-0.3333333333333333
team_side_focus_score,0.75,-0.29411764705882354
team_side_focus_score,0.9,-0.17647058823529413
team_side_focus_score,0.95,-0.1111111111111111
team_side_focus_score,0.99,0.058823529411764705
