epoch,task,accuracy,balanced_accuracy,f1_macro,valid_samples
1,jungle_presence_label,0.5551,0.5397,0.5216,31509
1,support_roam_label,0.6297,0.6282,0.6276,33706
1,team_tendency_label,0.5452,0.5417,0.5387,29215
2,jungle_presence_label,0.5615,0.5469,0.5313,31509
2,support_roam_label,0.6415,0.6404,0.6401,33706
2,team_tendency_label,0.5488,0.5442,0.5382,29215
3,jungle_presence_label,0.5659,0.5531,0.5423,31509
3,support_roam_label,0.6494,0.648,0.6476,33706
3,team_tendency_label,0.5516,0.5473,0.5423,29215
4,jungle_presence_label,0.5732,0.5619,0.5542,31509
4,support_roam_label,0.6516,0.6501,0.6495,33706
4,team_tendency_label,0.5549,0.5531,0.5527,29215
5,jungle_presence_label,0.5786,0.5684,0.5629,31509
5,support_roam_label,0.6547,0.6532,0.6526,33706
5,team_tendency_label,0.5563,0.5535,0.5519,29215
6,jungle_presence_label,0.5848,0.5747,0.5695,31509
6,support_roam_label,0.6576,0.6559,0.6551,33706
6,team_tendency_label,0.559,0.5583,0.5583,29215
7,jungle_presence_label,0.5868,0.5771,0.5726,31509
7,support_roam_label,0.6592,0.6578,0.6573,33706
7,team_tendency_label,0.5623,0.5615,0.5615,29215
8,jungle_presence_label,0.5874,0.5777,0.5731,31509
8,support_roam_label,0.6612,0.6597,0.6591,33706
8,team_tendency_label,0.5636,0.5641,0.5636,29215
9,jungle_presence_label,0.5901,0.5829,0.5811,31509
9,support_roam_label,0.6602,0.6586,0.6579,33706
9,team_tendency_label,0.5707,0.5693,0.5692,29215
10,jungle_presence_label,0.5926,0.5862,0.585,31509
10,support_roam_label,0.661,0.6594,0.6589,33706
10,team_tendency_label,0.5727,0.5727,0.5725,29215
11,jungle_presence_label,0.5904,0.5829,0.581,31509
11,support_roam_label,0.6603,0.6585,0.6576,33706
11,team_tendency_label,0.5751,0.5733,0.5729,29215
12,jungle_presence_label,0.5919,0.5866,0.5861,31509
12,support_roam_label,0.663,0.6619,0.6618,33706
12,team_tendency_label,0.5772,0.576,0.5759,29215
13,jungle_presence_label,0.5899,0.5802,0.5757,31509
13,support_roam_label,0.6623,0.6612,0.661,33706
13,team_tendency_label,0.578,0.5759,0.5752,29215
14,jungle_presence_label,0.5908,0.5847,0.5837,31509
14,support_roam_label,0.662,0.6607,0.6604,33706
14,team_tendency_label,0.578,0.5759,0.5752,29215
15,jungle_presence_label,0.5922,0.585,0.5832,31509
15,support_roam_label,0.6618,0.6599,0.659,33706
15,team_tendency_label,0.5791,0.578,0.578,29215
16,jungle_presence_label,0.592,0.5844,0.5823,31509
16,support_roam_label,0.6623,0.6612,0.661,33706
16,team_tendency_label,0.5809,0.5793,0.5791,29215
17,jungle_presence_label,0.5909,0.5839,0.5823,31509
17,support_roam_label,0.6638,0.6624,0.6619,33706
17,team_tendency_label,0.5774,0.5762,0.5761,29215
18,jungle_presence_label,0.59,0.5839,0.5829,31509
18,support_roam_label,0.662,0.6608,0.6606,33706
18,team_tendency_label,0.5791,0.5777,0.5775,29215
19,jungle_presence_label,0.589,0.5821,0.5805,31509
19,support_roam_label,0.6623,0.6607,0.6601,33706
19,team_tendency_label,0.5784,0.5748,0.5719,29215
20,jungle_presence_label,0.5903,0.5812,0.5775,31509
20,support_roam_label,0.6604,0.659,0.6587,33706
20,team_tendency_label,0.5736,0.5726,0.5726,29215
21,jungle_presence_label,0.592,0.5849,0.5832,31509
21,support_roam_label,0.6612,0.6596,0.659,33706
21,team_tendency_label,0.5768,0.5739,0.572,29215
22,jungle_presence_label,0.5881,0.5794,0.5762,31509
22,support_roam_label,0.6599,0.6588,0.6586,33706
22,team_tendency_label,0.5772,0.5749,0.5739,29215
23,jungle_presence_label,0.589,0.5823,0.5809,31509
23,support_roam_label,0.6603,0.6587,0.6581,33706
23,team_tendency_label,0.5768,0.5754,0.5753,29215
24,jungle_presence_label,0.5892,0.5822,0.5806,31509
24,support_roam_label,0.6604,0.6591,0.6588,33706
24,team_tendency_label,0.5731,0.5714,0.5711,29215
25,jungle_presence_label,0.5885,0.5809,0.5789,31509
25,support_roam_label,0.6585,0.6572,0.6568,33706
25,team_tendency_label,0.5736,0.572,0.5718,29215
26,jungle_presence_label,0.5846,0.5776,0.5759,31509
26,support_roam_label,0.6618,0.6606,0.6604,33706
26,team_tendency_label,0.5732,0.5706,0.5694,29215
27,jungle_presence_label,0.5842,0.5775,0.576,31509
27,support_roam_label,0.6574,0.6559,0.6553,33706
27,team_tendency_label,0.575,0.5744,0.5744,29215
28,jungle_presence_label,0.5849,0.5772,0.575,31509
28,support_roam_label,0.6564,0.6551,0.6547,33706
28,team_tendency_label,0.5744,0.5714,0.5696,29215
29,jungle_presence_label,0.5849,0.5769,0.5742,31509
29,support_roam_label,0.6581,0.6575,0.6575,33706
29,team_tendency_label,0.5714,0.5697,0.5694,29215
30,jungle_presence_label,0.5846,0.5771,0.5749,31509
30,support_roam_label,0.6567,0.6554,0.6551,33706
30,team_tendency_label,0.5689,0.5669,0.5663,29215
