task,window,label,n,pct
jungle,6,ambiguous,11486,0.3946672164381679
jungle,6,farm_oriented,10999,0.37793354636979004
jungle,6,map_presence,6618,0.22739923719204205
jungle,8,ambiguous,11261,0.38112160287000374
jungle,8,farm_oriented,11108,0.37594341219074695
jungle,8,map_presence,7178,0.24293498493924934
jungle,10,ambiguous,15363,0.5199160716098683
jungle,10,farm_oriented,6610,0.2236962333750719
jungle,10,map_presence,7576,0.25638769501505976
jungle,12,ambiguous,15225,0.5152284263959391
jungle,12,farm_oriented,7460,0.25245346869712354
jungle,12,map_presence,6865,0.23231810490693738
jungle,14,ambiguous,16372,0.5540439932318105
jungle,14,farm_oriented,6936,0.23472081218274113
jungle,14,map_presence,6242,0.2112351945854484
support,6,ambiguous,11638,0.3962142103292139
support,6,lane_anchored,7837,0.26680965512545535
support,6,roamer,9898,0.33697613454533076
support,8,ambiguous,10666,0.3609475465313029
support,8,lane_anchored,9722,0.32900169204737734
support,8,roamer,9162,0.3100507614213198
support,10,ambiguous,14254,0.4823688663282572
support,10,lane_anchored,7810,0.2642978003384095
support,10,roamer,7486,0.25333333333333335
support,12,ambiguous,16029,0.5424365482233503
support,12,lane_anchored,6086,0.2059560067681895
support,12,roamer,7435,0.2516074450084602
support,14,ambiguous,15914,0.5385448392554991
support,14,lane_anchored,6503,0.22006768189509307
support,14,roamer,7133,0.24138747884940778
team,6,ambiguous,12714,0.430253807106599
team,6,botside_oriented,8466,0.286497461928934
team,6,topside_oriented,8370,0.283248730964467
team,8,ambiguous,15786,0.5342131979695431
team,8,botside_oriented,6439,0.21790186125211505
team,8,topside_oriented,7325,0.2478849407783418
team,10,ambiguous,16130,0.5458544839255499
team,10,botside_oriented,6525,0.22081218274111675
team,10,topside_oriented,6895,0.23333333333333334
team,12,ambiguous,16863,0.5706598984771574
team,12,botside_oriented,6275,0.21235194585448391
team,12,topside_oriented,6412,0.21698815566835872
team,14,ambiguous,17053,0.5770896785109983
team,14,botside_oriented,6106,0.20663282571912014
team,14,topside_oriented,6391,0.21627749576988156
