task,window_a,window_b,from_label,to_label,n,pct_of_pair
support,6,8,ambiguous,ambiguous,3461,0.21597503900156007
support,6,8,ambiguous,lane_anchored,1873,0.1168798751950078
support,6,8,ambiguous,roamer,923,0.05759750390015601
support,6,8,lane_anchored,ambiguous,906,0.05653666146645866
support,6,8,lane_anchored,lane_anchored,3480,0.2171606864274571
support,6,8,roamer,ambiguous,1333,0.08318252730109205
support,6,8,roamer,roamer,4049,0.2526677067082683
support,8,10,ambiguous,ambiguous,4372,0.2712495346817223
support,8,10,ambiguous,lane_anchored,729,0.04522893659262936
support,8,10,ambiguous,roamer,658,0.040823923563717585
support,8,10,lane_anchored,ambiguous,1860,0.11539893287008314
support,8,10,lane_anchored,lane_anchored,3513,0.21795508127559252
support,8,10,roamer,ambiguous,1553,0.09635190470281672
support,8,10,roamer,roamer,3433,0.2129916863134384
support,10,12,ambiguous,ambiguous,6568,0.4074441687344913
support,10,12,ambiguous,lane_anchored,541,0.03356079404466501
support,10,12,ambiguous,roamer,678,0.04205955334987593
support,10,12,lane_anchored,ambiguous,1459,0.09050868486352358
support,10,12,lane_anchored,lane_anchored,2783,0.17264267990074442
support,10,12,roamer,ambiguous,826,0.051240694789081886
support,10,12,roamer,roamer,3265,0.20254342431761788
support,12,14,ambiguous,ambiguous,7375,0.4575062034739454
support,12,14,ambiguous,lane_anchored,800,0.04962779156327544
support,12,14,ambiguous,roamer,678,0.04205955334987593
support,12,14,lane_anchored,ambiguous,567,0.03517369727047146
support,12,14,lane_anchored,lane_anchored,2757,0.17102977667493796
support,12,14,roamer,ambiguous,834,0.05173697270471464
support,12,14,roamer,roamer,3109,0.19286600496277917
