task,window_a,window_b,from_label,to_label,n,pct_of_pair
team,6,8,ambiguous,ambiguous,4941,0.3065136476426799
team,6,8,ambiguous,botside_oriented,1101,0.06830024813895781
team,6,8,ambiguous,topside_oriented,1071,0.06643920595533499
team,6,8,botside_oriented,ambiguous,2459,0.15254342431761786
team,6,8,botside_oriented,botside_oriented,2154,0.1336228287841191
team,6,8,botside_oriented,topside_oriented,116,0.007196029776674938
team,6,8,topside_oriented,ambiguous,1764,0.10942928039702234
team,6,8,topside_oriented,topside_oriented,2514,0.15595533498759306
team,8,10,ambiguous,ambiguous,6020,0.37344913151364767
team,8,10,ambiguous,botside_oriented,1704,0.10570719602977667
team,8,10,ambiguous,topside_oriented,1440,0.08933002481389578
team,8,10,botside_oriented,ambiguous,1218,0.07555831265508685
team,8,10,botside_oriented,botside_oriented,1964,0.12183622828784119
team,8,10,botside_oriented,topside_oriented,73,0.004528535980148883
team,8,10,topside_oriented,ambiguous,1482,0.09193548387096774
team,8,10,topside_oriented,botside_oriented,2,0.00012406947890818859
team,8,10,topside_oriented,topside_oriented,2217,0.13753101736972706
team,10,12,ambiguous,ambiguous,6934,0.4301488833746898
team,10,12,ambiguous,botside_oriented,964,0.0598014888337469
team,10,12,ambiguous,topside_oriented,822,0.05099255583126551
team,10,12,botside_oriented,ambiguous,1120,0.06947890818858561
team,10,12,botside_oriented,botside_oriented,2530,0.15694789081885857
team,10,12,botside_oriented,topside_oriented,20,0.0012406947890818859
team,10,12,topside_oriented,ambiguous,1151,0.07140198511166253
team,10,12,topside_oriented,topside_oriented,2579,0.1599875930521092
team,12,14,ambiguous,ambiguous,7459,0.4627171215880893
team,12,14,ambiguous,botside_oriented,828,0.051364764267990075
team,12,14,ambiguous,topside_oriented,918,0.05694789081885856
team,12,14,botside_oriented,ambiguous,982,0.06091811414392059
team,12,14,botside_oriented,botside_oriented,2501,0.15514888337468982
team,12,14,botside_oriented,topside_oriented,11,0.0006823821339950372
team,12,14,topside_oriented,ambiguous,961,0.05961538461538462
team,12,14,topside_oriented,topside_oriented,2460,0.15260545905707196
