config_id,start_minute,max_minute,far_adc_threshold,w_outside,w_far,w_xp,rows,coverage,score_mean,score_std,score_p25,score_median,score_p75
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,4.0,8.0,2200.0,0.45,0.35,0.2,16205,0.9951486121346107,0.19762432204815114,0.17015522066560798,0.0645739910313901,0.15931571815718157,0.2934210526315789
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,4.0,8.0,2200.0,0.35,0.4,0.25,16205,0.9951486121346107,0.22039678546961672,0.180213976111475,0.08071748878923762,0.18735285006195787,0.33085322393502403
cfg_003_s4p0_m08_far2200_w0p3-0p45-0p25,4.0,8.0,2200.0,0.3,0.45,0.25,16205,0.9951486121346107,0.22687498672034145,0.18545129148488593,0.07816001792917976,0.19059263521288838,0.34118402615600185
cfg_004_s4p0_m08_far2500_w0p45-0p35-0p2,4.0,8.0,2500.0,0.45,0.35,0.2,16205,0.9951486121346107,0.1918251859790367,0.16835696463189184,0.06024607551972849,0.15171325518485124,0.28726385190820336
cfg_005_s4p0_m08_far2500_w0p35-0p4-0p25,4.0,8.0,2500.0,0.35,0.4,0.25,16205,0.9951486121346107,0.21376920139062877,0.17797422990466166,0.07532850022655191,0.17903987408184674,0.319047619047619
cfg_006_s4p0_m08_far2500_w0p3-0p45-0p25,4.0,8.0,2500.0,0.3,0.45,0.25,16205,0.9951486121346107,0.21941895463148,0.1828272478287605,0.075,0.1829993535875889,0.32897598550067964
cfg_007_s4p0_m08_far2800_w0p45-0p35-0p2,4.0,8.0,2800.0,0.45,0.35,0.2,16205,0.9951486121346107,0.18702676985232683,0.16693438140732503,0.0561797752808989,0.14719202898550726,0.27941792294807366
cfg_008_s4p0_m08_far2800_w0p35-0p4-0p25,4.0,8.0,2800.0,0.35,0.4,0.25,16205,0.9951486121346107,0.20828529724581749,0.17620235134862225,0.07022471910112363,0.17168068763716166,0.31000437828371274
cfg_009_s4p0_m08_far2800_w0p3-0p45-0p25,4.0,8.0,2800.0,0.3,0.45,0.25,16205,0.9951486121346107,0.2132495624685673,0.18069994985041088,0.0702332657200811,0.17429651406971863,0.3209225171232876
cfg_010_s4p0_m10_far2200_w0p45-0p35-0p2,4.0,10.0,2200.0,0.45,0.35,0.2,16278,0.9996315401621223,0.2536719143068447,0.1728296970324519,0.11725656941651157,0.22941687315213416,0.361113592468299
cfg_011_s4p0_m10_far2200_w0p35-0p4-0p25,4.0,10.0,2200.0,0.35,0.4,0.25,16278,0.9996315401621223,0.2780292614587289,0.18124335611187062,0.13654723379799552,0.2550075559104229,0.39463634641169154
cfg_012_s4p0_m10_far2200_w0p3-0p45-0p25,4.0,10.0,2200.0,0.3,0.45,0.25,16278,0.9996315401621223,0.2846257413702659,0.18499553553591222,0.14047002609630488,0.2618625241127418,0.4040653197690139
cfg_013_s4p0_m10_far2500_w0p45-0p35-0p2,4.0,10.0,2500.0,0.45,0.35,0.2,16278,0.9996315401621223,0.24759669007782392,0.17151329059472,0.11336438207139478,0.22211824034523941,0.3540724789915966
cfg_014_s4p0_m10_far2500_w0p35-0p4-0p25,4.0,10.0,2500.0,0.35,0.4,0.25,16278,0.9996315401621223,0.2710861480541338,0.17956611264826186,0.13113172935176434,0.24748428433127173,0.38580747880745353
cfg_015_s4p0_m10_far2500_w0p3-0p45-0p25,4.0,10.0,2500.0,0.3,0.45,0.25,16278,0.9996315401621223,0.2768147387900964,0.18301289852707317,0.1338001003685711,0.2508142717028724,0.39514502198543794
cfg_016_s4p0_m10_far2800_w0p45-0p35-0p2,4.0,10.0,2800.0,0.45,0.35,0.2,16278,0.9996315401621223,0.2426022702064228,0.17073868190939978,0.10840945225647089,0.2156164146474102,0.3482095131346722
cfg_017_s4p0_m10_far2800_w0p35-0p4-0p25,4.0,10.0,2800.0,0.35,0.4,0.25,16278,0.9996315401621223,0.2653782396296754,0.17853833042733702,0.12570560354815277,0.24076903023983315,0.3809652145092757
cfg_018_s4p0_m10_far2800_w0p3-0p45-0p25,4.0,10.0,2800.0,0.3,0.45,0.25,16278,0.9996315401621223,0.2703933418125807,0.1817705344152577,0.12698229948156142,0.24560555524768754,0.38848169673102984
cfg_019_s4p0_m11_far2200_w0p45-0p35-0p2,4.0,11.0,2200.0,0.45,0.35,0.2,16281,0.9998157700810612,0.2677716573209152,0.1675350365661458,0.13839515713549713,0.2485279805352798,0.3752139086109594
cfg_020_s4p0_m11_far2200_w0p35-0p4-0p25,4.0,11.0,2200.0,0.35,0.4,0.25,16281,0.9998157700810612,0.2936035446287018,0.17571034679454167,0.15970824949698187,0.27614331723027374,0.41000000000000003
cfg_021_s4p0_m11_far2200_w0p3-0p45-0p25,4.0,11.0,2200.0,0.3,0.45,0.25,16281,0.9998157700810612,0.30022559311642194,0.17914705453201793,0.16285254445125685,0.2836661765907048,0.4194279984721161
cfg_022_s4p0_m11_far2500_w0p45-0p35-0p2,4.0,11.0,2500.0,0.45,0.35,0.2,16281,0.9998157700810612,0.26150985931505966,0.1662828493737742,0.13333333333333333,0.24121827411167515,0.3690644562949223
cfg_023_s4p0_m11_far2500_w0p35-0p4-0p25,4.0,11.0,2500.0,0.35,0.4,0.25,16281,0.9998157700810612,0.2864472040505812,0.17412654479022752,0.15369809688581312,0.2677606398171951,0.4010869565217391
cfg_024_s4p0_m11_far2500_w0p3-0p45-0p25,4.0,11.0,2500.0,0.3,0.45,0.25,16281,0.9998157700810612,0.2921747099660363,0.17727812062271212,0.15646893974778142,0.2739654813890622,0.4101129470822003
cfg_025_s4p0_m11_far2800_w0p45-0p35-0p2,4.0,11.0,2800.0,0.45,0.35,0.2,16281,0.9998157700810612,0.2563803627648888,0.16547365765690153,0.12857142857142856,0.23548139624088987,0.36387139542591973
cfg_026_s4p0_m11_far2800_w0p35-0p4-0p25,4.0,11.0,2800.0,0.35,0.4,0.25,16281,0.9998157700810612,0.2805849222789573,0.17308206183922184,0.14776910764305723,0.2604834718923198,0.3948572758299721
cfg_027_s4p0_m11_far2800_w0p3-0p45-0p25,4.0,11.0,2800.0,0.3,0.45,0.25,16281,0.9998157700810612,0.28557964297295935,0.1760276024093245,0.15,0.2663709223847019,0.4020940634318243
cfg_028_s4p0_m12_far2200_w0p45-0p35-0p2,4.0,12.0,2200.0,0.45,0.35,0.2,16283,0.9999385900270203,0.2770165363700824,0.16317590161847897,0.15237111783221013,0.25911465541101575,0.3838003910867754
cfg_029_s4p0_m12_far2200_w0p35-0p4-0p25,4.0,12.0,2200.0,0.35,0.4,0.25,16283,0.9999385900270203,0.30369211739066726,0.17113530766107088,0.17253050929284752,0.2897856958430157,0.4191377836214794
cfg_030_s4p0_m12_far2200_w0p3-0p45-0p25,4.0,12.0,2200.0,0.3,0.45,0.25,16283,0.9999385900270203,0.3104785129435677,0.1744055339441167,0.17695470771284683,0.2974134977732099,0.4290473959873784
cfg_031_s4p0_m12_far2500_w0p45-0p35-0p2,4.0,12.0,2500.0,0.45,0.35,0.2,16283,0.9999385900270203,0.27053782135032767,0.16194641884630162,0.14712013705456173,0.2525202477930199,0.37594900611288
cfg_032_s4p0_m12_far2500_w0p35-0p4-0p25,4.0,12.0,2500.0,0.35,0.4,0.25,16283,0.9999385900270203,0.29628787165380466,0.1695806079239779,0.16706439567216622,0.28243801652892564,0.4098355308530418
cfg_033_s4p0_m12_far2500_w0p3-0p45-0p25,4.0,12.0,2500.0,0.3,0.45,0.25,16283,0.9999385900270203,0.30214873648959734,0.17257329205406183,0.17063671938030456,0.2884492959208386,0.41866753435062254
cfg_034_s4p0_m12_far2800_w0p45-0p35-0p2,4.0,12.0,2800.0,0.45,0.35,0.2,16283,0.9999385900270203,0.2651513241855955,0.1611340707591185,0.14089741606876138,0.24705230496453898,0.36886858797255107
cfg_035_s4p0_m12_far2800_w0p35-0p4-0p25,4.0,12.0,2800.0,0.35,0.4,0.25,16283,0.9999385900270203,0.2901318748941108,0.16854104137795956,0.16058319460076284,0.27485408171424,0.4029288804559257
