config_id,start_minute,max_minute,far_adc_threshold,w_outside,w_far,w_xp,rows,coverage,score_mean,score_std,score_p25,score_median,score_p75,rank_score
cfg_093_s6p0_m11_far2200_w0p3-0p45-0p25,6.0,11.0,2200.0,0.3,0.45,0.25,16267,0.9989560304593466,0.32367081431924,0.2011390723729679,0.164809990558537,0.3048346636259976,0.4599999999999999,0.6245538998054116
cfg_102_s6p0_m12_far2200_w0p3-0p45-0p25,6.0,12.0,2200.0,0.3,0.45,0.25,16280,0.9997543601080816,0.3318267848501143,0.191663542560775,0.18200207134073,0.3190629402109424,0.4609971318633101,0.6237415997922962
cfg_084_s6p0_m10_far2200_w0p3-0p45-0p25,6.0,10.0,2200.0,0.3,0.45,0.25,16175,0.9933063129452224,0.3105783957200752,0.2138492357654529,0.1398593326948769,0.2838023190045249,0.4519694466704471,0.6229236063462621
cfg_096_s6p0_m11_far2500_w0p3-0p45-0p25,6.0,11.0,2500.0,0.3,0.45,0.25,16267,0.9989560304593466,0.3149107479271578,0.1993147212818079,0.156361725628014,0.2959270148737461,0.4475313237801602,0.6222545811996473
cfg_092_s6p0_m11_far2200_w0p35-0p4-0p25,6.0,11.0,2200.0,0.35,0.4,0.25,16267,0.9989560304593466,0.3168892907362405,0.1972153285447683,0.1614878908383087,0.2977209944751381,0.4497647553373485,0.6220204719403518
cfg_105_s6p0_m12_far2500_w0p3-0p45-0p25,6.0,12.0,2500.0,0.3,0.45,0.25,16280,0.9997543601080816,0.322818492466822,0.1899450830255035,0.1745788232308268,0.3084236089621586,0.4499999999999999,0.6214244034550562
cfg_101_s6p0_m12_far2200_w0p35-0p4-0p25,6.0,12.0,2200.0,0.35,0.4,0.25,16280,0.9997543601080816,0.3248458939837698,0.188033144850702,0.1790482911881294,0.3111981914968862,0.45,0.6212563023060054
cfg_087_s6p0_m10_far2500_w0p3-0p45-0p25,6.0,10.0,2500.0,0.3,0.45,0.25,16175,0.9933063129452224,0.3020328006659794,0.2118277826308366,0.1301258987858483,0.2703947368421052,0.4405752557068346,0.6206080513950581
cfg_099_s6p0_m11_far2800_w0p3-0p45-0p25,6.0,11.0,2800.0,0.3,0.45,0.25,16267,0.9989560304593466,0.3078104835883123,0.1979432033999747,0.15,0.2868991945959989,0.4375,0.6204230729673281
cfg_083_s6p0_m10_far2200_w0p35-0p4-0p25,6.0,10.0,2200.0,0.35,0.4,0.25,16175,0.9933063129452224,0.3037885515205976,0.2093661863456746,0.1333333333333333,0.274351117519827,0.4416666666666666,0.620220722680433
cfg_095_s6p0_m11_far2500_w0p35-0p4-0p25,6.0,11.0,2500.0,0.35,0.4,0.25,16267,0.9989560304593466,0.3091025650543897,0.1957041067770619,0.1546594569171081,0.2895783847980997,0.4384423492694493,0.6200097602736698
cfg_108_s6p0_m12_far2800_w0p3-0p45-0p25,6.0,12.0,2800.0,0.3,0.45,0.25,16280,0.9997543601080816,0.3153461337444632,0.1885628829355688,0.167954494169594,0.3000372830802603,0.4415614570008727,0.619515271683604
