metric,q,value
team_side_focus_score,0.01,-0.8461538461538461
team_side_focus_score,0.05,-0.7142857142857143
team_side_focus_score,0.1,-0.6923076923076923
team_side_focus_score,0.25,-0.5714285714285714
team_side_focus_score,0.33,-0.5714285714285714
team_side_focus_score,0.5,-0.5
team_side_focus_score,0.66,-0.42857142857142855
team_side_focus_score,0.75,-0.38461538461538464
team_side_focus_score,0.9,-0.2727272727272727
team_side_focus_score,0.95,-0.16666666666666666
team_side_focus_score,0.99,0.0
