metric,q,value
team_side_focus_score,0.01,-0.7894736842105263
team_side_focus_score,0.05,-0.6842105263157895
team_side_focus_score,0.1,-0.6470588235294118
team_side_focus_score,0.25,-0.5555555555555556
team_side_focus_score,0.33,-0.5238095238095238
team_side_focus_score,0.5,-0.4444444444444444
team_side_focus_score,0.66,-0.3684210526315789
team_side_focus_score,0.75,-0.3333333333333333
team_side_focus_score,0.9,-0.2222222222222222
team_side_focus_score,0.95,-0.14285714285714285
team_side_focus_score,0.99,0.0
