matchId,win,gameDuration,TOP_Ally_ID,TOP_Enemy_ID,TOP_GoldDiff_5,TOP_XpDiff_5,TOP_CsDiff_5,TOP_GoldDiff_10,TOP_XpDiff_10,TOP_CsDiff_10,TOP_GoldDiff_15,TOP_XpDiff_15,TOP_CsDiff_15,TOP_GoldDiff_20,TOP_XpDiff_20,TOP_CsDiff_20,TOP_EarlyTakedowns,TOP_LaneCsBefore10,TOP_DmgTotal,TOP_DmgPhys,TOP_DmgMagic,TOP_DmgTrue,TOP_DmgTurret,TOP_DmgObj,TOP_TotalCS,TOP_GoldEarned,TOP_GoldSpent,TOP_BountyGold,TOP_FirstBloodKill,TOP_FirstBloodAssist,TOP_DragonTakedowns,TOP_BaronTakedowns,TOP_RiftHeraldTakedowns,TOP_VoidMonsterTakedowns,TOP_TurretPlates,TOP_MaxCsAdvantage,TOP_SoloKills,TOP_VisionScore,TOP_WardsPlaced,TOP_WardsKilled,TOP_ControlWardsPlaced,TOP_DetectorWardsPlaced,TOP_TimeCC,TOP_TotalCC,TOP_KillParticipation,JUNGLE_Ally_ID,JUNGLE_Enemy_ID,JUNGLE_GoldDiff_5,JUNGLE_XpDiff_5,JUNGLE_CsDiff_5,JUNGLE_GoldDiff_10,JUNGLE_XpDiff_10,JUNGLE_CsDiff_10,JUNGLE_GoldDiff_15,JUNGLE_XpDiff_15,JUNGLE_CsDiff_15,JUNGLE_GoldDiff_20,JUNGLE_XpDiff_20,JUNGLE_CsDiff_20,JUNGLE_EarlyTakedowns,JUNGLE_JgCsBefore10,JUNGLE_EnemyJgInvades,JUNGLE_DmgTotal,JUNGLE_DmgPhys,JUNGLE_DmgMagic,JUNGLE_DmgTrue,JUNGLE_DmgTurret,JUNGLE_DmgObj,JUNGLE_TotalCS,JUNGLE_GoldEarned,JUNGLE_GoldSpent,JUNGLE_BountyGold,JUNGLE_FirstBloodKill,JUNGLE_FirstBloodAssist,JUNGLE_DragonTakedowns,JUNGLE_BaronTakedowns,JUNGLE_RiftHeraldTakedowns,JUNGLE_VoidMonsterTakedowns,JUNGLE_TurretPlates,JUNGLE_MaxCsAdvantage,JUNGLE_SoloKills,JUNGLE_VisionScore,JUNGLE_WardsPlaced,JUNGLE_WardsKilled,JUNGLE_ControlWardsPlaced,JUNGLE_DetectorWardsPlaced,JUNGLE_TimeCC,JUNGLE_TotalCC,JUNGLE_KillParticipation,MIDDLE_Ally_ID,MIDDLE_Enemy_ID,MIDDLE_GoldDiff_5,MIDDLE_XpDiff_5,MIDDLE_CsDiff_5,MIDDLE_GoldDiff_10,MIDDLE_XpDiff_10,MIDDLE_CsDiff_10,MIDDLE_GoldDiff_15,MIDDLE_XpDiff_15,MIDDLE_CsDiff_15,MIDDLE_GoldDiff_20,MIDDLE_XpDiff_20,MIDDLE_CsDiff_20,MIDDLE_EarlyTakedowns,MIDDLE_LaneCsBefore10,MIDDLE_DmgTotal,MIDDLE_DmgPhys,MIDDLE_DmgMagic,MIDDLE_DmgTrue,MIDDLE_DmgTurret,MIDDLE_DmgObj,MIDDLE_TotalCS,MIDDLE_GoldEarned,MIDDLE_GoldSpent,MIDDLE_BountyGold,MIDDLE_FirstBloodKill,MIDDLE_FirstBloodAssist,MIDDLE_DragonTakedowns,MIDDLE_BaronTakedowns,MIDDLE_RiftHeraldTakedowns,MIDDLE_VoidMonsterTakedowns,MIDDLE_TurretPlates,MIDDLE_MaxCsAdvantage,MIDDLE_SoloKills,MIDDLE_VisionScore,MIDDLE_WardsPlaced,MIDDLE_WardsKilled,MIDDLE_ControlWardsPlaced,MIDDLE_DetectorWardsPlaced,MIDDLE_TimeCC,MIDDLE_TotalCC,MIDDLE_KillParticipation,BOTTOM_Ally_ID,BOTTOM_Enemy_ID,BOTTOM_GoldDiff_5,BOTTOM_XpDiff_5,BOTTOM_CsDiff_5,BOTTOM_GoldDiff_10,BOTTOM_XpDiff_10,BOTTOM_CsDiff_10,BOTTOM_GoldDiff_15,BOTTOM_XpDiff_15,BOTTOM_CsDiff_15,BOTTOM_GoldDiff_20,BOTTOM_XpDiff_20,BOTTOM_CsDiff_20,BOTTOM_EarlyTakedowns,BOTTOM_LaneCsBefore10,BOTTOM_DmgTotal,BOTTOM_DmgPhys,BOTTOM_DmgMagic,BOTTOM_DmgTrue,BOTTOM_DmgTurret,BOTTOM_DmgObj,BOTTOM_TotalCS,BOTTOM_GoldEarned,BOTTOM_GoldSpent,BOTTOM_BountyGold,BOTTOM_FirstBloodKill,BOTTOM_FirstBloodAssist,BOTTOM_DragonTakedowns,BOTTOM_BaronTakedowns,BOTTOM_RiftHeraldTakedowns,BOTTOM_VoidMonsterTakedowns,BOTTOM_TurretPlates,BOTTOM_MaxCsAdvantage,BOTTOM_SoloKills,BOTTOM_VisionScore,BOTTOM_WardsPlaced,BOTTOM_WardsKilled,BOTTOM_ControlWardsPlaced,BOTTOM_DetectorWardsPlaced,BOTTOM_TimeCC,BOTTOM_TotalCC,BOTTOM_KillParticipation,UTILITY_Ally_ID,UTILITY_Enemy_ID,UTILITY_GoldDiff_5,UTILITY_XpDiff_5,UTILITY_CsDiff_5,UTILITY_GoldDiff_10,UTILITY_XpDiff_10,UTILITY_CsDiff_10,UTILITY_GoldDiff_15,UTILITY_XpDiff_15,UTILITY_CsDiff_15,UTILITY_GoldDiff_20,UTILITY_XpDiff_20,UTILITY_CsDiff_20,UTILITY_EarlyTakedowns,UTILITY_LaneCsBefore10,UTILITY_DmgTotal,UTILITY_DmgPhys,UTILITY_DmgMagic,UTILITY_DmgTrue,UTILITY_DmgTurret,UTILITY_DmgObj,UTILITY_TotalCS,UTILITY_GoldEarned,UTILITY_GoldSpent,UTILITY_BountyGold,UTILITY_FirstBloodKill,UTILITY_FirstBloodAssist,UTILITY_DragonTakedowns,UTILITY_BaronTakedowns,UTILITY_RiftHeraldTakedowns,UTILITY_VoidMonsterTakedowns,UTILITY_TurretPlates,UTILITY_MaxCsAdvantage,UTILITY_SoloKills,UTILITY_VisionScore,UTILITY_WardsPlaced,UTILITY_WardsKilled,UTILITY_ControlWardsPlaced,UTILITY_DetectorWardsPlaced,UTILITY_TimeCC,UTILITY_TotalCC,UTILITY_KillParticipation,Team_Dragons,Team_Barons,Team_Towers,Team_Inhibitors,Team_RiftHeralds,Team_VoidGrubs,Team_ElderDragons
EUW1_7715816145,1,29.55,85,897,597,319,29,1073,902,56,1338,700,57,688,-264,48,2,99,1074.653130287648,253.9424703891709,778.2402707275803,42.47038917089679,469.00169204737733,469.00169204737733,300,14864,14275,0,0,0,0,0,0,0,17,122.00000002980232,1,0.7445008460236886,8,1,1,1,44,103,0.44,107,5,-95,-407,-10,243,-83,-5,-135,-602,-11,14,-459,5,6,58,6,876.6497461928934,687.7495769881557,107.0389170896785,81.8274111675127,73.60406091370558,650.9644670050761,197,12682,11150,132.62379455566406,0,0,0,1,0,4,5,5.249999910593033,0,0.676818950930626,2,5,1,1,14,191,0.52,427,245,-469,-192,-14,-1784,-1243,-52,-2855,-2213,-85,-4449,-3349,-142,5,45,443.01184433164127,117.80033840947546,253.50253807106597,71.70896785109983,26.76818950930626,78.95093062605753,79,8188,6800,0,0,0,0,1,0,1,7,1.0,0,1.0490693739424704,13,7,2,2,48,305,0.67,42,81,89,-149,3,468,-207,6,872,-472,14,64,-362,33,3,89,1364.263959390863,900.0338409475465,299.12013536379015,165.10998307952622,397.15736040609136,648.2571912013536,286,17088,15333,1216.837890625,0,0,0,1,0,1,15,29.0,0,0.8121827411167513,13,1,2,2,3,30,0.56,267,432,-372,291,4,111,581,3,557,1109,7,352,323,9,6,15,480.37225042301185,56.95431472081218,420.8121827411167,2.6057529610829104,70.55837563451776,111.57360406091371,38,10133,9100,0,0,0,0,1,0,1,7,13.25,0,3.7563451776649743,45,16,10,10,45,287,0.81,0,1,7,1,0,3,0
EUW1_7715765218,1,21.75,24,14,238,-134,-4,355,198,-5,159,-30,-9,301,-621,-14,1,78,728.5057471264367,426.62068965517244,270.71264367816093,31.126436781609197,583.4942528735633,583.4942528735633,208,8861,6733,0,0,0,0,0,0,0,11,8.0,0,0.7816091954022989,7,1,0,0,16,77,0.06,59,64,820,651,6,846,359,6,1470,1286,29,2023,1874,49,4,63,27,533.1494252873563,430.11494252873564,48.735632183908045,54.252873563218394,0.0,1168.5057471264367,169,9469,8275,0.0,1,0,2,0,1,2,2,54.10000014305115,0,1.0574712643678161,5,4,1,1,25,573,0.71,268,103,222,124,5,329,490,13,457,1163,18,-935,336,12,2,93,745.6091954022988,46.206896551724135,695.816091954023,3.586206896551724,340.91954022988506,393.60919540229884,219,10431,7875,0,0,1,1,0,0,0,9,34.599999994039536,0,1.471264367816092,11,4,3,3,11,223,0.41,42,15,-79,-276,-4,417,-132,3,130,326,10,1960,1030,8,1,84,1192.7816091954023,725.2413793103449,319.95402298850576,147.54022988505747,262.3448275862069,268.32183908045977,184,10496,9108,0.0,0,0,0,0,0,1,7,13.0,0,1.103448275862069,8,3,3,3,2,41,0.71,267,201,63,-351,4,444,-357,2,611,-191,12,1416,541,22,2,16,441.42528735632186,76.27586206896552,365.14942528735634,0.0,19.95402298850575,19.95402298850575,41,6753,5905,0,0,0,0,0,0,0,5,23.0,0,2.8505747126436782,21,11,6,6,40,212,0.76,2,0,5,0,1,0,0
EUW1_7715737354,1,32.68333333333333,24,799,-123,-527,-5,-1607,-2016,-32,-2440,-2652,-47,-2163,-2794,-43,1,49,478.7149413564508,259.15349311575727,175.31871494135646,44.212136664966856,443.3758286588476,689.5563488016319,168,10797,10433,0,0,0,0,2,0,2,11,6.0,1,0.7955124936257012,8,2,0,0,20,104,0.11,904,33,350,736,18,1282,1406,34,1218,1659,55,1698,2291,66,8,78,26,1704.936257011729,1556.511983681795,52.62621111677716,95.73686894441613,250.2804691483937,1790.3926568077513,264,18992,15650,0.0,0,0,4,2,0,5,17,88.5500001013279,0,1.1932687404385518,9,9,2,2,62,673,0.63,517,10,322,142,-3,705,320,-5,1159,530,-9,2666,1309,-9,9,85,1115.0331463539012,4.589495155532892,1031.3819479857216,79.0311065782764,520.8159102498726,713.6053034166242,240,18898,20205,0,0,0,2,1,0,1,24,5.0,6,1.6828148903620603,13,6,3,3,20,376,0.59,81,26,353,263,9,320,72,5,1153,470,16,1094,-278,13,6,83,896.7567567567569,668.0469148393678,203.43702192758798,25.242223355430905,205.30341662417135,815.706272310046,241,14315,13808,0.0,0,0,2,1,0,1,15,30.0,0,0.7955124936257012,11,4,3,3,6,62,0.43,111,35,30,587,5,177,1248,9,187,523,14,-789,-148,15,11,11,318.3579806221316,120.03059663437023,184.74247832738402,13.554309026007141,83.86537480877104,142.2131565527792,34,12378,10735,0,0,0,2,1,0,1,18,15.0,1,4.099949005609384,59,11,17,17,89,406,0.72,4,2,13,4,0,3,0
EUW1_7715032041,1,28.983333333333334,799,887,-572,-514,-16,-1024,-824,-30,-1566,-1839,-43,-2875,-1719,-23,0,71,964.8993674525589,918.355376653249,42.541690626797006,3.9677975848188614,423.7607820586544,423.7607820586544,233,12493,11885,0,0,0,0,0,0,0,11,0.0,1,0.7935595169637722,9,0,1,1,14,227,0.27,36,5,-303,276,5,420,230,5,945,896,18,442,382,21,8,74,20,1054.4335825186888,507.6365727429557,535.3076480736055,11.454859114433582,125.52041403105233,2028.4761357101781,215,13936,12825,0.0,0,0,3,1,1,5,8,40.45000001788139,2,1.6216216216216215,6,8,3,3,19,427,0.57,61,13,-19,-140,-1,-453,75,10,-155,518,9,527,1189,25,5,89,951.1328349626222,40.50603795284646,910.6267970097757,0.0,153.81253594019552,478.44738355376654,238,12069,11525,0,0,0,1,1,0,1,6,33.0,1,0.48303622771707877,9,2,2,2,25,436,0.57,42,804,466,259,21,986,391,33,2453,108,23,2973,119,24,6,85,1519.4249568717653,968.9361702127659,355.7906843013226,194.66359976998274,533.0649798734905,842.8637147786084,239,16275,14883,0.0,0,0,1,0,0,0,22,30.0,0,1.17308798159862,13,2,2,2,6,105,0.62,267,555,-276,278,-3,65,1135,0,-219,463,-4,532,1135,-7,7,14,574.3990799309948,47.0615296147211,476.17021276595744,51.09833237492812,105.06037952846464,206.42898217366303,27,10870,10080,0,0,0,0,1,1,2,14,5.0,1,3.036227717078781,45,6,7,9,36,259,0.78,3,1,10,2,1,3,0
EUW1_7714965850,1,23.466666666666665,893,64,121,416,6,1085,1064,17,2863,3508,44,3189,3038,42,7,79,979.815340909091,177.4005681818182,751.7045454545455,50.66761363636364,580.3125,734.7017045454546,213,11634,11400,0,0,0,0,1,0,1,23,57.0,4,1.1079545454545456,10,0,2,2,6,189,0.43,36,31,-114,-131,-4,111,298,6,717,731,12,554,1411,22,4,74,8,480.0426136363637,198.83522727272728,273.4943181818182,7.670454545454546,121.70454545454547,1794.2471590909092,187,10487,8600,0.0,0,0,2,1,1,3,9,35.24999997019768,0,1.1931818181818183,7,1,3,3,9,424,0.43,517,161,240,518,14,216,864,9,1252,1957,18,338,277,-9,4,80,771.5625,28.892045454545457,642.9971590909091,99.63068181818183,507.9545454545455,577.1164772727274,194,10127,8075,0,0,0,0,1,0,1,14,19.0,2,1.40625,12,2,1,1,22,288,0.3,81,145,16,487,9,-863,355,0,-354,295,-7,-1744,972,7,5,75,983.7784090909091,683.90625,288.3238636363637,11.505681818181818,399.54545454545456,644.7869318181819,204,12157,9250,0.0,0,0,1,1,0,1,13,19.0,0,0.5965909090909092,10,0,0,0,0,7,0.48,518,43,174,342,0,-326,-116,-1,663,279,8,434,-863,19,6,13,554.9573863636364,66.26420454545455,454.85795454545456,33.75,79.94318181818183,138.9630681818182,45,7982,6150,0,0,0,0,1,0,1,9,23.0,0,2.7272727272727275,27,7,6,6,30,78,0.48,2,1,10,2,1,1,0
EUW1_7714893492,1,27.35,897,150,-508,-175,1,-183,761,6,141,619,10,2574,2721,24,2,88,1149.579524680073,1010.6764168190127,90.45703839122486,48.37294332723948,157.9159049360146,210.23765996343693,191,12730,11050,0,0,0,0,0,0,0,10,30.0,3,0.7312614259597806,11,1,2,2,64,1473,0.59,121,799,10,-14,0,396,-48,0,1783,2412,29,718,2358,30,4,84,12,924.3510054844606,757.1846435100548,41.864716636197436,125.26508226691041,235.6489945155393,1699.7806215722119,216,13806,13750,0.0,0,0,3,0,1,1,11,50.249999940395355,2,0.5484460694698354,1,4,0,0,9,290,0.34,517,61,-42,157,-3,109,491,-10,1488,764,-7,3209,1288,-17,4,82,954.6983546617915,43.51005484460695,850.4936014625229,60.6581352833638,485.6307129798903,572.8336380255942,221,14014,11725,0,0,0,0,0,0,0,11,6.0,2,1.023765996343693,9,3,3,3,35,472,0.5,30,804,-56,-5,2,3,163,6,-1457,-382,-13,-436,1312,21,3,84,816.8921389396709,15.502742230347348,784.0950639853747,17.257769652650822,309.835466179159,340.6215722120658,211,12246,11950,0.0,0,0,0,0,0,0,13,35.0,0,0.5850091407678245,9,2,0,0,17,184,0.47,43,497,175,26,2,-375,-462,1,-210,-475,8,630,-191,10,4,16,461.1334552102376,46.36197440585009,373.199268738574,41.53564899451554,16.051188299817184,53.199268738574034,49,9473,6965,0,0,0,2,0,0,0,6,28.0,1,4.021937842778793,25,17,2,2,32,171,0.56,3,0,9,1,1,0,0
EUW1_7714814291,1,29.4,106,58,-698,-76,-11,-809,-120,-16,-2138,-2026,-41,-2253,-2226,-60,1,58,780.7142857142858,418.2993197278912,321.2244897959184,41.156462585034014,214.31972789115648,266.42857142857144,165,9850,9650,0,0,0,1,1,0,1,11,6.0,0,0.8503401360544218,12,0,0,0,32,282,0.26,246,421,317,362,12,784,1005,18,1706,1970,34,3415,3912,68,5,80,30,1134.7619047619048,950.2380952380953,100.3061224489796,84.18367346938776,166.8027210884354,736.0544217687075,272,17521,16825,0.0,0,0,2,1,0,1,6,125.8000001013279,1,1.7006802721088436,8,5,1,1,23,265,0.5,517,80,634,440,0,1554,905,23,833,1504,40,1347,1399,46,8,80,1697.2108843537417,24.28571428571429,1586.904761904762,85.98639455782313,482.78911564625855,490.7823129251701,254,18198,15375,0,1,0,1,0,0,0,18,59.0,5,1.054421768707483,13,1,1,1,38,537,0.6,804,26,81,-31,3,856,370,19,3650,1532,38,5454,2137,64,8,101,963.2312925170069,649.21768707483,289.5578231292517,24.421768707482993,227.9591836734694,976.9727891156463,292,17594,16750,0.0,0,0,3,1,0,1,10,85.00000002980232,2,0.9863945578231293,11,8,1,1,5,250,0.43,117,267,35,133,0,223,164,-4,1076,747,-3,827,1069,-9,9,8,395.4761904761905,68.77551020408164,326.0204081632653,0.6802721088435374,67.00680272108843,166.73469387755102,16,10526,10355,0,0,0,3,1,0,1,13,0.0,0,3.0612244897959187,40,7,6,6,50,316,0.69,3,1,10,2,0,0,0
EUW1_7714739010,1,25.566666666666666,9,799,-166,-334,-9,-547,-272,-17,-874,-204,-24,-2094,-655,-41,3,62,674.3155149934811,45.56714471968709,565.0717079530639,63.63754889178618,53.15514993481095,186.84485006518906,149,8569,7650,0,0,0,0,1,1,2,2,8.0,2,1.5645371577574967,0,2,0,0,69,559,0.38,5,126,146,-192,-8,85,-782,-26,-1126,-1121,-32,-468,497,-19,5,63,2,916.7014341590613,817.9791395045632,50.14341590612777,48.57887874837027,27.222946544980445,1497.7314211212517,191,13421,12175,159.44482421875,0,0,4,1,1,2,7,2.75,0,1.0169491525423728,5,2,3,3,27,624,0.52,142,38,175,-288,0,-128,-158,5,49,-736,-2,-899,-912,-16,4,91,663.7157757496741,53.03780964797914,500.22164276401566,110.3780964797914,301.72099087353325,525.3715775749674,224,10247,10000,0,0,1,1,1,1,2,7,12.0,1,0.9778357235984355,12,2,0,0,23,112,0.45,161,81,876,38,1,1556,116,7,1853,1008,19,1598,1075,14,8,85,788.096479791395,21.19947848761408,580.7170795306389,186.14080834419818,152.54237288135593,564.0938722294654,199,12607,11150,0.0,1,0,3,1,0,1,5,24.0,1,0.9778357235984355,13,1,4,4,22,205,0.66,111,497,360,149,1,634,29,-2,82,-365,-1,-324,474,-4,7,13,258.148631029987,86.36245110821382,132.20338983050848,39.58279009126467,129.42633637548892,151.877444589309,22,7728,7175,0,0,1,1,1,0,1,11,2.0,0,2.698826597131682,33,6,5,5,45,189,0.59,4,1,3,0,1,0,0
EUW1_7714670467,1,34.21666666666667,23,887,341,132,12,1079,518,29,2191,631,43,3509,3317,82,1,92,975.0219191427179,878.1977593765221,0.0,96.79493424257184,501.50998538723815,570.4529956161714,381,17306,16875,0,0,0,1,0,0,0,17,127.00000005960464,0,1.8119824646858256,18,2,2,2,32,280,0.32,234,59,-29,12,0,995,520,1,486,191,4,953,234,-5,7,72,16,1314.7686312713101,1204.93911349245,86.77057963955187,23.058938139308328,5.728202630297126,1207.6278616658549,242,16868,16075,0.0,0,0,3,0,1,4,5,35.70000001788139,2,1.0521188504627375,3,6,1,1,39,375,0.68,90,14,-92,195,-3,-34,406,5,796,1248,14,387,842,-5,5,92,1404.2279590842668,70.72576716999512,1327.4232830004871,6.078908913784705,123.09790550414027,180.11690209449586,288,14660,14250,0,0,0,0,0,1,1,7,15.0,0,0.9059912323429128,22,3,6,6,147,926,0.65,110,800,234,63,3,-502,-336,-1,-261,-684,-10,-1733,-1286,-18,4,82,1244.130540672187,318.52898197759373,922.2406234778373,3.3609352167559665,391.2420847540185,449.108621529469,283,18601,17350,0.0,0,0,1,0,1,1,13,19.0,2,1.2859230394544567,13,13,4,4,27,341,0.5,78,412,-477,43,-2,303,-24,-6,399,171,-7,234,-716,-6,7,6,536.7559668777399,447.1505114466634,49.858743302484164,39.717486604968336,16.42474427666829,23.877252800779345,28,10500,10045,0,0,0,1,0,0,0,1,6.5,1,4.062347783731125,56,11,14,14,55,274,0.68,3,0,9,1,1,3,0
EUW1_7714561609,1,32.38333333333333,27,31,233,-331,-9,580,-17,-3,666,-459,6,-2039,-3063,-21,5,83,1071.4462171899124,57.59135357694287,952.2799794132784,61.544004117344315,308.8317035512095,308.8317035512095,293,14550,16000,0,0,0,0,0,0,0,10,13.5,0,0.9264024704065877,14,0,0,0,64,596,0.69,266,131,137,73,2,-50,66,1,-168,5,-7,-949,-437,-13,5,76,4,1267.0406587750902,1007.6479670612455,122.0380854348945,137.3237261966032,30.602161605764284,768.6978898610396,231,16553,15375,1053.6213684082031,1,0,2,1,0,4,2,10.500000029802322,1,0.8028821410190428,2,6,1,1,43,494,0.71,84,14,241,-248,-7,10,-386,-9,-662,-721,-12,-492,-908,-7,3,89,1280.380854348945,77.26196603190942,1113.5975295934122,89.49047864127638,219.5573854863613,301.42048378795675,252,15191,14150,700,0,1,0,1,0,1,8,14.0,0,1.1425630468347916,14,1,4,4,5,94,0.51,51,42,554,-10,3,592,115,4,1009,361,18,16,-830,1,3,83,1983.3659289758107,1943.0674215131241,30.077200205867214,10.190427174472465,620.0720535254761,1166.371590324241,291,18376,13400,246.943115234375,0,0,1,1,1,2,17,28.000000029802322,2,0.49408131755018014,12,2,0,0,45,131,0.69,518,111,116,290,0,99,185,1,198,1219,3,343,926,15,2,17,453.0416881111683,58.054554812146165,394.98713329902216,0.0,60.2161605764282,83.00566134843027,68,9596,8830,0,0,0,1,0,0,0,7,34.0,0,4.415851775604735,51,20,12,12,58,156,0.49,2,1,9,1,0,3,0
