task,window_a,window_b,relation,n_exact,same_exact,agreement_exact,n_non_ambiguous,same_non_ambiguous,agreement_non_ambiguous,n_extreme_pairs,extreme_flips,extreme_flip_rate
jungle,6,8,consecutive,29103,20673,0.7103391402948149,13587,13587,1.0,13587,0,0.0
jungle,8,10,consecutive,29547,20581,0.6965512573188479,11755,11750,0.9995746490854955,11755,5,0.0004253509145044662
jungle,10,12,consecutive,29549,23017,0.7789434498629395,10989,10989,1.0,10989,0,0.0
jungle,12,14,consecutive,29550,23333,0.7896108291032149,10643,10643,1.0,10643,0,0.0
jungle,6,10,vs_reference,29103,17436,0.5991134934542831,10130,9807,0.9681145113524185,10130,323,0.03188548864758144
jungle,8,10,vs_reference,29547,20581,0.6965512573188479,11755,11750,0.9995746490854955,11755,5,0.0004253509145044662
jungle,12,10,vs_reference,29549,23017,0.7789434498629395,10989,10989,1.0,10989,0,0.0
jungle,14,10,vs_reference,29549,20855,0.7057768452401096,9335,9334,0.9998928762720942,9335,1,0.00010712372790573112
support,6,8,consecutive,29373,20217,0.68828515984067,13693,13693,1.0,13693,0,0.0
support,8,10,consecutive,29550,20776,0.7030795262267343,12703,12703,1.0,12703,0,0.0
support,10,12,consecutive,29550,23051,0.780067681895093,11159,11159,1.0,11159,0,0.0
support,12,14,consecutive,29550,24303,0.8224365482233502,10955,10955,1.0,10955,0,0.0
support,6,10,vs_reference,29373,17764,0.6047730909338508,10846,10495,0.9676378388345934,10846,351,0.0323621611654066
support,8,10,vs_reference,29550,20776,0.7030795262267343,12703,12703,1.0,12703,0,0.0
support,12,10,vs_reference,29550,23051,0.780067681895093,11159,11159,1.0,11159,0,0.0
support,14,10,vs_reference,29550,20958,0.709238578680203,10170,10170,1.0,10170,0,0.0
team,6,8,consecutive,29550,17846,0.6039255499153976,9569,9327,0.9747100010450412,9569,242,0.02528999895495872
team,8,10,consecutive,29550,19007,0.6432148900169204,8402,8239,0.9805998571768626,8402,163,0.01940014282313735
team,10,12,consecutive,29550,22270,0.7536379018612521,9430,9397,0.9965005302226936,9430,33,0.0034994697773064686
team,12,14,consecutive,29550,22860,0.7736040609137056,9249,9245,0.9995675208130609,9249,4,0.00043247918693912856
team,6,10,vs_reference,29550,16109,0.5451438240270727,8714,8101,0.9296534312600413,8714,613,0.07034656873995869
team,8,10,vs_reference,29550,19007,0.6432148900169204,8402,8239,0.9805998571768626,8402,163,0.01940014282313735
team,12,10,vs_reference,29550,22270,0.7536379018612521,9430,9397,0.9965005302226936,9430,33,0.0034994697773064686
team,14,10,vs_reference,29550,20001,0.6768527918781726,8232,8136,0.9883381924198251,8232,96,0.011661807580174927
