task,window_a,window_b,from_label,to_label,n,pct_of_pair
jungle,6,8,ambiguous,ambiguous,7086,0.24348005360272137
jungle,6,8,ambiguous,farm_oriented,2169,0.07452839913410989
jungle,6,8,ambiguous,map_presence,2231,0.07665876370133663
jungle,6,8,farm_oriented,ambiguous,2233,0.07672748513898911
jungle,6,8,farm_oriented,farm_oriented,8766,0.30120606123080096
jungle,6,8,map_presence,ambiguous,1797,0.06174621173074941
jungle,6,8,map_presence,map_presence,4821,0.16565302546129265
jungle,8,10,ambiguous,ambiguous,8831,0.29887975090533725
jungle,8,10,ambiguous,farm_oriented,616,0.020848140251125327
jungle,8,10,ambiguous,map_presence,1814,0.06139371171354114
jungle,8,10,farm_oriented,ambiguous,5109,0.1729109554269469
jungle,8,10,farm_oriented,farm_oriented,5994,0.20286323484617727
jungle,8,10,farm_oriented,map_presence,5,0.0001692219176227705
jungle,8,10,map_presence,ambiguous,1422,0.04812671337191593
jungle,8,10,map_presence,map_presence,5756,0.1948082715673334
jungle,10,12,ambiguous,ambiguous,12028,0.40705269213848183
jungle,10,12,ambiguous,farm_oriented,1986,0.06721039629090662
jungle,10,12,ambiguous,map_presence,1349,0.04565298318047988
jungle,10,12,farm_oriented,ambiguous,1137,0.03847845950793597
jungle,10,12,farm_oriented,farm_oriented,5473,0.18521777386713595
jungle,10,12,map_presence,ambiguous,2060,0.06971471115773799
jungle,10,12,map_presence,map_presence,5516,0.18667298385732173
jungle,12,14,ambiguous,ambiguous,12690,0.4294416243654822
jungle,12,14,ambiguous,farm_oriented,1314,0.04446700507614213
jungle,12,14,ambiguous,map_presence,1221,0.04131979695431472
jungle,12,14,farm_oriented,ambiguous,1838,0.062199661590524535
jungle,12,14,farm_oriented,farm_oriented,5622,0.19025380710659898
jungle,12,14,map_presence,ambiguous,1844,0.06240270727580372
jungle,12,14,map_presence,map_presence,5021,0.16991539763113367
support,6,8,ambiguous,ambiguous,6524,0.22210873931842168
support,6,8,ambiguous,lane_anchored,3502,0.1192251387328499
support,6,8,ambiguous,roamer,1612,0.054880332277942326
support,6,8,lane_anchored,ambiguous,1655,0.056344261736969325
support,6,8,lane_anchored,lane_anchored,6182,0.21046539338848602
support,6,8,roamer,ambiguous,2387,0.08126510741156845
support,6,8,roamer,roamer,7511,0.2557110271337623
support,8,10,ambiguous,ambiguous,8073,0.27319796954314723
support,8,10,ambiguous,lane_anchored,1434,0.04852791878172589
support,8,10,ambiguous,roamer,1159,0.03922165820642978
support,8,10,lane_anchored,ambiguous,3346,0.11323181049069374
support,8,10,lane_anchored,lane_anchored,6376,0.21576988155668358
support,8,10,roamer,ambiguous,2835,0.09593908629441625
support,8,10,roamer,roamer,6327,0.21411167512690354
support,10,12,ambiguous,ambiguous,11892,0.40243654822335023
support,10,12,ambiguous,lane_anchored,998,0.03377326565143824
support,10,12,ambiguous,roamer,1364,0.0461590524534687
support,10,12,lane_anchored,ambiguous,2722,0.0921150592216582
support,10,12,lane_anchored,lane_anchored,5088,0.17218274111675128
support,10,12,roamer,ambiguous,1415,0.047884940778341795
support,10,12,roamer,roamer,6071,0.20544839255499153
support,12,14,ambiguous,ambiguous,13348,0.4517089678510998
support,12,14,ambiguous,lane_anchored,1449,0.04903553299492386
support,12,14,ambiguous,roamer,1232,0.04169204737732656
support,12,14,lane_anchored,ambiguous,1032,0.034923857868020304
support,12,14,lane_anchored,lane_anchored,5054,0.1710321489001692
support,12,14,roamer,ambiguous,1534,0.05191201353637902
support,12,14,roamer,roamer,5901,0.19969543147208121
team,6,8,ambiguous,ambiguous,8519,0.2882910321489002
team,6,8,ambiguous,botside_oriented,2146,0.07262267343485618
team,6,8,ambiguous,topside_oriented,2049,0.06934010152284265
team,6,8,botside_oriented,ambiguous,3951,0.13370558375634517
team,6,8,botside_oriented,botside_oriented,4283,0.14494077834179356
team,6,8,botside_oriented,topside_oriented,232,0.007851099830795263
team,6,8,topside_oriented,ambiguous,3316,0.1122165820642978
team,6,8,topside_oriented,botside_oriented,10,0.00033840947546531303
team,6,8,topside_oriented,topside_oriented,5044,0.1706937394247039
team,8,10,ambiguous,ambiguous,10768,0.36439932318104906
team,8,10,ambiguous,botside_oriented,2673,0.09045685279187818
team,8,10,ambiguous,topside_oriented,2345,0.0793570219966159
team,8,10,botside_oriented,ambiguous,2424,0.08203045685279188
team,8,10,botside_oriented,botside_oriented,3852,0.13035532994923857
team,8,10,botside_oriented,topside_oriented,163,0.0055160744500846026
team,8,10,topside_oriented,ambiguous,2938,0.09942470389170897
team,8,10,topside_oriented,topside_oriented,4387,0.14846023688663282
team,10,12,ambiguous,ambiguous,12873,0.4356345177664975
team,10,12,ambiguous,botside_oriented,1752,0.05928934010152284
team,10,12,ambiguous,topside_oriented,1505,0.05093062605752961
team,10,12,botside_oriented,ambiguous,1969,0.06663282571912013
team,10,12,botside_oriented,botside_oriented,4523,0.15306260575296107
team,10,12,botside_oriented,topside_oriented,33,0.001116751269035533
team,10,12,topside_oriented,ambiguous,2021,0.06839255499153976
team,10,12,topside_oriented,topside_oriented,4874,0.16494077834179358
team,12,14,ambiguous,ambiguous,13615,0.4607445008460237
team,12,14,ambiguous,botside_oriented,1590,0.05380710659898477
team,12,14,ambiguous,topside_oriented,1658,0.0561082910321489
team,12,14,botside_oriented,ambiguous,1755,0.05939086294416244
team,12,14,botside_oriented,botside_oriented,4516,0.15282571912013537
team,12,14,botside_oriented,topside_oriented,4,0.00013536379018612522
team,12,14,topside_oriented,ambiguous,1683,0.05695431472081218
team,12,14,topside_oriented,topside_oriented,4729,0.16003384094754652
