task,window_a,window_b,from_label,to_label,n,pct_of_pair
jungle,6,8,ambiguous,ambiguous,7086,0.24348005360272137
jungle,6,8,ambiguous,farm_oriented,2169,0.07452839913410989
jungle,6,8,ambiguous,map_presence,2231,0.07665876370133663
jungle,6,8,farm_oriented,ambiguous,2233,0.07672748513898911
jungle,6,8,farm_oriented,farm_oriented,8766,0.30120606123080096
jungle,6,8,map_presence,ambiguous,1797,0.06174621173074941
jungle,6,8,map_presence,map_presence,4821,0.16565302546129265
jungle,8,10,ambiguous,ambiguous,8831,0.29887975090533725
jungle,8,10,ambiguous,farm_oriented,616,0.020848140251125327
jungle,8,10,ambiguous,map_presence,1814,0.06139371171354114
jungle,8,10,farm_oriented,ambiguous,5109,0.1729109554269469
jungle,8,10,farm_oriented,farm_oriented,5994,0.20286323484617727
jungle,8,10,farm_oriented,map_presence,5,0.0001692219176227705
jungle,8,10,map_presence,ambiguous,1422,0.04812671337191593
jungle,8,10,map_presence,map_presence,5756,0.1948082715673334
jungle,10,12,ambiguous,ambiguous,12028,0.40705269213848183
jungle,10,12,ambiguous,farm_oriented,1986,0.06721039629090662
jungle,10,12,ambiguous,map_presence,1349,0.04565298318047988
jungle,10,12,farm_oriented,ambiguous,1137,0.03847845950793597
jungle,10,12,farm_oriented,farm_oriented,5473,0.18521777386713595
jungle,10,12,map_presence,ambiguous,2060,0.06971471115773799
jungle,10,12,map_presence,map_presence,5516,0.18667298385732173
jungle,12,14,ambiguous,ambiguous,12690,0.4294416243654822
jungle,12,14,ambiguous,farm_oriented,1314,0.04446700507614213
jungle,12,14,ambiguous,map_presence,1221,0.04131979695431472
jungle,12,14,farm_oriented,ambiguous,1838,0.062199661590524535
jungle,12,14,farm_oriented,farm_oriented,5622,0.19025380710659898
jungle,12,14,map_presence,ambiguous,1844,0.06240270727580372
jungle,12,14,map_presence,map_presence,5021,0.16991539763113367
