task,window_a,window_b,from_label,to_label,n,pct_of_pair
support,6,8,ambiguous,ambiguous,6524,0.22210873931842168
support,6,8,ambiguous,lane_anchored,3502,0.1192251387328499
support,6,8,ambiguous,roamer,1612,0.054880332277942326
support,6,8,lane_anchored,ambiguous,1655,0.056344261736969325
support,6,8,lane_anchored,lane_anchored,6182,0.21046539338848602
support,6,8,roamer,ambiguous,2387,0.08126510741156845
support,6,8,roamer,roamer,7511,0.2557110271337623
support,8,10,ambiguous,ambiguous,8073,0.27319796954314723
support,8,10,ambiguous,lane_anchored,1434,0.04852791878172589
support,8,10,ambiguous,roamer,1159,0.03922165820642978
support,8,10,lane_anchored,ambiguous,3346,0.11323181049069374
support,8,10,lane_anchored,lane_anchored,6376,0.21576988155668358
support,8,10,roamer,ambiguous,2835,0.09593908629441625
support,8,10,roamer,roamer,6327,0.21411167512690354
support,10,12,ambiguous,ambiguous,11892,0.40243654822335023
support,10,12,ambiguous,lane_anchored,998,0.03377326565143824
support,10,12,ambiguous,roamer,1364,0.0461590524534687
support,10,12,lane_anchored,ambiguous,2722,0.0921150592216582
support,10,12,lane_anchored,lane_anchored,5088,0.17218274111675128
support,10,12,roamer,ambiguous,1415,0.047884940778341795
support,10,12,roamer,roamer,6071,0.20544839255499153
support,12,14,ambiguous,ambiguous,13348,0.4517089678510998
support,12,14,ambiguous,lane_anchored,1449,0.04903553299492386
support,12,14,ambiguous,roamer,1232,0.04169204737732656
support,12,14,lane_anchored,ambiguous,1032,0.034923857868020304
support,12,14,lane_anchored,lane_anchored,5054,0.1710321489001692
support,12,14,roamer,ambiguous,1534,0.05191201353637902
support,12,14,roamer,roamer,5901,0.19969543147208121
