epoch,train_loss,val_loss,is_best,jungle_presence_accuracy,jungle_presence_balanced_accuracy,jungle_presence_f1_macro,jungle_presence_valid_samples,support_roam_accuracy,support_roam_balanced_accuracy,support_roam_f1_macro,support_roam_valid_samples,team_tendency_accuracy,team_tendency_balanced_accuracy,team_tendency_f1_macro,team_tendency_valid_samples
1,1.1825769239270747,1.0918839530492999,1,0.3692,0.3394,0.2792,5820,0.3389,0.3314,0.3216,5877,0.2961,0.3342,0.2469,5910
2,1.11477286573594,1.0819752953782702,1,0.383,0.3343,0.2015,5820,0.3418,0.3552,0.3026,5877,0.298,0.3394,0.2474,5910
3,1.0924211420585257,1.0775829466466371,1,0.3859,0.3336,0.1862,5820,0.3335,0.3434,0.2304,5877,0.299,0.3394,0.237,5910
4,1.085015729478168,1.074958505888679,1,0.3857,0.3333,0.1856,5820,0.334,0.3386,0.1991,5877,0.2966,0.3372,0.2406,5910
5,1.0798776596734165,1.0738084502631637,1,0.3857,0.3333,0.1856,5820,0.3344,0.3398,0.2047,5877,0.299,0.3406,0.2469,5910
6,1.0763534147727307,1.072605161739485,1,0.3857,0.3333,0.1856,5820,0.3344,0.3408,0.2107,5877,0.2968,0.3383,0.2465,5910
7,1.0752645000386762,1.0716682755200795,1,0.3856,0.3332,0.1855,5820,0.3349,0.3416,0.2127,5877,0.297,0.3389,0.2482,5910
8,1.0738378059238751,1.070834402263467,1,0.3856,0.3332,0.1855,5820,0.3371,0.3463,0.2263,5877,0.3014,0.3438,0.2516,5910
9,1.072711955512639,1.0701146572777867,1,0.3856,0.3332,0.1855,5820,0.3395,0.3521,0.2411,5877,0.3002,0.342,0.2484,5910
10,1.0712043909453701,1.0697493850478867,1,0.3857,0.3334,0.186,5820,0.3432,0.3574,0.2488,5877,0.3029,0.3456,0.253,5910
11,1.070700299154885,1.0692375197628428,1,0.3857,0.3334,0.186,5820,0.3449,0.3614,0.2565,5877,0.3074,0.3494,0.2485,5910
12,1.068996786264397,1.068890936523928,1,0.3859,0.3337,0.1866,5820,0.3463,0.3655,0.264,5877,0.3063,0.3481,0.2478,5910
13,1.068423215507856,1.0684129536656155,1,0.3857,0.3341,0.1889,5820,0.3444,0.3644,0.2644,5877,0.3039,0.346,0.2503,5910
14,1.0678379366240525,1.0681917710957793,1,0.3861,0.3353,0.1932,5820,0.343,0.3638,0.265,5877,0.3054,0.3475,0.25,5910
15,1.0660741123451194,1.0679305968954276,1,0.3878,0.3379,0.1983,5820,0.3427,0.3639,0.2656,5877,0.3036,0.3457,0.2504,5910
16,1.0664307783501201,1.0674912282052984,1,0.3863,0.3358,0.1946,5820,0.3471,0.3697,0.2713,5877,0.3017,0.3434,0.2476,5910
17,1.0660693722529662,1.0671720750037386,1,0.3887,0.3398,0.2035,5820,0.3454,0.365,0.2642,5877,0.3042,0.3463,0.2497,5910
18,1.0639989605208138,1.0667960839021429,1,0.3893,0.3418,0.2092,5820,0.3454,0.3673,0.2688,5877,0.3069,0.3493,0.2519,5910
19,1.0638359646305013,1.066045734160241,1,0.3899,0.3432,0.213,5820,0.3483,0.3719,0.2739,5877,0.303,0.3451,0.25,5910
20,1.0628299473102525,1.0657301249641251,1,0.3893,0.3423,0.2112,5820,0.3497,0.3739,0.276,5877,0.3014,0.3432,0.2487,5910
21,1.060181651179964,1.0656298052437616,1,0.3905,0.3444,0.2157,5820,0.3483,0.373,0.2757,5877,0.3024,0.3443,0.249,5910
22,1.0608940601348877,1.065443582663883,1,0.3905,0.346,0.2212,5820,0.3468,0.3692,0.2706,5877,0.3037,0.3462,0.2521,5910
23,1.0606377649226568,1.0651152100861576,1,0.3912,0.3487,0.2284,5820,0.3475,0.3707,0.2727,5877,0.3044,0.3465,0.2504,5910
24,1.0589479649329145,1.0650508189967844,1,0.3918,0.3494,0.2294,5820,0.3507,0.3746,0.276,5877,0.3039,0.3464,0.2523,5910
25,1.0582657647011848,1.06474941531212,1,0.3912,0.3508,0.2348,5820,0.3464,0.3712,0.2744,5877,0.3059,0.3488,0.2547,5910
26,1.0558784817681095,1.0644305373609773,1,0.3909,0.3519,0.2384,5820,0.3471,0.3734,0.2772,5877,0.3056,0.3481,0.2525,5910
27,1.0551763866153465,1.0643290550777351,1,0.3936,0.3559,0.2442,5820,0.3473,0.3743,0.2783,5877,0.3024,0.3444,0.2496,5910
28,1.0542797300012785,1.064040386616276,1,0.3957,0.3604,0.252,5820,0.3505,0.3789,0.2824,5877,0.3054,0.3481,0.2534,5910
29,1.0530932554738777,1.0641996892373977,0,0.3935,0.3608,0.2561,5820,0.3495,0.3774,0.281,5877,0.3112,0.3549,0.2592,5910
30,1.0513758204310073,1.0634901536499386,1,0.3931,0.3598,0.2542,5820,0.3485,0.3764,0.2805,5877,0.3108,0.3549,0.2604,5910
31,1.0506267442719384,1.0633249854880138,1,0.3931,0.3603,0.2552,5820,0.3468,0.3771,0.2819,5877,0.3098,0.3533,0.2579,5910
32,1.048500361499044,1.0632078430979386,1,0.3923,0.3614,0.2586,5820,0.3507,0.3815,0.2852,5877,0.3102,0.354,0.2594,5910
33,1.0465818136880038,1.0638163535929774,0,0.3918,0.3619,0.26,5820,0.3473,0.3771,0.2818,5877,0.3102,0.3543,0.2603,5910
34,1.0462729734010907,1.0635446828432293,0,0.3904,0.362,0.2615,5820,0.3498,0.3803,0.2843,5877,0.3093,0.3532,0.2591,5910
35,1.0447167294884696,1.0637944057709876,0,0.3912,0.3623,0.2617,5820,0.3538,0.3858,0.2887,5877,0.3154,0.3599,0.2638,5910
36,1.0431956300880703,1.0643953639642034,0,0.3919,0.3662,0.2676,5820,0.349,0.3795,0.2837,5877,0.3124,0.3567,0.2619,5910
37,1.0419166146196084,1.064419217440481,0,0.3923,0.37,0.2738,5820,0.3485,0.3792,0.2835,5877,0.311,0.3552,0.2609,5910
