epoch,task,accuracy,balanced_accuracy,f1_macro,valid_samples
1,jungle_presence_label,0.4489,0.3358,0.3237,5910
1,support_roam_label,0.5105,0.3334,0.2847,5910
1,team_tendency_label,0.3942,0.3352,0.322,5910
2,jungle_presence_label,0.5269,0.3319,0.2668,5910
2,support_roam_label,0.5267,0.3343,0.2683,5910
2,team_tendency_label,0.51,0.3325,0.3015,5910
3,jungle_presence_label,0.5435,0.332,0.2444,5910
3,support_roam_label,0.5342,0.3372,0.266,5910
3,team_tendency_label,0.5569,0.3328,0.2586,5910
4,jungle_presence_label,0.5503,0.3334,0.2375,5910
4,support_roam_label,0.5313,0.3365,0.2683,5910
4,team_tendency_label,0.5668,0.3324,0.2439,5910
5,jungle_presence_label,0.5506,0.3333,0.2367,5910
5,support_roam_label,0.5223,0.3416,0.2923,5910
5,team_tendency_label,0.568,0.3326,0.2426,5910
6,jungle_presence_label,0.5504,0.3335,0.2376,5910
6,support_roam_label,0.4873,0.3523,0.3367,5910
6,team_tendency_label,0.5684,0.3328,0.2427,5910
7,jungle_presence_label,0.5504,0.3332,0.2367,5910
7,support_roam_label,0.4832,0.3638,0.3569,5910
7,team_tendency_label,0.5701,0.3347,0.246,5910
8,jungle_presence_label,0.5501,0.3332,0.2371,5910
8,support_roam_label,0.4743,0.3764,0.3703,5910
8,team_tendency_label,0.5679,0.3354,0.2515,5910
9,jungle_presence_label,0.5499,0.3331,0.237,5910
9,support_roam_label,0.4673,0.3874,0.3881,5910
9,team_tendency_label,0.567,0.3365,0.2558,5910
10,jungle_presence_label,0.5489,0.3327,0.2377,5910
10,support_roam_label,0.4557,0.3952,0.3949,5910
10,team_tendency_label,0.5682,0.3349,0.2493,5910
11,jungle_presence_label,0.5481,0.3332,0.2407,5910
11,support_roam_label,0.4409,0.4008,0.3966,5910
11,team_tendency_label,0.5684,0.3378,0.2576,5910
12,jungle_presence_label,0.5443,0.3352,0.253,5910
12,support_roam_label,0.4267,0.4022,0.3941,5910
12,team_tendency_label,0.5646,0.338,0.2627,5910
13,jungle_presence_label,0.546,0.3344,0.248,5910
13,support_roam_label,0.4261,0.4073,0.3963,5910
13,team_tendency_label,0.5663,0.3413,0.2693,5910
14,jungle_presence_label,0.5396,0.3371,0.2641,5910
14,support_roam_label,0.4308,0.415,0.4033,5910
14,team_tendency_label,0.5628,0.3416,0.2737,5910
15,jungle_presence_label,0.535,0.3398,0.275,5910
15,support_roam_label,0.4264,0.4159,0.403,5910
15,team_tendency_label,0.5607,0.3442,0.2813,5910
16,jungle_presence_label,0.5347,0.3373,0.2697,5910
16,support_roam_label,0.424,0.4222,0.4051,5910
16,team_tendency_label,0.5592,0.3438,0.282,5910
17,jungle_presence_label,0.5328,0.3386,0.2744,5910
17,support_roam_label,0.4347,0.4246,0.4109,5910
17,team_tendency_label,0.5579,0.3437,0.2827,5910
18,jungle_presence_label,0.5303,0.3402,0.2798,5910
18,support_roam_label,0.4303,0.4257,0.4103,5910
