metric,q,value
team_side_focus_score,0.01,-0.8666666666666667
team_side_focus_score,0.05,-0.7647058823529411
team_side_focus_score,0.1,-0.7142857142857143
team_side_focus_score,0.25,-0.6470588235294118
team_side_focus_score,0.33,-0.625
team_side_focus_score,0.5,-0.3333333333333333
team_side_focus_score,0.66,-0.2631578947368421
team_side_focus_score,0.75,-0.2222222222222222
team_side_focus_score,0.9,-0.125
team_side_focus_score,0.95,-0.058823529411764705
team_side_focus_score,0.99,0.1111111111111111
