epoch,train_loss,val_loss,is_best,jungle_presence_accuracy,jungle_presence_balanced_accuracy,jungle_presence_f1_macro,jungle_presence_valid_samples,support_roam_accuracy,support_roam_balanced_accuracy,support_roam_f1_macro,support_roam_valid_samples,team_tendency_accuracy,team_tendency_balanced_accuracy,team_tendency_f1_macro,team_tendency_valid_samples
1,0.7594850808230753,0.6941948828963459,1,0.5109,0.5105,0.5104,2877,0.5477,0.5502,0.5435,3062,0.5024,0.5098,0.4526,2689
2,0.7108167476460413,0.6894177032001128,1,0.5332,0.5197,0.4845,2877,0.5725,0.5736,0.5721,3062,0.5128,0.5171,0.4985,2689
3,0.694693766269587,0.6872302842019173,1,0.5304,0.5107,0.4194,2877,0.5905,0.5917,0.5898,3062,0.5292,0.5295,0.5292,2689
4,0.6880460419630642,0.6847521843240547,1,0.5276,0.506,0.387,2877,0.6019,0.6027,0.6017,3062,0.5307,0.5299,0.5297,2689
5,0.6853153415944572,0.6821520941108213,1,0.5217,0.5001,0.3801,2877,0.5999,0.6007,0.5998,3062,0.537,0.5354,0.5339,2689
6,0.6815871519889122,0.6801570684373278,1,0.5224,0.501,0.3847,2877,0.6091,0.6093,0.6091,3062,0.5325,0.5308,0.5288,2689
7,0.6808289178938631,0.6789090960360622,1,0.5276,0.5074,0.4078,2877,0.6101,0.6107,0.61,3062,0.5329,0.5307,0.5277,2689
8,0.6764737793233391,0.6772532342049071,1,0.528,0.5092,0.4272,2877,0.6208,0.6209,0.6208,3062,0.5348,0.5332,0.5318,2689
9,0.6762508173077643,0.6764426341516717,1,0.5276,0.5072,0.406,2877,0.6267,0.6267,0.6266,3062,0.537,0.5356,0.5344,2689
10,0.6729904645187197,0.675466859764254,1,0.5325,0.513,0.4241,2877,0.6297,0.6294,0.6294,3062,0.5467,0.5451,0.5437,2689
11,0.6729966031920083,0.6746469165467974,1,0.5353,0.5166,0.4378,2877,0.6391,0.6387,0.6387,3062,0.5448,0.5435,0.5426,2689
12,0.6708970422873844,0.6729766906215455,1,0.5318,0.515,0.4537,2877,0.6427,0.6426,0.6426,3062,0.5433,0.5417,0.5402,2689
13,0.6696972449217149,0.6719938276786288,1,0.5311,0.5137,0.447,2877,0.6453,0.6449,0.6449,3062,0.5493,0.5482,0.5478,2689
14,0.666968675151896,0.6710212461436057,1,0.5353,0.5182,0.455,2877,0.6476,0.6474,0.6474,3062,0.553,0.5518,0.551,2689
15,0.6649225923413956,0.6697091219590602,1,0.537,0.5208,0.4657,2877,0.6496,0.649,0.649,3062,0.5508,0.549,0.5472,2689
16,0.6636761948743649,0.6695016626980905,1,0.536,0.52,0.4665,2877,0.6522,0.6517,0.6517,3062,0.5459,0.544,0.5418,2689
17,0.6619379100057275,0.6679540026208067,1,0.5342,0.5181,0.4638,2877,0.6558,0.655,0.655,3062,0.5534,0.5519,0.5508,2689
18,0.6599238292819958,0.6675309118280556,1,0.5367,0.5223,0.481,2877,0.6584,0.6577,0.6578,3062,0.5556,0.554,0.5526,2689
19,0.6579169063600389,0.6674042969790812,1,0.5349,0.5203,0.4776,2877,0.6535,0.6531,0.6531,3062,0.5541,0.5524,0.5507,2689
20,0.6568486889808512,0.6664749753858434,1,0.5377,0.5248,0.4932,2877,0.6528,0.6519,0.6518,3062,0.556,0.5553,0.5552,2689
21,0.6558697852386436,0.6665102265207901,0,0.5422,0.529,0.4959,2877,0.6571,0.656,0.6558,3062,0.5563,0.5557,0.5556,2689
22,0.6534702159829955,0.6662606441430029,1,0.5457,0.5351,0.5157,2877,0.6597,0.6587,0.6585,3062,0.5515,0.5505,0.55,2689
23,0.6523000275826495,0.6660700209047992,1,0.5468,0.5347,0.5089,2877,0.6499,0.649,0.6489,3062,0.5537,0.5521,0.5506,2689
24,0.6511577114437639,0.666279998850298,0,0.5495,0.5378,0.5135,2877,0.646,0.6452,0.6451,3062,0.5563,0.5551,0.5544,2689
25,0.6479203799250969,0.6660309741743123,1,0.554,0.5427,0.5206,2877,0.6473,0.6463,0.6461,3062,0.5586,0.5581,0.5581,2689
26,0.6479324274861873,0.6668392077718692,0,0.5565,0.545,0.5222,2877,0.644,0.6429,0.6426,3062,0.5522,0.5517,0.5517,2689
27,0.6437384886184925,0.6665265824790735,0,0.5558,0.5458,0.5296,2877,0.6421,0.6409,0.6407,3062,0.5534,0.5527,0.5527,2689
28,0.6449091456666614,0.6670164019121535,0,0.5634,0.5536,0.5383,2877,0.646,0.6449,0.6446,3062,0.5534,0.5524,0.5521,2689
29,0.6420815830505036,0.6668234738399939,0,0.5558,0.546,0.5307,2877,0.6398,0.6388,0.6386,3062,0.5482,0.5474,0.5472,2689
