epoch,task,accuracy,balanced_accuracy,f1_macro,valid_samples
1,jungle_presence_label,0.5171,0.5027,0.4448,5910
1,support_roam_label,0.5157,0.5184,0.5037,5910
1,team_tendency_label,0.5161,0.5013,0.3721,5910
2,jungle_presence_label,0.5206,0.5046,0.4296,5910
2,support_roam_label,0.5408,0.5417,0.5397,5910
2,team_tendency_label,0.5179,0.5028,0.3649,5910
3,jungle_presence_label,0.5201,0.5018,0.3943,5910
3,support_roam_label,0.5411,0.5431,0.5353,5910
3,team_tendency_label,0.5203,0.5054,0.3729,5910
4,jungle_presence_label,0.52,0.5004,0.3728,5910
4,support_roam_label,0.5499,0.5515,0.5465,5910
4,team_tendency_label,0.5186,0.5037,0.3699,5910
5,jungle_presence_label,0.522,0.502,0.3672,5910
5,support_roam_label,0.5519,0.5532,0.5499,5910
5,team_tendency_label,0.5212,0.5066,0.3836,5910
6,jungle_presence_label,0.5222,0.5016,0.3566,5910
6,support_roam_label,0.5635,0.5635,0.5634,5910
6,team_tendency_label,0.5261,0.5128,0.4173,5910
7,jungle_presence_label,0.5195,0.5005,0.3832,5910
7,support_roam_label,0.5577,0.5584,0.5572,5910
7,team_tendency_label,0.5223,0.5085,0.4004,5910
8,jungle_presence_label,0.5171,0.5005,0.4171,5910
8,support_roam_label,0.5648,0.5653,0.5646,5910
8,team_tendency_label,0.5227,0.5099,0.4221,5910
9,jungle_presence_label,0.5234,0.504,0.3822,5910
9,support_roam_label,0.5679,0.5685,0.5674,5910
9,team_tendency_label,0.5234,0.5094,0.3982,5910
10,jungle_presence_label,0.524,0.5067,0.4157,5910
10,support_roam_label,0.5712,0.5716,0.5711,5910
10,team_tendency_label,0.5261,0.5132,0.4241,5910
11,jungle_presence_label,0.5227,0.505,0.4091,5910
11,support_roam_label,0.5765,0.5767,0.5765,5910
11,team_tendency_label,0.5269,0.5156,0.4508,5910
12,jungle_presence_label,0.5223,0.5059,0.4256,5910
12,support_roam_label,0.5846,0.5849,0.5846,5910
12,team_tendency_label,0.5293,0.5179,0.4524,5910
13,jungle_presence_label,0.5228,0.5064,0.4261,5910
13,support_roam_label,0.5875,0.5877,0.5875,5910
13,team_tendency_label,0.5296,0.519,0.4637,5910
14,jungle_presence_label,0.5234,0.5068,0.4249,5910
14,support_roam_label,0.5863,0.5864,0.5863,5910
14,team_tendency_label,0.5294,0.5193,0.4696,5910
15,jungle_presence_label,0.5254,0.5114,0.4582,5910
15,support_roam_label,0.5888,0.589,0.5888,5910
15,team_tendency_label,0.5305,0.5209,0.4779,5910
