epoch,train_loss,val_loss,is_best,jungle_presence_accuracy,jungle_presence_balanced_accuracy,jungle_presence_f1_macro,jungle_presence_valid_samples,support_roam_accuracy,support_roam_balanced_accuracy,support_roam_f1_macro,support_roam_valid_samples,team_tendency_accuracy,team_tendency_balanced_accuracy,team_tendency_f1_macro,team_tendency_valid_samples
1,0.7522301624067342,0.6942659105544566,1,0.5171,0.5027,0.4448,5910,0.5157,0.5184,0.5037,5910,0.5161,0.5013,0.3721,5910
2,0.7059332720115907,0.6916860599808281,1,0.5206,0.5046,0.4296,5910,0.5408,0.5417,0.5397,5910,0.5179,0.5028,0.3649,5910
3,0.6942115851666923,0.69110586253923,1,0.5201,0.5018,0.3943,5910,0.5411,0.5431,0.5353,5910,0.5203,0.5054,0.3729,5910
4,0.6918769784385178,0.6903979438815625,1,0.52,0.5004,0.3728,5910,0.5499,0.5515,0.5465,5910,0.5186,0.5037,0.3699,5910
5,0.6905609127228636,0.6898377616595093,1,0.522,0.502,0.3672,5910,0.5519,0.5532,0.5499,5910,0.5212,0.5066,0.3836,5910
6,0.6897256376779624,0.6887884596277615,1,0.5222,0.5016,0.3566,5910,0.5635,0.5635,0.5634,5910,0.5261,0.5128,0.4173,5910
7,0.6885723002670985,0.6880761512846713,1,0.5195,0.5005,0.3832,5910,0.5577,0.5584,0.5572,5910,0.5223,0.5085,0.4004,5910
8,0.6877205839818706,0.6873732105729543,1,0.5171,0.5005,0.4171,5910,0.5648,0.5653,0.5646,5910,0.5227,0.5099,0.4221,5910
9,0.6871217996537584,0.6870102853339336,1,0.5234,0.504,0.3822,5910,0.5679,0.5685,0.5674,5910,0.5234,0.5094,0.3982,5910
10,0.6857745307351127,0.6865016514476382,1,0.524,0.5067,0.4157,5910,0.5712,0.5716,0.5711,5910,0.5261,0.5132,0.4241,5910
11,0.6859047009456783,0.6861630491798905,1,0.5227,0.505,0.4091,5910,0.5765,0.5767,0.5765,5910,0.5269,0.5156,0.4508,5910
12,0.6851860526652909,0.6857640130870838,1,0.5223,0.5059,0.4256,5910,0.5846,0.5849,0.5846,5910,0.5293,0.5179,0.4524,5910
13,0.6840283008396323,0.6850892422768066,1,0.5228,0.5064,0.4261,5910,0.5875,0.5877,0.5875,5910,0.5296,0.519,0.4637,5910
14,0.6831026739275395,0.684826644261678,1,0.5234,0.5068,0.4249,5910,0.5863,0.5864,0.5863,5910,0.5294,0.5193,0.4696,5910
15,0.6826611568479973,0.6843189137437824,1,0.5254,0.5114,0.4582,5910,0.5888,0.589,0.5888,5910,0.5305,0.5209,0.4779,5910
16,0.6817321532067107,0.6839199890138332,1,0.5286,0.5152,0.4674,5910,0.5942,0.5945,0.5942,5910,0.5286,0.5191,0.4769,5910
17,0.680760177500962,0.6833821681953727,1,0.5271,0.5159,0.4851,5910,0.5981,0.5979,0.5979,5910,0.5247,0.5163,0.4839,5910
18,0.6798201259219303,0.6833169040341063,1,0.5223,0.5101,0.471,5910,0.5961,0.5963,0.5961,5910,0.5284,0.5202,0.49,5910
19,0.6792507494564992,0.6830127687421951,1,0.5286,0.5196,0.5012,5910,0.5948,0.5952,0.5946,5910,0.5299,0.5218,0.4924,5910
20,0.6790008876529442,0.682641922055969,1,0.5261,0.5139,0.4763,5910,0.6003,0.6003,0.6003,5910,0.5271,0.5185,0.4845,5910
21,0.678532047178943,0.6821308876253829,1,0.5254,0.5159,0.4947,5910,0.5978,0.5976,0.5976,5910,0.5311,0.5231,0.4944,5910
22,0.6773163475966091,0.6822113916756941,0,0.5308,0.5225,0.5073,5910,0.5973,0.5972,0.5972,5910,0.5321,0.5244,0.4979,5910
23,0.6765198749939197,0.6823988275076128,0,0.5267,0.5164,0.4908,5910,0.5949,0.5943,0.594,5910,0.5332,0.5259,0.503,5910
24,0.6757709730095065,0.6826617118670856,0,0.5255,0.5164,0.4972,5910,0.5956,0.5957,0.5956,5910,0.5315,0.5241,0.501,5910
25,0.6755602929394459,0.6822768440504768,0,0.5206,0.5121,0.4956,5910,0.5973,0.5974,0.5973,5910,0.533,0.5253,0.4998,5910
26,0.6752859859902242,0.6829217234843878,0,0.5218,0.5145,0.5027,5910,0.5975,0.5973,0.5973,5910,0.5323,0.5248,0.4999,5910
27,0.6736311321532867,0.6828218602085275,0,0.5277,0.5194,0.5037,5910,0.5919,0.5915,0.5914,5910,0.5343,0.5262,0.4965,5910
28,0.6733984599056986,0.6827747658424571,0,0.5255,0.518,0.5056,5910,0.5964,0.5961,0.596,5910,0.5357,0.5283,0.5052,5910
29,0.6720908719472676,0.6827630885361415,0,0.5276,0.5187,0.5006,5910,0.5939,0.5935,0.5934,5910,0.533,0.5262,0.507,5910
30,0.6712894691831973,0.6830369064448852,0,0.5272,0.5199,0.5082,5910,0.5919,0.5914,0.5912,5910,0.5318,0.5242,0.4989,5910
31,0.6706633276544045,0.6827155536403108,0,0.5291,0.5217,0.51,5910,0.5939,0.5932,0.5928,5910,0.5332,0.526,0.5044,5910
32,0.6688917707469056,0.6827834217278081,0,0.5259,0.5201,0.5137,5910,0.5915,0.5916,0.5915,5910,0.5269,0.5212,0.5082,5910
33,0.6687910546304409,0.6827818460674253,0,0.5349,0.5271,0.5145,5910,0.5914,0.5911,0.5911,5910,0.5349,0.5291,0.5158,5910
34,0.6674646340852664,0.6837225027294127,0,0.5354,0.528,0.5167,5910,0.5875,0.5876,0.5875,5910,0.5354,0.5293,0.5143,5910
35,0.665823801519907,0.6840541516060353,0,0.5352,0.5283,0.5187,5910,0.5849,0.585,0.5849,5910,0.5325,0.5273,0.517,5910
36,0.6652897024114321,0.6838852878552807,0,0.5305,0.5257,0.5218,5910,0.5829,0.5827,0.5826,5910,0.5299,0.5233,0.5048,5910
