epoch,task,accuracy,balanced_accuracy,f1_macro,valid_samples
1,jungle_presence_label,0.3673,0.3387,0.3317,5910
1,support_roam_label,0.3807,0.3401,0.3182,5910
1,team_tendency_label,0.3712,0.3387,0.3323,5910
2,jungle_presence_label,0.3924,0.3429,0.3052,5910
2,support_roam_label,0.3628,0.3564,0.3417,5910
2,team_tendency_label,0.4426,0.3473,0.3446,5910
3,jungle_presence_label,0.3993,0.3485,0.2948,5910
3,support_roam_label,0.3521,0.3833,0.3457,5910
3,team_tendency_label,0.4917,0.3444,0.3208,5910
4,jungle_presence_label,0.4174,0.3605,0.3049,5910
4,support_roam_label,0.3288,0.3936,0.3158,5910
4,team_tendency_label,0.5252,0.3471,0.2951,5910
5,jungle_presence_label,0.4262,0.3629,0.3089,5910
5,support_roam_label,0.3255,0.4024,0.3034,5910
5,team_tendency_label,0.5293,0.3499,0.2946,5910
6,jungle_presence_label,0.4311,0.3681,0.313,5910
6,support_roam_label,0.3217,0.4042,0.2941,5910
6,team_tendency_label,0.5222,0.3539,0.3031,5910
7,jungle_presence_label,0.4203,0.3696,0.3097,5910
7,support_roam_label,0.3191,0.4066,0.2845,5910
7,team_tendency_label,0.5095,0.356,0.3095,5910
8,jungle_presence_label,0.4169,0.3708,0.3087,5910
8,support_roam_label,0.3223,0.4087,0.29,5910
8,team_tendency_label,0.4953,0.3656,0.3207,5910
9,jungle_presence_label,0.4125,0.3727,0.3072,5910
9,support_roam_label,0.3201,0.4087,0.2839,5910
9,team_tendency_label,0.5034,0.363,0.3182,5910
10,jungle_presence_label,0.409,0.3727,0.3058,5910
10,support_roam_label,0.324,0.4123,0.29,5910
10,team_tendency_label,0.4963,0.3647,0.3199,5910
11,jungle_presence_label,0.4118,0.3708,0.3067,5910
11,support_roam_label,0.3296,0.4171,0.298,5910
11,team_tendency_label,0.4964,0.3601,0.3156,5910
12,jungle_presence_label,0.4074,0.3671,0.3039,5910
12,support_roam_label,0.3298,0.4195,0.2946,5910
12,team_tendency_label,0.4988,0.3577,0.313,5910
13,jungle_presence_label,0.4142,0.3682,0.3071,5910
13,support_roam_label,0.3299,0.4221,0.2918,5910
13,team_tendency_label,0.4964,0.3619,0.3175,5910
14,jungle_presence_label,0.4162,0.3716,0.3104,5910
14,support_roam_label,0.3377,0.4267,0.3054,5910
14,team_tendency_label,0.4997,0.3643,0.32,5910
15,jungle_presence_label,0.4173,0.3719,0.3158,5910
15,support_roam_label,0.3425,0.4318,0.3105,5910
15,team_tendency_label,0.4976,0.3614,0.3173,5910
16,jungle_presence_label,0.4188,0.3745,0.3183,5910
16,support_roam_label,0.3404,0.4313,0.3064,5910
16,team_tendency_label,0.4968,0.3623,0.3189,5910
17,jungle_presence_label,0.4239,0.3752,0.3196,5910
17,support_roam_label,0.3431,0.4313,0.3132,5910
17,team_tendency_label,0.4905,0.3634,0.3196,5910
18,jungle_presence_label,0.4254,0.3776,0.3252,5910
18,support_roam_label,0.3447,0.4315,0.3163,5910
18,team_tendency_label,0.491,0.3643,0.3235,5910
19,jungle_presence_label,0.4281,0.3788,0.3265,5910
19,support_roam_label,0.3465,0.4337,0.318,5910
19,team_tendency_label,0.4912,0.366,0.3254,5910
20,jungle_presence_label,0.4223,0.3785,0.3277,5910
20,support_roam_label,0.3492,0.4364,0.3206,5910
20,team_tendency_label,0.4904,0.3608,0.3235,5910
21,jungle_presence_label,0.4171,0.3726,0.3219,5910
21,support_roam_label,0.3452,0.4332,0.3159,5910
21,team_tendency_label,0.4893,0.3641,0.3296,5910
22,jungle_presence_label,0.4212,0.3783,0.3307,5910
22,support_roam_label,0.3503,0.437,0.3236,5910
22,team_tendency_label,0.4875,0.3688,0.3352,5910
23,jungle_presence_label,0.4235,0.3784,0.3347,5910
23,support_roam_label,0.3459,0.4346,0.3161,5910
23,team_tendency_label,0.4885,0.3697,0.3363,5910
24,jungle_presence_label,0.4191,0.3755,0.328,5910
24,support_roam_label,0.3469,0.4328,0.3209,5910
24,team_tendency_label,0.4834,0.3682,0.3349,5910
25,jungle_presence_label,0.4154,0.3767,0.3341,5910
25,support_roam_label,0.3523,0.4358,0.3285,5910
25,team_tendency_label,0.4802,0.3634,0.3365,5910
26,jungle_presence_label,0.4291,0.3797,0.3394,5910
26,support_roam_label,0.3431,0.4292,0.3151,5910
26,team_tendency_label,0.4792,0.3609,0.3343,5910
27,jungle_presence_label,0.4237,0.3778,0.343,5910
27,support_roam_label,0.3426,0.4293,0.314,5910
27,team_tendency_label,0.4783,0.3633,0.3382,5910
28,jungle_presence_label,0.4191,0.3792,0.3428,5910
28,support_roam_label,0.3475,0.4317,0.3228,5910
28,team_tendency_label,0.475,0.3649,0.342,5910
29,jungle_presence_label,0.4259,0.3782,0.3407,5910
29,support_roam_label,0.3442,0.4267,0.3191,5910
29,team_tendency_label,0.4804,0.3624,0.3404,5910
30,jungle_presence_label,0.4201,0.3782,0.3441,5910
30,support_roam_label,0.3406,0.426,0.3139,5910
30,team_tendency_label,0.4755,0.3653,0.3422,5910
31,jungle_presence_label,0.4144,0.38,0.3501,5910
31,support_roam_label,0.3453,0.4294,0.3207,5910
31,team_tendency_label,0.4733,0.3595,0.3404,5910
32,jungle_presence_label,0.4103,0.3792,0.351,5910
32,support_roam_label,0.3457,0.4304,0.3202,5910
32,team_tendency_label,0.479,0.3611,0.3372,5910
33,jungle_presence_label,0.4036,0.3816,0.3515,5910
33,support_roam_label,0.343,0.4269,0.3189,5910
33,team_tendency_label,0.4653,0.3661,0.3469,5910
34,jungle_presence_label,0.4124,0.3849,0.3626,5910
