epoch,task,accuracy,balanced_accuracy,f1_macro,valid_samples
1,jungle_presence_label,0.5109,0.4999,0.4486,4541
1,support_roam_label,0.5231,0.5244,0.4962,4219
1,team_tendency_label,0.495,0.501,0.4455,3778
2,jungle_presence_label,0.5155,0.5045,0.4543,4541
2,support_roam_label,0.5409,0.5418,0.5289,4219
2,team_tendency_label,0.5101,0.514,0.492,3778
3,jungle_presence_label,0.5166,0.5049,0.4457,4541
3,support_roam_label,0.5444,0.5455,0.527,4219
3,team_tendency_label,0.5082,0.5098,0.5057,3778
4,jungle_presence_label,0.5232,0.5101,0.4341,4541
4,support_roam_label,0.5539,0.5547,0.5441,4219
4,team_tendency_label,0.5154,0.5158,0.5153,3778
5,jungle_presence_label,0.5314,0.5207,0.4748,4541
5,support_roam_label,0.5549,0.5557,0.5444,4219
5,team_tendency_label,0.5244,0.5235,0.5229,3778
6,jungle_presence_label,0.5201,0.507,0.43,4541
6,support_roam_label,0.5639,0.5643,0.5608,4219
6,team_tendency_label,0.5291,0.5279,0.5268,3778
7,jungle_presence_label,0.5307,0.5208,0.4827,4541
7,support_roam_label,0.5629,0.5636,0.5564,4219
7,team_tendency_label,0.5275,0.5258,0.5231,3778
8,jungle_presence_label,0.5323,0.5243,0.5018,4541
8,support_roam_label,0.5686,0.5693,0.5629,4219
8,team_tendency_label,0.527,0.5255,0.5235,3778
9,jungle_presence_label,0.5303,0.5211,0.4895,4541
9,support_roam_label,0.5757,0.5762,0.5721,4219
9,team_tendency_label,0.5339,0.5324,0.5303,3778
10,jungle_presence_label,0.5309,0.527,0.5227,4541
10,support_roam_label,0.5793,0.5797,0.5764,4219
10,team_tendency_label,0.5304,0.5292,0.5279,3778
11,jungle_presence_label,0.5353,0.5277,0.5073,4541
11,support_roam_label,0.585,0.5853,0.5832,4219
11,team_tendency_label,0.5349,0.534,0.5333,3778
12,jungle_presence_label,0.5378,0.5316,0.519,4541
12,support_roam_label,0.5885,0.589,0.5852,4219
12,team_tendency_label,0.5326,0.5306,0.5269,3778
13,jungle_presence_label,0.5351,0.5294,0.5188,4541
13,support_roam_label,0.5909,0.5913,0.5889,4219
13,team_tendency_label,0.5389,0.5371,0.534,3778
14,jungle_presence_label,0.5369,0.5308,0.5186,4541
14,support_roam_label,0.5928,0.5932,0.5906,4219
14,team_tendency_label,0.5413,0.5403,0.5397,3778
15,jungle_presence_label,0.5367,0.531,0.5209,4541
15,support_roam_label,0.5961,0.5965,0.5945,4219
15,team_tendency_label,0.5405,0.5396,0.539,3778
16,jungle_presence_label,0.5371,0.5316,0.5222,4541
16,support_roam_label,0.5954,0.5957,0.5943,4219
16,team_tendency_label,0.5408,0.5396,0.5387,3778
17,jungle_presence_label,0.5435,0.5396,0.5353,4541
17,support_roam_label,0.598,0.5983,0.5972,4219
17,team_tendency_label,0.5389,0.5379,0.5371,3778
18,jungle_presence_label,0.5413,0.5374,0.5334,4541
18,support_roam_label,0.5997,0.5999,0.599,4219
18,team_tendency_label,0.5418,0.5407,0.5397,3778
19,jungle_presence_label,0.5389,0.5358,0.5334,4541
19,support_roam_label,0.5968,0.5972,0.5947,4219
19,team_tendency_label,0.5431,0.5419,0.5407,3778
20,jungle_presence_label,0.5391,0.5347,0.5293,4541
20,support_roam_label,0.5961,0.5963,0.5955,4219
20,team_tendency_label,0.541,0.5408,0.5408,3778
21,jungle_presence_label,0.5437,0.5408,0.5389,4541
21,support_roam_label,0.5985,0.5987,0.598,4219
21,team_tendency_label,0.5373,0.537,0.537,3778
22,jungle_presence_label,0.5417,0.5391,0.5377,4541
22,support_roam_label,0.6046,0.6048,0.6045,4219
22,team_tendency_label,0.5389,0.5383,0.538,3778
23,jungle_presence_label,0.5426,0.5395,0.5371,4541
23,support_roam_label,0.6068,0.6069,0.6066,4219
23,team_tendency_label,0.5379,0.5369,0.5361,3778
24,jungle_presence_label,0.5378,0.5352,0.5337,4541
24,support_roam_label,0.5975,0.5978,0.5968,4219
24,team_tendency_label,0.5312,0.5303,0.5296,3778
25,jungle_presence_label,0.5411,0.5391,0.5385,4541
25,support_roam_label,0.6001,0.6003,0.5999,4219
25,team_tendency_label,0.5315,0.531,0.5308,3778
26,jungle_presence_label,0.5338,0.5323,0.532,4541
26,support_roam_label,0.599,0.599,0.5989,4219
26,team_tendency_label,0.541,0.5405,0.5403,3778
27,jungle_presence_label,0.5411,0.5384,0.5368,4541
27,support_roam_label,0.5997,0.5998,0.5995,4219
