epoch,train_loss,val_loss,is_best,jungle_presence_accuracy,jungle_presence_balanced_accuracy,jungle_presence_f1_macro,jungle_presence_valid_samples,support_roam_accuracy,support_roam_balanced_accuracy,support_roam_f1_macro,support_roam_valid_samples,team_tendency_accuracy,team_tendency_balanced_accuracy,team_tendency_f1_macro,team_tendency_valid_samples
1,0.7567567550994821,0.6943619933225177,1,0.5109,0.4999,0.4486,4541,0.5231,0.5244,0.4962,4219,0.495,0.501,0.4455,3778
2,0.7084549985359566,0.6912074589487259,1,0.5155,0.5045,0.4543,4541,0.5409,0.5418,0.5289,4219,0.5101,0.514,0.492,3778
3,0.695638973398257,0.6906275670137099,1,0.5166,0.5049,0.4457,4541,0.5444,0.5455,0.527,4219,0.5082,0.5098,0.5057,3778
4,0.6917896346997489,0.6898240116243637,1,0.5232,0.5101,0.4341,4541,0.5539,0.5547,0.5441,4219,0.5154,0.5158,0.5153,3778
5,0.6900881849771425,0.6891388956261972,1,0.5314,0.5207,0.4748,4541,0.5549,0.5557,0.5444,4219,0.5244,0.5235,0.5229,3778
6,0.6891147146773621,0.6882293439758611,1,0.5201,0.507,0.43,4541,0.5639,0.5643,0.5608,4219,0.5291,0.5279,0.5268,3778
7,0.6885186076769368,0.6877549657160054,1,0.5307,0.5208,0.4827,4541,0.5629,0.5636,0.5564,4219,0.5275,0.5258,0.5231,3778
8,0.6873091601881682,0.6869997287966475,1,0.5323,0.5243,0.5018,4541,0.5686,0.5693,0.5629,4219,0.527,0.5255,0.5235,3778
9,0.6868557083828598,0.6860291794471934,1,0.5303,0.5211,0.4895,4541,0.5757,0.5762,0.5721,4219,0.5339,0.5324,0.5303,3778
10,0.6844117542612169,0.685216356816429,1,0.5309,0.527,0.5227,4541,0.5793,0.5797,0.5764,4219,0.5304,0.5292,0.5279,3778
11,0.6840489399211257,0.6846772654205813,1,0.5353,0.5277,0.5073,4541,0.585,0.5853,0.5832,4219,0.5349,0.534,0.5333,3778
12,0.6824164167273468,0.6836326610618436,1,0.5378,0.5316,0.519,4541,0.5885,0.589,0.5852,4219,0.5326,0.5306,0.5269,3778
