epoch,train_loss,val_loss,is_best,jungle_presence_accuracy,jungle_presence_balanced_accuracy,jungle_presence_f1_macro,jungle_presence_valid_samples,support_roam_accuracy,support_roam_balanced_accuracy,support_roam_f1_macro,support_roam_valid_samples,team_tendency_accuracy,team_tendency_balanced_accuracy,team_tendency_f1_macro,team_tendency_valid_samples
1,0.6924144855742975,0.6710852566605784,1,0.5551,0.5397,0.5216,31509,0.6297,0.6282,0.6276,33706,0.5452,0.5417,0.5387,29215
2,0.6702899002527906,0.6665297284436865,1,0.5615,0.5469,0.5313,31509,0.6415,0.6404,0.6401,33706,0.5488,0.5442,0.5382,29215
3,0.6651688727385071,0.663636570148541,1,0.5659,0.5531,0.5423,31509,0.6494,0.648,0.6476,33706,0.5516,0.5473,0.5423,29215
4,0.661476110373305,0.661070303443748,1,0.5732,0.5619,0.5542,31509,0.6516,0.6501,0.6495,33706,0.5549,0.5531,0.5527,29215
5,0.6584311057505694,0.6591412976290532,1,0.5786,0.5684,0.5629,31509,0.6547,0.6532,0.6526,33706,0.5563,0.5535,0.5519,29215
6,0.655489750249348,0.6572905123864097,1,0.5848,0.5747,0.5695,31509,0.6576,0.6559,0.6551,33706,0.559,0.5583,0.5583,29215
7,0.6531549320290044,0.6557497318001085,1,0.5868,0.5771,0.5726,31509,0.6592,0.6578,0.6573,33706,0.5623,0.5615,0.5615,29215
8,0.6512969220440158,0.6545194471238673,1,0.5874,0.5777,0.5731,31509,0.6612,0.6597,0.6591,33706,0.5636,0.5641,0.5636,29215
9,0.6494847730544238,0.6537333487130673,1,0.5901,0.5829,0.5811,31509,0.6602,0.6586,0.6579,33706,0.5707,0.5693,0.5692,29215
10,0.6480280204176527,0.652726164481649,1,0.5926,0.5862,0.585,31509,0.661,0.6594,0.6589,33706,0.5727,0.5727,0.5725,29215
11,0.6464584723762526,0.6524715400619069,1,0.5904,0.5829,0.581,31509,0.6603,0.6585,0.6576,33706,0.5751,0.5733,0.5729,29215
12,0.6456483699546867,0.651461246709714,1,0.5919,0.5866,0.5861,31509,0.663,0.6619,0.6618,33706,0.5772,0.576,0.5759,29215
13,0.6442811769093633,0.6515548639608069,0,0.5899,0.5802,0.5757,31509,0.6623,0.6612,0.661,33706,0.578,0.5759,0.5752,29215
14,0.6431497129384416,0.651665941158017,0,0.5908,0.5847,0.5837,31509,0.662,0.6607,0.6604,33706,0.578,0.5759,0.5752,29215
15,0.6425319055125618,0.6511064049439412,1,0.5922,0.585,0.5832,31509,0.6618,0.6599,0.659,33706,0.5791,0.578,0.578,29215
16,0.6409692495379168,0.6512204414071708,0,0.592,0.5844,0.5823,31509,0.6623,0.6612,0.661,33706,0.5809,0.5793,0.5791,29215
17,0.6401562348404501,0.651899370650222,0,0.5909,0.5839,0.5823,31509,0.6638,0.6624,0.6619,33706,0.5774,0.5762,0.5761,29215
18,0.6393205975327337,0.6524848554764671,0,0.59,0.5839,0.5829,31509,0.662,0.6608,0.6606,33706,0.5791,0.5777,0.5775,29215
19,0.6382189163416484,0.6527688506992384,0,0.589,0.5821,0.5805,31509,0.6623,0.6607,0.6601,33706,0.5784,0.5748,0.5719,29215
20,0.6371789729123726,0.6537409977419623,0,0.5903,0.5812,0.5775,31509,0.6604,0.659,0.6587,33706,0.5736,0.5726,0.5726,29215
21,0.6362814994125335,0.6526420000284567,0,0.592,0.5849,0.5832,31509,0.6612,0.6596,0.659,33706,0.5768,0.5739,0.572,29215
22,0.6350548306759282,0.65439295918366,0,0.5881,0.5794,0.5762,31509,0.6599,0.6588,0.6586,33706,0.5772,0.5749,0.5739,29215
23,0.6338260219216935,0.6548377373867108,0,0.589,0.5823,0.5809,31509,0.6603,0.6587,0.6581,33706,0.5768,0.5754,0.5753,29215
24,0.632971545197501,0.6552892146110535,0,0.5892,0.5822,0.5806,31509,0.6604,0.6591,0.6588,33706,0.5731,0.5714,0.5711,29215
25,0.6315544409477001,0.6562741087168112,0,0.5885,0.5809,0.5789,31509,0.6585,0.6572,0.6568,33706,0.5736,0.572,0.5718,29215
26,0.630569964749377,0.6561222097773205,0,0.5846,0.5776,0.5759,31509,0.6618,0.6606,0.6604,33706,0.5732,0.5706,0.5694,29215
27,0.6296604927733856,0.6579937638871057,0,0.5842,0.5775,0.576,31509,0.6574,0.6559,0.6553,33706,0.575,0.5744,0.5744,29215
28,0.6282151970375386,0.6576985751586856,0,0.5849,0.5772,0.575,31509,0.6564,0.6551,0.6547,33706,0.5744,0.5714,0.5696,29215
29,0.6273100005388872,0.6585923072844173,0,0.5849,0.5769,0.5742,31509,0.6581,0.6575,0.6575,33706,0.5714,0.5697,0.5694,29215
30,0.6265684310169137,0.6579308670087792,0,0.5846,0.5771,0.5749,31509,0.6567,0.6554,0.6551,33706,0.5689,0.5669,0.5663,29215
