run_dir,target_schema,window,quantile_tag,feature_groups,task,accuracy,balanced_accuracy,f1_macro,valid_samples
eda_progreso_I\01_window_study\training\multioutput_nn_m06_q20_80_ternary,ternary,6,q20_80,"champions,summoner_spells,context",jungle,0.3923,0.3614,0.2586,5820
eda_progreso_I\01_window_study\training\multioutput_nn_m08_q20_80_ternary,ternary,8,q20_80,"champions,summoner_spells,context",jungle,0.3895,0.3547,0.2519,5910
eda_progreso_I\01_window_study\training\multioutput_nn_m10_q20_80_ternary,ternary,10,q20_80,"champions,summoner_spells,context",jungle,0.4291,0.3797,0.3394,5910
eda_progreso_I\01_window_study\training\multioutput_nn_m12_q20_80_ternary,ternary,12,q20_80,"champions,summoner_spells,context",jungle,0.4078,0.3565,0.3367,5910
eda_progreso_I\01_window_study\training\multioutput_nn_m14_q20_80_ternary,ternary,14,q20_80,"champions,summoner_spells,context",jungle,0.5103,0.3489,0.312,5910
eda_progreso_I\01_window_study\training\multioutput_nn_m06_q20_80_ternary,ternary,6,q20_80,"champions,summoner_spells,context",support,0.3507,0.3815,0.2852,5877
eda_progreso_I\01_window_study\training\multioutput_nn_m08_q20_80_ternary,ternary,8,q20_80,"champions,summoner_spells,context",support,0.3783,0.3929,0.3068,5910
eda_progreso_I\01_window_study\training\multioutput_nn_m10_q20_80_ternary,ternary,10,q20_80,"champions,summoner_spells,context",support,0.3431,0.4292,0.3151,5910
eda_progreso_I\01_window_study\training\multioutput_nn_m12_q20_80_ternary,ternary,12,q20_80,"champions,summoner_spells,context",support,0.4577,0.4307,0.4171,5910
eda_progreso_I\01_window_study\training\multioutput_nn_m14_q20_80_ternary,ternary,14,q20_80,"champions,summoner_spells,context",support,0.4342,0.4347,0.4176,5910
eda_progreso_I\01_window_study\training\multioutput_nn_m06_q20_80_ternary,ternary,6,q20_80,"champions,summoner_spells,context",team,0.3102,0.354,0.2594,5910
eda_progreso_I\01_window_study\training\multioutput_nn_m08_q20_80_ternary,ternary,8,q20_80,"champions,summoner_spells,context",team,0.4409,0.368,0.3545,5910
eda_progreso_I\01_window_study\training\multioutput_nn_m10_q20_80_ternary,ternary,10,q20_80,"champions,summoner_spells,context",team,0.4792,0.3609,0.3343,5910
eda_progreso_I\01_window_study\training\multioutput_nn_m12_q20_80_ternary,ternary,12,q20_80,"champions,summoner_spells,context",team,0.5379,0.3486,0.3038,5910
eda_progreso_I\01_window_study\training\multioutput_nn_m14_q20_80_ternary,ternary,14,q20_80,"champions,summoner_spells,context",team,0.5442,0.347,0.2975,5910
