grouping,icc,r2_group_mean,n_groups,n_rows,mean_group_size
support_champion,0.12136835938262029,0.12116385902585003,144,268390,1863.8194444444443
support_champion+side,0.1210936125555837,0.12168655903007786,255,268300,1052.1568627450981
botlane_champions,0.13933276688109256,0.16061825515192485,2518,262674,104.31850675138999
botlane_champions+side,0.13904658450209836,0.17263311556242522,3846,259263,67.41107644305772
sup_vs_enemy_sup_champion,0.13153251997367313,0.15353957428823417,2722,262063,96.27590007347538
support_riot_class,0.02636734765211338,0.022707965008374242,7,268423,38346.142857142855
botlane_riot_classes,0.032427351104823705,0.031941993531819146,47,268420,5711.063829787234
all_10_riot_classes,0.018594895919492916,0.5775152589400928,7229,88547,12.248858763314429
support_archetype,0.0836250841519838,0.08107110567170872,29,268423,9255.965517241379
support_archetype+side,0.08229336981428555,0.08118486169906591,58,268423,4627.982758620689
botlane_archetypes,0.09318051449512219,0.09521066279862578,388,268067,690.8943298969073
botlane_archetypes+side,0.09309735671741083,0.09697068262262531,635,267669,421.5259842519685
sup_vs_enemy_sup_archetype,0.09004118277587,0.0920299443774919,385,268015,696.1428571428571
sup+jungle_archetypes,0.08178937666322438,0.08366782743695267,390,268120,687.4871794871794
sup+jungle_archetypes+side,0.08183362197817193,0.08551041619964994,654,267752,409.40672782874617
sup+jungle+top_archetypes,0.08151158081925333,0.10388710563542047,2651,262516,99.02527348170501
botlane_vs_enemy_bot_archetypes,0.10051323493545827,0.17413258347522753,4802,246385,51.308829654310706
ally_team_archetypes,0.07679916910855736,0.35486702852556007,10124,173122,17.100158040300276
ally_team_archetypes+side,0.07099034733057381,0.4257660305216783,10535,146178,13.87546274323683
all_10_archetypes,,0.9975306846319215,0,0,
all_10_archetypes+side,,0.9986791669107469,0,0,
