grouping,icc,r2_group_mean,n_groups,n_rows,mean_group_size
support_champion,0.09667786919307386,0.09662757149729206,144,268390,1863.8194444444443
support_champion+side,0.10054886418846058,0.1012614656637113,255,268300,1052.1568627450981
botlane_champions,0.10886551151708795,0.13175270698242292,2518,262674,104.31850675138999
botlane_champions+side,0.11260938965752676,0.14855045430474512,3846,259263,67.41107644305772
sup_vs_enemy_sup_champion,0.10248429104950756,0.12644487987953823,2722,262063,96.27590007347538
support_riot_class,0.021420622366975426,0.01843889931927445,7,268423,38346.142857142855
botlane_riot_classes,0.024969815671313095,0.024649156544006567,47,268420,5711.063829787234
all_10_riot_classes,0.01398249839227383,0.5813861531499527,7229,88547,12.248858763314429
support_archetype,0.06891192211732226,0.0667917205591061,29,268423,9255.965517241379
support_archetype+side,0.07173794348925422,0.07078599738119906,58,268423,4627.982758620689
botlane_archetypes,0.07511601823858552,0.0773452039504825,388,268067,690.8943298969073
botlane_archetypes+side,0.07914833832703524,0.08320692224727355,635,267669,421.5259842519685
sup_vs_enemy_sup_archetype,0.07175364919995329,0.07389184454009268,385,268015,696.1428571428571
sup+jungle_archetypes,0.06768350794943821,0.06962266693432617,390,268120,687.4871794871794
sup+jungle_archetypes+side,0.07172170376361826,0.07550898297665332,654,267752,409.40672782874617
sup+jungle+top_archetypes,0.06787464244585695,0.09140839958154068,2651,262516,99.02527348170501
botlane_vs_enemy_bot_archetypes,0.07900172911143849,0.15826849700748902,4802,246385,51.308829654310706
ally_team_archetypes,0.06225921586189612,0.35333590319582664,10124,173122,17.100158040300276
ally_team_archetypes+side,0.06175702153939197,0.4284843164745994,10535,146178,13.87546274323683
all_10_archetypes,,0.9977403523958366,0,0,
all_10_archetypes+side,,0.9987370502324813,0,0,
