champion_id,name,vocab_index,support_archetype,generic_archetype,is_support,primary_class,classes,tsne_p15_x,tsne_p15_y,tsne_p30_x,tsne_p30_y,umap_n10_x,umap_n10_y,umap_n15_x,umap_n15_y
1,Annie,1,mage_support,burst_mage,True,Mage,Mage,4.044264,1.501967,-5.485932,-4.7173605,7.7449355,9.718336,5.96679,0.21887621
2,Olaf,2,,bruiser,False,Fighter,Fighter|Tank,10.635695,1.0675769,3.7951639,-2.4533179,6.5689173,8.234263,3.9858577,-0.8530741
3,Galio,3,,battle_mage,False,Tank,Tank|Mage,-12.088537,7.1277547,1.5733368,-1.1558188,7.6414814,7.7986994,3.2682402,-1.1052586
4,Twisted Fate,4,,control_mage,False,Mage,Mage,-5.985128,3.457537,1.0680012,-4.654413,8.562501,9.276988,3.9779186,-0.5303981
5,Xin Zhao,5,,bruiser_jg,False,Fighter,Fighter|Assassin,-19.181818,9.219707,2.7027116,-0.7889813,7.400763,6.7365117,2.5964959,-0.59282804
6,Urgot,6,,bruiser,False,Fighter,Fighter|Tank,7.3359,-2.9660752,4.609824,-4.9314723,5.0300136,9.7189665,4.6948414,-2.253449
7,LeBlanc,7,,assassin_mid,False,Assassin,Assassin|Mage,5.1842966,5.661176,-2.1308212,4.9395947,8.79434,10.412998,7.721715,-2.0504694
8,Vladimir,8,,battle_mage,False,Mage,Mage,6.165918,-18.516418,-3.643624,4.6736665,9.13105,11.388977,6.9110346,-3.1767094
9,Fiddlesticks,9,mage_support,mage_support,True,Mage,Mage|Support,-16.852806,0.77588964,0.6852148,1.2786891,5.9648857,6.600252,2.718703,-2.3950932
10,Kayle,10,enchanter,ranged_top,True,Fighter,Fighter|Support,0.7612451,14.032343,-2.2353904,-3.25901,5.765907,8.893338,4.2763777,-1.901839
11,Master Yi,11,,farmer,False,Assassin,Assassin|Fighter,-2.667747,-4.323683,-0.86201775,-6.049811,7.6886287,11.451185,6.365395,-2.9943557
12,Alistar,12,engage_tank,engage_tank,True,Tank,Tank|Support,-8.760091,12.033326,-0.28430608,-0.8998317,7.7340198,8.070741,4.987038,0.8357471
13,Ryze,13,,battle_mage,False,Mage,Mage|Fighter,7.92833,-5.1275873,3.9785073,3.2772732,5.289146,10.187801,4.74949,-2.1770158
14,Sion,14,,tank_top,False,Tank,Tank|Fighter,-3.124095,-10.408843,3.153835,5.95055,5.863599,10.920358,5.3602285,-1.2388488
15,Sivir,15,,hypercarry,False,Marksman,Marksman,3.6104207,-15.601374,-5.6918154,2.3797522,7.724664,10.903282,6.842939,-1.361401
16,Soraka,16,enchanter,enchanter,True,Support,Support|Mage,-1.7068024,17.82027,3.6159525,-6.2715745,4.900405,8.355128,4.067257,-3.158246
17,Teemo,17,,ranged_top,False,Marksman,Marksman|Assassin,20.223026,-4.329628,-5.6375375,5.6935105,8.797815,11.343273,5.149545,-0.4333836
18,Tristana,18,,hypercarry,False,Marksman,Marksman|Assassin,-3.5620935,-5.3841043,-2.5283666,1.1050042,7.417254,11.220078,6.2501884,-2.4372427
19,Warwick,19,,bruiser_jg,False,Fighter,Fighter|Tank,3.2480936,-4.546129,-5.91995,0.5316953,7.8315415,10.351289,7.102445,-0.8522781
20,Nunu & Willump,20,,tank_engage,False,Tank,Tank|Fighter,-8.593745,9.197537,0.08980713,-1.980474,8.293126,8.682989,4.6545744,0.2822225
21,Miss Fortune,21,,lane_bully,False,Marksman,Marksman,1.3541985,-14.887693,-7.7703233,0.048005726,7.140222,10.738787,6.4700046,-1.3668032
22,Ashe,22,,utility_adc,False,Marksman,Marksman|Support,-16.907665,-0.43022344,0.7583015,1.6641529,5.7740917,6.773576,2.9017954,-2.718824
23,Tryndamere,23,,splitpusher,False,Fighter,Fighter|Assassin,19.109167,-4.7316594,-5.995988,5.3971486,8.603271,11.533266,5.063269,-3.6833773
24,Jax,24,,splitpusher,False,Fighter,Fighter|Assassin,10.884062,15.628811,1.4061825,-3.175056,9.1890335,7.5328345,4.160787,0.62288773
25,Morgana,25,catcher,catcher,True,Mage,Mage|Support,-0.91448045,-16.045877,-2.8152497,-1.4883087,6.836838,11.202637,6.18143,-1.8650411
26,Zilean,26,enchanter,enchanter,True,Support,Support|Mage,17.710785,-5.087242,-6.4978576,4.863823,8.275953,11.735064,4.9247255,-3.9989166
27,Singed,27,,ap_bruiser,False,Tank,Tank|Fighter,5.832279,13.852082,4.5800114,1.1419752,7.7117314,7.27823,3.7313845,-0.7937178
28,Evelynn,28,,assassin_jg,False,Assassin,Assassin|Mage,-4.7035875,-1.8282443,-2.7188816,3.2312787,9.17589,10.762438,7.5548987,-2.6112494
29,Twitch,29,,hypercarry,False,Marksman,Marksman|Assassin,-12.605972,-9.989944,5.0727158,2.9190621,6.9493546,7.7479277,4.0580835,-1.7464424
