model,variant_id,feature_set,target,mse,rmse,mae,r2,pearson_corr,spearman_corr,pred_std,target_std,compression_ratio,n_train,n_eval,eval_split,training_seconds
histgbr,events_tiny_90_07_03,no_side,raw,0.025792561718067673,0.16060062801268143,0.12987595855120093,0.15736815276748317,0.39684143541126304,0.3832640015773658,0.06762774562335896,0.17495578527450562,0.3865419226763553,268423,57335,val,4.487786531448364
histgbr,events_tiny_90_07_03,all,raw,0.02579986585085309,0.16062336645349298,0.12991994216462058,0.1571295299052532,0.3965731170109603,0.38281930639228134,0.06737858244401121,0.17495578527450562,0.38511777326079394,268423,57335,val,5.537357330322266
histgbr,events_tiny_90_07_03,all,quantile,0.07037570719484337,0.265284200801411,0.22509905768690355,0.15401438640914444,0.3925774925790152,0.38269370438697226,0.11052089812358756,0.28842300176620483,0.38319030537368726,268423,57335,val,4.792799472808838
histgbr,events_tiny_90_07_03,no_side,quantile,0.07038405506942313,0.2652999341677701,0.225024276964809,0.1539140366992795,0.39237793339936583,0.3824732258841691,0.11152135847927087,0.28842300176620483,0.38665903134060675,268423,57335,val,4.729051828384399
histgbr,frame_no_outside,all,quantile,0.07358790980639579,0.2712709158874128,0.23056215289457757,0.1538577342841131,0.3928253362028963,0.3824065288559408,0.10969443073849267,0.29490458965301514,0.37196583094064145,268423,57335,val,3.5213463306427
histgbr,frame_no_outside,no_side,quantile,0.07358790980639579,0.2712709158874128,0.23056215289457757,0.1538577342841131,0.3928253362028963,0.3824065288559408,0.10969443073849267,0.29490458965301514,0.37196583094064145,268423,57335,val,4.850240230560303
histgbr,events_tiny_90_07_03,no_spells,quantile,0.07039076326979385,0.26531257653905865,0.22515982136807733,0.15383339749531377,0.3923668783163866,0.3823180918682817,0.11024023996717967,0.28842300176620483,0.38221722710084066,268423,57335,val,3.301827907562256
histgbr,frame_no_outside,all,raw,0.03716743072621246,0.19278856482222295,0.15557270312114133,0.15912379013652045,0.39915015664583847,0.38220468234729577,0.0810622078839397,0.2102399468421936,0.3855699599504993,268423,57335,val,6.402364730834961
histgbr,frame_no_outside,no_side,raw,0.03716743704638979,0.19278858121369583,0.15557278550481957,0.1591236471487848,0.39914990928438543,0.382201400272387,0.08106272214726754,0.2102399468421936,0.3855724060285904,268423,57335,val,4.468763828277588
histgbr,events_tiny_90_07_03,champions_only,raw,0.025821596971434733,0.1606909984144561,0.1299554886453959,0.15641958358513586,0.3956183930072773,0.3820645702547967,0.06760017823171617,0.17495578527450562,0.3863843549137372,268423,57335,val,3.1235239505767822
histgbr,frame_no_outside,no_spells,raw,0.03718640196306079,0.1928377607292223,0.15558048051003762,0.15869458474282627,0.3987495813011769,0.381824002801807,0.08023088328985571,0.2102399468421936,0.38161578945830466,268423,57335,val,2.4400415420532227
histgbr,frame_no_outside,champions_only,raw,0.03718853159849078,0.19284328248215124,0.15557951618040894,0.15864640385612594,0.39867100898839114,0.3817293867528634,0.08030259573933722,0.2102399468421936,0.3819568875729048,268423,57335,val,2.570176601409912
histgbr,frame_no_outside,champions_only,quantile,0.07361032074783563,0.27131222004885003,0.23043975893434926,0.15360004460633025,0.3922213234713434,0.38157659840567054,0.11131256570012166,0.29490458965301514,0.37745280882570215,268423,57335,val,3.518873453140259
histgbr,frame_no_outside,no_spells,quantile,0.07361032074783563,0.27131222004885003,0.23043975893434926,0.15360004460633025,0.3922213234713434,0.38157659840567054,0.11131256570012166,0.29490458965301514,0.37745280882570215,268423,57335,val,2.198051691055298
histgbr,events_tiny_90_07_03,champions_only,quantile,0.07043038715417108,0.26538723999878194,0.2251166103460353,0.1533570792105836,0.3916668080749223,0.3815224180311181,0.11138114143875559,0.28842300176620483,0.3861728806533986,268423,57335,val,2.9907877445220947
histgbr,events_tiny_90_07_03,no_spells,raw,0.025831231793109928,0.16072097496316382,0.12995690330977838,0.156104818123889,0.395145479149461,0.3815169292259408,0.06822731315170111,0.17495578527450562,0.38996888868037405,268423,57335,val,2.5330564975738525
histgbr,v5_geometry,all,quantile,0.07302044444833203,0.27022295322257883,0.22922683169698577,0.15269640526003003,0.3908421174112569,0.38130001338211134,0.11294115440086208,0.29356393218040466,0.38472421854417743,268423,57335,val,3.812096118927002
histgbr,v5_frame_rebuild,all,quantile,0.07302044444833203,0.27022295322257883,0.22922683169698577,0.15269640526003003,0.3908421174112569,0.38130001338211134,0.11294115440086208,0.29356393218040466,0.38472421854417743,268423,57335,val,5.353551387786865
histgbr,v5_geometry,no_side,quantile,0.07302620285386423,0.2702336079281484,0.22924632797838204,0.15262958674441762,0.39075377289418184,0.38120993514793006,0.11297506028865173,0.29356393218040466,0.38483971600170847,268423,57335,val,4.058361053466797
histgbr,v5_frame_rebuild,no_side,quantile,0.07302620285386423,0.2702336079281484,0.22924632797838204,0.15262958674441762,0.39075377289418184,0.38120993514793006,0.11297506028865173,0.29356393218040466,0.38483971600170847,268423,57335,val,7.78804612159729
histgbr,v5_geometry,no_side,raw,0.03042022428140075,0.17441394520336023,0.14052304214113084,0.15580210560170416,0.3948202446947744,0.3809086644787257,0.07339455397673034,0.18982748687267303,0.3866381796750004,268423,57335,val,3.7366280555725098
histgbr,v5_frame_rebuild,no_side,raw,0.03042022428140075,0.17441394520336023,0.14052304214113084,0.15580210560170416,0.3948202446947744,0.3809086644787257,0.07339455397673034,0.18982748687267303,0.3866381796750004,268423,57335,val,7.618515491485596
histgbr,events_light_85_10_05,all,quantile,0.07048684189984955,0.26549358165471637,0.22521837309003948,0.15273022023829352,0.3908963348372729,0.38089654290037034,0.11056676928805413,0.2884318232536316,0.38333762218334555,268423,57335,val,3.721184015274048
histgbr,events_light_85_10_05,all,raw,0.024230700161990186,0.15566213464420364,0.12589953001021817,0.1556751395451741,0.39470392640526486,0.38081498352070536,0.0651025794256438,0.1694057732820511,0.38429965026783164,268423,57335,val,3.8134093284606934
histgbr,events_light_85_10_05,no_side,quantile,0.07050031723315249,0.26551895833094946,0.22523082351118853,0.1525682433022857,0.39068196672333805,0.38078225042444275,0.11062095503217295,0.2884318232536316,0.3835254854485969,268423,57335,val,4.591698408126831
histgbr,events_light_85_10_05,no_spells,quantile,0.0705134807383317,0.26554374543252135,0.22545235296980806,0.15241001461969084,0.39064100110781863,0.38065598713384663,0.1088131615475889,0.2884318232536316,0.3772578223863474,268423,57335,val,1.9756596088409424
histgbr,v5_frame_rebuild,all,raw,0.0304275298535583,0.17443488714577224,0.14052250762348373,0.15559936716770295,0.39451999217437705,0.38064667134444435,0.0737993838965672,0.18982748687267303,0.38877079980555296,268423,57335,val,7.437802791595459
histgbr,v5_geometry,all,raw,0.0304275298535583,0.17443488714577224,0.14052250762348373,0.15559936716770295,0.39451999217437705,0.38064667134444435,0.0737993838965672,0.18982748687267303,0.38877079980555296,268423,57335,val,3.873321771621704
