grouping,r2_group_mean_oos,n_train_groups,n_test_groups,n_test_rows,n_unseen_test_groups,n_unseen_test_rows,unseen_test_row_rate,train_global_mean,group_means_fit_split,predicted_split
support_champion,0.124915672103459,164,149,57468,4,4,6.960395350455906e-05,0.39162012713390226,train,test
support_champion+side,0.12458526242716184,313,274,57468,9,10,0.00017400988376139765,0.39162012713390226,train,test
botlane_champions,0.12392210811764803,5846,3447,57468,371,386,0.0067167815131899495,0.39162012713390226,train,test
botlane_champions+side,0.11317790834117047,9284,5329,57468,601,636,0.01106702860722489,0.39162012713390226,train,test
sup_vs_enemy_sup_champion,0.12001756283406795,6330,3642,57468,388,414,0.007204009187721862,0.39162012713390226,train,test
support_riot_class,0.021833758387347912,7,7,57468,0,0,0.0,0.39162012713390226,train,test
botlane_riot_classes,0.030134614523643743,49,46,57468,0,0,0.0,0.39162012713390226,train,test
all_10_riot_classes,-0.18235072464886293,149794,42476,57468,24556,25285,0.43998399109069397,0.39162012713390226,train,test
support_archetype,0.085231707650538,29,29,57468,0,0,0.0,0.39162012713390226,train,test
support_archetype+side,0.08521658026334578,58,58,57468,0,0,0.0,0.39162012713390226,train,test
botlane_archetypes,0.09463920503165313,564,432,57468,12,13,0.00022621284888981694,0.39162012713390226,train,test
botlane_archetypes+side,0.09298545805857994,1007,728,57468,28,29,0.0005046286629080531,0.39162012713390226,train,test
sup_vs_enemy_sup_archetype,0.09442818176848466,573,433,57468,15,22,0.0003828217442750748,0.39162012713390226,train,test
sup+jungle_archetypes,0.08405513282612587,541,423,57468,14,17,0.000295816802394376,0.39162012713390226,train,test
sup+jungle_archetypes+side,0.08222777875994514,986,737,57468,30,35,0.0006090345931648917,0.39162012713390226,train,test
sup+jungle+top_archetypes,0.06512044098969683,5913,3502,57468,340,376,0.006542771629428551,0.39162012713390226,train,test
botlane_vs_enemy_bot_archetypes,0.06170394463896722,18737,8425,57468,1738,1850,0.03219182849585857,0.39162012713390226,train,test
ally_team_archetypes,-0.07872169302199028,76587,27271,57468,9741,10226,0.17794250713440524,0.39162012713390226,train,test
ally_team_archetypes+side,-0.11595460732262519,97992,32950,57468,13225,13812,0.24034245145124242,0.39162012713390226,train,test
all_10_archetypes,-0.0023419271821674137,267611,57432,57468,57124,57158,0.9946056936033967,0.39162012713390226,train,test
all_10_archetypes+side,-0.0016851718311325925,267928,57452,57468,57302,57318,0.9973898517435791,0.39162012713390226,train,test
