grouping,columns,icc,r2_group_mean,n_train_groups_icc_min_size,n_train_groups_oos_means,n_test_groups,n_test_rows,n_unseen_test_groups,n_unseen_test_rows
support_champion,['ally_utility_champion_id'],0.12143532084455097,0.124915672103459,144,164,149,57468,4,4
support_champion+side,"['ally_utility_champion_id', 'side']",0.12117205351001532,0.12458526242716184,255,313,274,57468,9,10
botlane_champions,"['ally_utility_champion_id', 'ally_bottom_champion_id']",0.13942487804540168,0.12392210811764803,2518,5846,3447,57468,371,386
botlane_champions+side,"['ally_utility_champion_id', 'ally_bottom_champion_id', 'side']",0.13911576324790514,0.11317790834117047,3845,9284,5329,57468,601,636
sup_vs_enemy_sup_champion,"['ally_utility_champion_id', 'enemy_utility_champion_id']",0.13161808039718317,0.12001756283406795,2720,6330,3642,57468,388,414
support_riot_class,['ally_utility_class'],0.026416330111328636,0.021833758387347912,7,7,7,57468,0,0
botlane_riot_classes,"['ally_utility_class', 'ally_bottom_class']",0.032473005645100944,0.030134614523643743,47,49,46,57468,0,0
all_10_riot_classes,"['ally_top_class', 'ally_jungle_class', 'ally_middle_class', 'ally_bottom_class', 'ally_utility_class', 'enemy_top_class', 'enemy_jungle_class', 'enemy_middle_class', 'enemy_bottom_class', 'enemy_utility_class']",0.01859312923395599,-0.18235072464886293,7225,149794,42476,57468,24556,25285
support_archetype,['ally_utility_archetype'],0.08366721097225963,0.085231707650538,29,29,29,57468,0,0
support_archetype+side,"['ally_utility_archetype', 'side']",0.08233352422083658,0.08521658026334578,58,58,58,57468,0,0
botlane_archetypes,"['ally_utility_archetype', 'ally_bottom_archetype']",0.09322482537657964,0.09463920503165313,388,564,432,57468,12,13
botlane_archetypes+side,"['ally_utility_archetype', 'ally_bottom_archetype', 'side']",0.09312899277997856,0.09298545805857994,635,1007,728,57468,28,29
sup_vs_enemy_sup_archetype,"['ally_utility_archetype', 'enemy_utility_archetype']",0.09008535413270727,0.09442818176848466,385,573,433,57468,15,22
sup+jungle_archetypes,"['ally_utility_archetype', 'ally_jungle_archetype']",0.0818225774373358,0.08405513282612587,390,541,423,57468,14,17
sup+jungle_archetypes+side,"['ally_utility_archetype', 'ally_jungle_archetype', 'side']",0.08186247782779685,0.08222777875994514,653,986,737,57468,30,35
sup+jungle+top_archetypes,"['ally_utility_archetype', 'ally_jungle_archetype', 'ally_top_archetype']",0.0815696911424357,0.06512044098969683,2650,5913,3502,57468,340,376
botlane_vs_enemy_bot_archetypes,"['ally_utility_archetype', 'ally_bottom_archetype', 'enemy_utility_archetype', 'enemy_bottom_archetype']",0.10057046844767993,0.06170394463896722,4800,18737,8425,57468,1738,1850
ally_team_archetypes,"['ally_top_archetype', 'ally_jungle_archetype', 'ally_middle_archetype', 'ally_bottom_archetype', 'ally_utility_archetype']",0.0768577248920425,-0.07872169302199028,10122,76587,27271,57468,9741,10226
ally_team_archetypes+side,"['ally_top_archetype', 'ally_jungle_archetype', 'ally_middle_archetype', 'ally_bottom_archetype', 'ally_utility_archetype', 'side']",0.07110633841027494,-0.11595460732262519,10534,97992,32950,57468,13225,13812
all_10_archetypes,"['ally_top_archetype', 'ally_jungle_archetype', 'ally_middle_archetype', 'ally_bottom_archetype', 'ally_utility_archetype', 'enemy_top_archetype', 'enemy_jungle_archetype', 'enemy_middle_archetype', 'enemy_bottom_archetype', 'enemy_utility_archetype']",,-0.0023419271821674137,0,267611,57432,57468,57124,57158
all_10_archetypes+side,"['ally_top_archetype', 'ally_jungle_archetype', 'ally_middle_archetype', 'ally_bottom_archetype', 'ally_utility_archetype', 'enemy_top_archetype', 'enemy_jungle_archetype', 'enemy_middle_archetype', 'enemy_bottom_archetype', 'enemy_utility_archetype', 'side']",,-0.0016851718311325925,0,267928,57452,57468,57302,57318
