grouping,icc,n_groups,n_rows,mean_group_size,metric_role
support_champion,0.12143532084455097,144,268289,1863.1180555555557,descriptive_in_sample_consistency
support_champion+side,0.12117205351001532,255,268201,1051.7686274509804,descriptive_in_sample_consistency
botlane_champions,0.13942487804540168,2518,262577,104.27998411437649,descriptive_in_sample_consistency
botlane_champions+side,0.13911576324790514,3845,259164,67.40286085825748,descriptive_in_sample_consistency
sup_vs_enemy_sup_champion,0.13161808039718317,2720,261959,96.30845588235294,descriptive_in_sample_consistency
support_riot_class,0.026416330111328636,7,268322,38331.71428571428,descriptive_in_sample_consistency
botlane_riot_classes,0.032473005645100944,47,268319,5708.914893617021,descriptive_in_sample_consistency
all_10_riot_classes,0.01859312923395599,7225,88500,12.249134948096886,descriptive_in_sample_consistency
support_archetype,0.08366721097225963,29,268322,9252.48275862069,descriptive_in_sample_consistency
support_archetype+side,0.08233352422083658,58,268322,4626.241379310345,descriptive_in_sample_consistency
botlane_archetypes,0.09322482537657964,388,267966,690.6340206185567,descriptive_in_sample_consistency
botlane_archetypes+side,0.09312899277997856,635,267569,421.36850393700786,descriptive_in_sample_consistency
sup_vs_enemy_sup_archetype,0.09008535413270727,385,267914,695.8805194805195,descriptive_in_sample_consistency
sup+jungle_archetypes,0.0818225774373358,390,268019,687.2282051282051,descriptive_in_sample_consistency
sup+jungle_archetypes+side,0.08186247782779685,653,267647,409.8728943338438,descriptive_in_sample_consistency
sup+jungle+top_archetypes,0.0815696911424357,2650,262420,99.02641509433963,descriptive_in_sample_consistency
botlane_vs_enemy_bot_archetypes,0.10057046844767993,4800,246287,51.30979166666667,descriptive_in_sample_consistency
ally_team_archetypes,0.0768577248920425,10122,173051,17.096522426397947,descriptive_in_sample_consistency
ally_team_archetypes+side,0.07110633841027494,10534,146119,13.87117903930131,descriptive_in_sample_consistency
all_10_archetypes,,0,0,,descriptive_in_sample_consistency
all_10_archetypes+side,,0,0,,descriptive_in_sample_consistency
