grouping,icc,r2_group_mean,n_groups,n_rows,mean_group_size
support_champion,0.07183909705952947,0.07195200408211788,144,268390,1863.8194444444443
support_champion+side,0.07295980466196249,0.07381113819215113,255,268300,1052.1568627450981
botlane_champions,0.07841576753714864,0.10048908765505149,2518,262674,104.31850675138999
botlane_champions+side,0.07943115350076381,0.1142190217458815,3846,259263,67.41107644305772
sup_vs_enemy_sup_champion,0.07640541839102848,0.09985134615924085,2722,262063,96.27590007347538
support_riot_class,0.011945148104504755,0.010278361488479382,7,268423,38346.142857142855
botlane_riot_classes,0.014665156795181423,0.01453436099579819,47,268420,5711.063829787234
all_10_riot_classes,0.008753696801582375,0.5695631242368737,7229,88547,12.248858763314429
support_archetype,0.052445074278467764,0.0508275642851983,29,268423,9255.965517241379
support_archetype+side,0.05285016508011655,0.05218782213182649,58,268423,4627.982758620689
botlane_archetypes,0.055988883406943864,0.05815035058174289,388,268067,690.8943298969073
botlane_archetypes+side,0.05727302255085078,0.06112076343313955,635,267669,421.5259842519685
sup_vs_enemy_sup_archetype,0.05567677125334712,0.057791113830074625,385,268015,696.1428571428571
sup+jungle_archetypes,0.05159216899478292,0.05355686718932562,390,268120,687.4871794871794
sup+jungle_archetypes+side,0.05280486365466372,0.05643683329100713,654,267752,409.40672782874617
sup+jungle+top_archetypes,0.051264650825795476,0.07381255208937043,2651,262516,99.02527348170501
botlane_vs_enemy_bot_archetypes,0.058360357427658195,0.13273545679911947,4802,246385,51.308829654310706
ally_team_archetypes,0.04410377792202892,0.32890398166043855,10124,173122,17.100158040300276
ally_team_archetypes+side,0.04073421515538501,0.4043164739978784,10535,146178,13.87546274323683
all_10_archetypes,,0.9975050388045739,0,0,
all_10_archetypes+side,,0.9986159118531416,0,0,
