champion_id,name,vocab_index,support_archetype,generic_archetype,is_support,primary_class,classes,tsne_p15_x,tsne_p15_y,tsne_p30_x,tsne_p30_y,umap_n10_x,umap_n10_y,umap_n15_x,umap_n15_y
1,Annie,1,mage_support,burst_mage,True,Mage,Mage,-10.359084,-10.88046,-5.8954263,0.988954,-0.2012439,4.8573146,9.6129265,3.1854978
2,Olaf,2,,bruiser,False,Fighter,Fighter|Tank,3.6985176,6.66568,1.5336045,-0.19138831,-1.7410645,7.390024,6.656587,6.0410347
3,Galio,3,,battle_mage,False,Tank,Tank|Mage,8.611357,0.3734999,0.87692136,-0.39870304,-2.2124376,7.347044,6.3476763,6.0716066
4,Twisted Fate,4,,control_mage,False,Mage,Mage,-11.245759,5.9008975,3.2771535,-3.8659296,1.8080521,4.8651023,9.023892,3.2175932
5,Xin Zhao,5,,bruiser_jg,False,Fighter,Fighter|Assassin,5.5095754,-16.728086,-1.6383022,4.3419194,-0.7182236,3.8240795,5.426694,4.323069
6,Urgot,6,,bruiser,False,Fighter,Fighter|Tank,0.03703966,-4.5226717,0.020101866,-4.360886,-0.14237767,6.4923396,6.5164223,3.9276226
7,LeBlanc,7,,assassin_mid,False,Assassin,Assassin|Mage,-3.9141552,3.5494194,-0.1453974,5.2289896,-0.015773319,7.531059,6.970613,4.7421255
8,Vladimir,8,,battle_mage,False,Mage,Mage,-12.699498,-7.259099,-4.6237354,3.7989745,0.48999977,4.5164633,9.7717085,3.3830905
9,Fiddlesticks,9,mage_support,mage_support,True,Mage,Mage|Support,-6.5648875,10.034683,1.8588244,-4.6957765,1.40209,6.5800147,8.25996,3.4013941
10,Kayle,10,enchanter,ranged_top,True,Fighter,Fighter|Support,-1.4485158,-6.38931,-0.5546186,-4.9261823,-0.4422261,6.1135106,6.3869934,3.6339817
11,Master Yi,11,,farmer,False,Assassin,Assassin|Fighter,4.423535,-13.853274,-1.9233267,3.1586354,-0.25606507,3.8764865,5.4500566,4.852741
12,Alistar,12,engage_tank,engage_tank,True,Tank,Tank|Support,-6.2804,-13.495443,7.649782,1.0494189,-1.0265044,4.94866,7.2833195,2.5124824
13,Ryze,13,,battle_mage,False,Mage,Mage|Fighter,-7.768508,-4.319654,2.2441092,-7.289551,-0.7274007,3.099341,5.9882884,3.1523879
14,Sion,14,,tank_top,False,Tank,Tank|Fighter,1.3136725,-15.526064,-1.7660697,5.7992315,0.40915915,4.7914915,8.552588,5.023023
