champion_id,name,vocab_index,support_archetype,generic_archetype,is_support,primary_class,classes
1,Annie,1,,mage_support,False,Unknown,
2,Olaf,2,,bruiser,False,Unknown,
3,Galio,3,,battle_mage,False,Unknown,
4,Twisted Fate,4,,control_mage,False,Unknown,
5,Xin Zhao,5,,bruiser_jg,False,Unknown,
6,Urgot,6,,bruiser,False,Unknown,
7,LeBlanc,7,,assassin_mid,False,Unknown,
8,Vladimir,8,,battle_mage,False,Unknown,
9,Fiddlesticks,9,,mage_support,False,Unknown,
10,Kayle,10,,enchanter,False,Unknown,
11,Master Yi,11,,farmer,False,Unknown,
12,Alistar,12,,engage_tank,False,Unknown,
13,Ryze,13,,battle_mage,False,Unknown,
14,Sion,14,,tank_top,False,Unknown,
15,Sivir,15,,hypercarry,False,Unknown,
16,Soraka,16,,enchanter,False,Unknown,
17,Teemo,17,,ranged_top,False,Unknown,
18,Tristana,18,,hypercarry,False,Unknown,
19,Warwick,19,,bruiser_jg,False,Unknown,
20,Nunu,20,,tank_engage,False,Unknown,
21,Miss Fortune,21,,lane_bully,False,Unknown,
22,Ashe,22,,utility_adc,False,Unknown,
23,Tryndamere,23,,splitpusher,False,Unknown,
24,Jax,24,,splitpusher,False,Unknown,
25,Morgana,25,,catcher,False,Unknown,
26,Zilean,26,,enchanter,False,Unknown,
27,Singed,27,,ap_bruiser,False,Unknown,
28,Evelynn,28,,assassin_jg,False,Unknown,
29,Twitch,29,,hypercarry,False,Unknown,
30,Karthus,30,,farmer,False,Unknown,
31,champ_31,31,,unknown,False,Unknown,
32,Amumu,32,,engage_tank,False,Unknown,
33,Rammus,33,,tank_engage,False,Unknown,
34,Anivia,34,,control_mage,False,Unknown,
35,Shaco,35,,assassin_jg,False,Unknown,
36,Dr. Mundo,36,,tank_top,False,Unknown,
37,Sona,37,,enchanter,False,Unknown,
38,Kassadin,38,,assassin_mid,False,Unknown,
39,Irelia,39,,bruiser,False,Unknown,
40,Janna,40,,enchanter,False,Unknown,
41,champ_41,41,,unknown,False,Unknown,
42,Corki,42,,caster_adc,False,Unknown,
43,Karma,43,,enchanter,False,Unknown,
44,Taric,44,,warden,False,Unknown,
45,Veigar,45,,burst_mage,False,Unknown,
48,Trundle,46,,bruiser_jg,False,Unknown,
50,Swain,47,,mage_support,False,Unknown,
51,Caitlyn,48,,lane_bully,False,Unknown,
53,Blitzcrank,49,,hook,False,Unknown,
54,Malphite,50,,tank_top,False,Unknown,
55,Katarina,51,,assassin_mid,False,Unknown,
56,Nocturne,52,,assassin_jg,False,Unknown,
57,Maokai,53,,engage_tank,False,Unknown,
58,Renekton,54,,bruiser,False,Unknown,
59,Jarvan IV,55,,ganker,False,Unknown,
60,Elise,56,,ganker,False,Unknown,
61,Orianna,57,,control_mage,False,Unknown,
62,champ_62,58,,unknown,False,Unknown,
63,Brand,59,,mage_support,False,Unknown,
64,Lee Sin,60,,ganker,False,Unknown,
67,Vayne,61,,hypercarry,False,Unknown,
68,Rumble,62,,ap_bruiser,False,Unknown,
69,Cassiopeia,63,,battle_mage,False,Unknown,
72,Skarner,64,,tank_engage,False,Unknown,
74,Heimerdinger,65,,mage_support,False,Unknown,
75,Nasus,66,,splitpusher,False,Unknown,
76,Nidalee,67,,ganker,False,Unknown,
77,Udyr,68,,bruiser_jg,False,Unknown,
78,Poppy,69,,tank_top,False,Unknown,
79,Gragas,70,,ap_bruiser,False,Unknown,
80,Pantheon,71,,engage_tank,False,Unknown,
81,Ezreal,72,,caster_adc,False,Unknown,
82,Mordekaiser,73,,ap_bruiser,False,Unknown,
83,Yorick,74,,splitpusher,False,Unknown,
84,Akali,75,,assassin_mid,False,Unknown,
85,Kennen,76,,ranged_top,False,Unknown,
86,Garen,77,,bruiser,False,Unknown,
89,Leona,78,,engage_tank,False,Unknown,
90,Malzahar,79,,battle_mage,False,Unknown,
91,Talon,80,,assassin_mid,False,Unknown,
92,Riven,81,,bruiser,False,Unknown,
96,Kog'Maw,82,,hypercarry,False,Unknown,
98,Shen,83,,tank_top,False,Unknown,
99,Lux,84,,mage_support,False,Unknown,
101,Xerath,85,,mage_support,False,Unknown,
102,Shyvana,86,,farmer,False,Unknown,
103,Ahri,87,,burst_mage,False,Unknown,
104,Graves,88,,bruiser_jg,False,Unknown,
105,Fizz,89,,assassin_mid,False,Unknown,
106,champ_106,90,,unknown,False,Unknown,
107,Rengar,91,,assassin_jg,False,Unknown,
110,Varus,92,,utility_adc,False,Unknown,
111,Nautilus,93,,engage_tank,False,Unknown,
112,Viktor,94,,control_mage,False,Unknown,
113,Sejuani,95,,tank_engage,False,Unknown,
114,Fiora,96,,splitpusher,False,Unknown,
115,Ziggs,97,,artillery,False,Unknown,
117,Lulu,98,,enchanter,False,Unknown,
119,Draven,99,,lane_bully,False,Unknown,
120,Hecarim,100,,ganker,False,Unknown,
121,Kha'Zix,101,,assassin_jg,False,Unknown,
122,Darius,102,,bruiser,False,Unknown,
