support_champion_id,support_name,support_archetype,neighbor_rank,neighbor_champion_id,neighbor_name,neighbor_support_archetype,neighbor_primary_class,neighbor_is_support,cosine_distance,cosine_similarity,same_support_archetype,same_primary_class
1,Annie,mage_support,1,106,Volibear,,Fighter,False,0.37676554918289185,0.6232344508171082,False,False
1,Annie,mage_support,2,12,Alistar,engage_tank,Tank,True,0.38767439126968384,0.6123256087303162,False,False
1,Annie,mage_support,3,18,Tristana,,Marksman,False,0.4506490230560303,0.5493509769439697,False,False
1,Annie,mage_support,4,8,Vladimir,,Mage,False,0.46556293964385986,0.5344370603561401,False,True
1,Annie,mage_support,5,76,Nidalee,,Assassin,False,0.4870845079421997,0.5129154920578003,False,False
9,Fiddlesticks,mage_support,1,40,Janna,enchanter,Support,True,0.3588542342185974,0.6411457657814026,False,False
9,Fiddlesticks,mage_support,2,498,Xayah,,Marksman,False,0.41015446186065674,0.5898455381393433,False,False
9,Fiddlesticks,mage_support,3,245,Ekko,,Assassin,False,0.4671323895454407,0.5328676104545593,False,False
9,Fiddlesticks,mage_support,4,107,Rengar,,Assassin,False,0.4809368848800659,0.5190631151199341,False,False
9,Fiddlesticks,mage_support,5,23,Tryndamere,,Fighter,False,0.539878249168396,0.460121750831604,False,False
10,Kayle,enchanter,1,38,Kassadin,,Assassin,False,0.39075934886932373,0.6092406511306763,False,False
10,Kayle,enchanter,2,200,Bel'Veth,,Fighter,False,0.43646031618118286,0.5635396838188171,False,True
10,Kayle,enchanter,3,6,Urgot,,Fighter,False,0.5317963361740112,0.46820366382598877,False,True
10,Kayle,enchanter,4,39,Irelia,,Fighter,False,0.5421608090400696,0.4578391909599304,False,True
10,Kayle,enchanter,5,80,Pantheon,engage_tank,Fighter,True,0.5596243143081665,0.4403756856918335,False,True
12,Alistar,engage_tank,1,711,Vex,,Mage,False,0.30620241165161133,0.6937975883483887,False,False
12,Alistar,engage_tank,2,1,Annie,mage_support,Mage,True,0.38767439126968384,0.6123256087303162,False,False
12,Alistar,engage_tank,3,420,Illaoi,,Fighter,False,0.43198156356811523,0.5680184364318848,False,False
12,Alistar,engage_tank,4,893,champ_893,,Unknown,False,0.4635851979255676,0.5364148020744324,False,False
12,Alistar,engage_tank,5,60,Elise,,Mage,False,0.4839857816696167,0.5160142183303833,False,False
16,Soraka,enchanter,1,429,Kalista,,Marksman,False,0.4383816719055176,0.5616183280944824,False,False
16,Soraka,enchanter,2,126,Jayce,,Fighter,False,0.5104102492332458,0.48958975076675415,False,False
16,Soraka,enchanter,3,36,Dr. Mundo,,Fighter,False,0.5329756736755371,0.4670243263244629,False,False
16,Soraka,enchanter,4,236,Lucian,,Marksman,False,0.5510134100914001,0.44898658990859985,False,False
16,Soraka,enchanter,5,133,Quinn,,Marksman,False,0.5598515272140503,0.4401484727859497,False,False
25,Morgana,catcher,1,497,Rakan,engage_tank,Support,True,0.2542096972465515,0.7457903027534485,False,False
25,Morgana,catcher,2,58,Renekton,,Fighter,False,0.3828141689300537,0.6171858310699463,False,False
25,Morgana,catcher,3,427,Ivern,enchanter,Support,True,0.42168450355529785,0.5783154964447021,False,False
25,Morgana,catcher,4,51,Caitlyn,,Marksman,False,0.4674132466316223,0.5325867533683777,False,False
25,Morgana,catcher,5,117,Lulu,enchanter,Support,True,0.47746485471725464,0.5225351452827454,False,False
26,Zilean,enchanter,1,800,champ_800,,Unknown,False,0.4046032428741455,0.5953967571258545,False,False
26,Zilean,enchanter,2,142,Zoe,,Mage,False,0.4483983516693115,0.5516016483306885,False,False
26,Zilean,enchanter,3,233,Briar,,Fighter,False,0.4947136640548706,0.5052863359451294,False,False
26,Zilean,enchanter,4,59,Jarvan IV,,Tank,False,0.4982561469078064,0.5017438530921936,False,False
26,Zilean,enchanter,5,58,Renekton,,Fighter,False,0.5045005083084106,0.49549949169158936,False,False
32,Amumu,engage_tank,1,90,Malzahar,,Mage,False,0.3899357318878174,0.6100642681121826,False,False
32,Amumu,engage_tank,2,72,Skarner,,Fighter,False,0.39813464879989624,0.6018653512001038,False,False
32,Amumu,engage_tank,3,147,Seraphine,enchanter,Mage,True,0.5400635004043579,0.4599364995956421,False,False
32,Amumu,engage_tank,4,432,Bard,roamer,Support,True,0.5523687601089478,0.44763123989105225,False,False
32,Amumu,engage_tank,5,9,Fiddlesticks,mage_support,Mage,True,0.566617488861084,0.433382511138916,False,False
37,Sona,enchanter,1,117,Lulu,enchanter,Support,True,0.46458935737609863,0.5354106426239014,True,True
37,Sona,enchanter,2,897,K'Sante,,Tank,False,0.4838647246360779,0.5161352753639221,False,False
37,Sona,enchanter,3,79,Gragas,,Fighter,False,0.5344834327697754,0.4655165672302246,False,False
37,Sona,enchanter,4,115,Ziggs,,Mage,False,0.5767802000045776,0.42321979999542236,False,False
37,Sona,enchanter,5,13,Ryze,,Mage,False,0.5954877138137817,0.40451228618621826,False,False
40,Janna,enchanter,1,92,Riven,,Fighter,False,0.20125627517700195,0.798743724822998,False,False
40,Janna,enchanter,2,9,Fiddlesticks,mage_support,Mage,True,0.3588542342185974,0.6411457657814026,False,False
40,Janna,enchanter,3,23,Tryndamere,,Fighter,False,0.3964617848396301,0.6035382151603699,False,False
40,Janna,enchanter,4,4,Twisted Fate,,Mage,False,0.4438806176185608,0.5561193823814392,False,False
40,Janna,enchanter,5,48,Trundle,,Fighter,False,0.48176801204681396,0.518231987953186,False,False
43,Karma,enchanter,1,27,Singed,,Tank,False,0.41434770822525024,0.5856522917747498,False,False
43,Karma,enchanter,2,421,Rek'Sai,,Fighter,False,0.47666049003601074,0.5233395099639893,False,False
43,Karma,enchanter,3,895,Nilah,,Fighter,False,0.49468743801116943,0.5053125619888306,False,False
43,Karma,enchanter,4,56,Nocturne,,Assassin,False,0.527124285697937,0.472875714302063,False,False
43,Karma,enchanter,5,83,Yorick,,Fighter,False,0.587631106376648,0.41236889362335205,False,False
44,Taric,warden,1,902,Milio,enchanter,Support,True,0.45289379358291626,0.5471062064170837,False,True
44,Taric,warden,2,163,Taliyah,,Mage,False,0.456465482711792,0.543534517288208,False,False
44,Taric,warden,3,85,Kennen,,Mage,False,0.47731655836105347,0.5226834416389465,False,False
44,Taric,warden,4,57,Maokai,engage_tank,Tank,True,0.4832504391670227,0.5167495608329773,False,False
44,Taric,warden,5,777,Yone,,Assassin,False,0.5324011445045471,0.4675988554954529,False,False
50,Swain,mage_support,1,427,Ivern,enchanter,Support,True,0.3953932523727417,0.6046067476272583,False,False
50,Swain,mage_support,2,106,Volibear,,Fighter,False,0.4106101989746094,0.5893898010253906,False,False
50,Swain,mage_support,3,104,Graves,,Marksman,False,0.4992811679840088,0.5007188320159912,False,False
50,Swain,mage_support,4,96,Kog'Maw,,Marksman,False,0.5045983791351318,0.49540162086486816,False,False
50,Swain,mage_support,5,804,champ_804,,Unknown,False,0.5068086385726929,0.49319136142730713,False,False
53,Blitzcrank,hook,1,92,Riven,,Fighter,False,0.3981627821922302,0.6018372178077698,False,False
53,Blitzcrank,hook,2,119,Draven,,Marksman,False,0.3987879157066345,0.6012120842933655,False,False
53,Blitzcrank,hook,3,523,Aphelios,,Marksman,False,0.4262080788612366,0.5737919211387634,False,False
53,Blitzcrank,hook,4,238,Zed,,Assassin,False,0.4424945116043091,0.5575054883956909,False,False
53,Blitzcrank,hook,5,420,Illaoi,,Fighter,False,0.4920005202293396,0.5079994797706604,False,False
57,Maokai,engage_tank,1,127,Lissandra,,Mage,False,0.3906020522117615,0.6093979477882385,False,False
57,Maokai,engage_tank,2,79,Gragas,,Fighter,False,0.407820463180542,0.592179536819458,False,False
57,Maokai,engage_tank,3,3,Galio,,Tank,False,0.42733442783355713,0.5726655721664429,False,True
57,Maokai,engage_tank,4,111,Nautilus,engage_tank,Tank,True,0.4499815106391907,0.5500184893608093,True,True
57,Maokai,engage_tank,5,120,Hecarim,,Fighter,False,0.45172446966171265,0.5482755303382874,False,False
63,Brand,mage_support,1,91,Talon,,Assassin,False,0.37505805492401123,0.6249419450759888,False,False
63,Brand,mage_support,2,142,Zoe,,Mage,False,0.39015376567840576,0.6098462343215942,False,True
63,Brand,mage_support,3,114,Fiora,,Fighter,False,0.4745367169380188,0.5254632830619812,False,False
63,Brand,mage_support,4,24,Jax,,Fighter,False,0.4851616621017456,0.5148383378982544,False,False
