support_champion_id,support_name,support_archetype,neighbor_rank,neighbor_champion_id,neighbor_name,neighbor_support_archetype,neighbor_primary_class,cosine_distance,cosine_similarity,same_support_archetype,same_primary_class
1,Annie,mage_support,1,12,Alistar,engage_tank,Tank,0.38273584842681885,0.6172641515731812,False,False
1,Annie,mage_support,2,50,Swain,mage_support,Mage,0.5138574838638306,0.48614251613616943,True,True
1,Annie,mage_support,3,412,Thresh,hook,Support,0.5349014401435852,0.4650985598564148,False,False
1,Annie,mage_support,4,427,Ivern,enchanter,Support,0.5656346678733826,0.43436533212661743,False,False
1,Annie,mage_support,5,235,Senna,enchanter,Marksman,0.652782678604126,0.347217321395874,False,False
9,Fiddlesticks,mage_support,1,40,Janna,enchanter,Support,0.3662392497062683,0.6337607502937317,False,False
9,Fiddlesticks,mage_support,2,32,Amumu,engage_tank,Tank,0.5687029957771301,0.4312970042228699,False,False
9,Fiddlesticks,mage_support,3,526,Rell,engage_tank,Tank,0.57679283618927,0.42320716381073,False,False
9,Fiddlesticks,mage_support,4,902,Milio,enchanter,Support,0.5974116325378418,0.4025883674621582,False,False
9,Fiddlesticks,mage_support,5,10,Kayle,enchanter,Fighter,0.614825427532196,0.38517457246780396,False,False
10,Kayle,enchanter,1,80,Pantheon,engage_tank,Fighter,0.5648900270462036,0.4351099729537964,False,True
10,Kayle,enchanter,2,9,Fiddlesticks,mage_support,Mage,0.614825427532196,0.38517457246780396,False,False
10,Kayle,enchanter,3,44,Taric,warden,Support,0.6826423406600952,0.3173576593399048,False,False
10,Kayle,enchanter,4,555,Pyke,roamer,Support,0.7027952671051025,0.29720473289489746,False,False
10,Kayle,enchanter,5,43,Karma,enchanter,Mage,0.7255070209503174,0.2744929790496826,True,False
12,Alistar,engage_tank,1,1,Annie,mage_support,Mage,0.38273584842681885,0.6172641515731812,False,False
12,Alistar,engage_tank,2,412,Thresh,hook,Support,0.49997419118881226,0.5000258088111877,False,False
12,Alistar,engage_tank,3,53,Blitzcrank,hook,Tank,0.6572157144546509,0.3427842855453491,False,True
12,Alistar,engage_tank,4,161,Vel'Koz,mage_support,Mage,0.6953607797622681,0.30463922023773193,False,False
12,Alistar,engage_tank,5,80,Pantheon,engage_tank,Fighter,0.7327356338500977,0.26726436614990234,True,False
16,Soraka,enchanter,1,223,Tahm Kench,warden,Support,0.6445784568786621,0.3554215431213379,False,True
16,Soraka,enchanter,2,101,Xerath,mage_support,Mage,0.6712378263473511,0.3287621736526489,False,False
16,Soraka,enchanter,3,350,Yuumi,enchanter,Support,0.7318426370620728,0.26815736293792725,True,True
16,Soraka,enchanter,4,201,Braum,warden,Support,0.805664598941803,0.19433540105819702,False,True
16,Soraka,enchanter,5,427,Ivern,enchanter,Support,0.8344402313232422,0.1655597686767578,True,True
25,Morgana,catcher,1,497,Rakan,engage_tank,Support,0.25857311487197876,0.7414268851280212,False,False
25,Morgana,catcher,2,427,Ivern,enchanter,Support,0.41551196575164795,0.584488034248352,False,False
25,Morgana,catcher,3,117,Lulu,enchanter,Support,0.474029004573822,0.525970995426178,False,False
25,Morgana,catcher,4,111,Nautilus,engage_tank,Tank,0.5025214552879333,0.49747854471206665,False,False
25,Morgana,catcher,5,26,Zilean,enchanter,Support,0.5203796029090881,0.47962039709091187,False,False
26,Zilean,enchanter,1,25,Morgana,catcher,Mage,0.5203796029090881,0.47962039709091187,False,False
26,Zilean,enchanter,2,111,Nautilus,engage_tank,Tank,0.5606926083564758,0.43930739164352417,False,False
26,Zilean,enchanter,3,63,Brand,mage_support,Mage,0.5777831077575684,0.42221689224243164,False,False
26,Zilean,enchanter,4,555,Pyke,roamer,Support,0.5838499069213867,0.4161500930786133,False,True
26,Zilean,enchanter,5,497,Rakan,engage_tank,Support,0.5898560285568237,0.41014397144317627,False,True
32,Amumu,engage_tank,1,147,Seraphine,enchanter,Mage,0.5404399633407593,0.4595600366592407,False,False
32,Amumu,engage_tank,2,432,Bard,roamer,Support,0.5518444776535034,0.4481555223464966,False,False
32,Amumu,engage_tank,3,9,Fiddlesticks,mage_support,Mage,0.5687029957771301,0.4312970042228699,False,False
32,Amumu,engage_tank,4,902,Milio,enchanter,Support,0.5975055694580078,0.4024944305419922,False,False
32,Amumu,engage_tank,5,526,Rell,engage_tank,Tank,0.6267150640487671,0.3732849359512329,True,True
37,Sona,enchanter,1,117,Lulu,enchanter,Support,0.4688987135887146,0.5311012864112854,True,True
37,Sona,enchanter,2,44,Taric,warden,Support,0.60086590051651,0.39913409948349,False,True
37,Sona,enchanter,3,74,Heimerdinger,mage_support,Mage,0.6291090846061707,0.37089091539382935,False,False
37,Sona,enchanter,4,201,Braum,warden,Support,0.6591991186141968,0.3408008813858032,False,True
37,Sona,enchanter,5,63,Brand,mage_support,Mage,0.7137671709060669,0.2862328290939331,False,False
40,Janna,enchanter,1,9,Fiddlesticks,mage_support,Mage,0.3662392497062683,0.6337607502937317,False,False
40,Janna,enchanter,2,223,Tahm Kench,warden,Support,0.5441402792930603,0.4558597207069397,False,True
40,Janna,enchanter,3,53,Blitzcrank,hook,Tank,0.5695769786834717,0.4304230213165283,False,False
40,Janna,enchanter,4,99,Lux,mage_support,Mage,0.6195608377456665,0.3804391622543335,False,False
40,Janna,enchanter,5,518,Neeko,mage_support,Mage,0.6706714630126953,0.3293285369873047,False,False
43,Karma,enchanter,1,53,Blitzcrank,hook,Tank,0.630058765411377,0.36994123458862305,False,False
43,Karma,enchanter,2,44,Taric,warden,Support,0.6434860229492188,0.35651397705078125,False,False
43,Karma,enchanter,3,555,Pyke,roamer,Support,0.6524493098258972,0.3475506901741028,False,False
43,Karma,enchanter,4,518,Neeko,mage_support,Mage,0.6829843521118164,0.3170156478881836,False,True
43,Karma,enchanter,5,57,Maokai,engage_tank,Tank,0.6917133331298828,0.3082866668701172,False,False
44,Taric,warden,1,902,Milio,enchanter,Support,0.45428919792175293,0.5457108020782471,False,True
44,Taric,warden,2,57,Maokai,engage_tank,Tank,0.48011815547943115,0.5198818445205688,False,False
44,Taric,warden,3,37,Sona,enchanter,Support,0.60086590051651,0.39913409948349,False,True
44,Taric,warden,4,350,Yuumi,enchanter,Support,0.6378229260444641,0.3621770739555359,False,True
44,Taric,warden,5,43,Karma,enchanter,Mage,0.6434860229492188,0.35651397705078125,False,False
50,Swain,mage_support,1,427,Ivern,enchanter,Support,0.3984549045562744,0.6015450954437256,False,False
50,Swain,mage_support,2,1,Annie,mage_support,Mage,0.5138574838638306,0.48614251613616943,True,True
50,Swain,mage_support,3,25,Morgana,catcher,Mage,0.5939444303512573,0.4060555696487427,False,True
50,Swain,mage_support,4,497,Rakan,engage_tank,Support,0.6451637148857117,0.35483628511428833,False,False
50,Swain,mage_support,5,143,Zyra,mage_support,Mage,0.695711612701416,0.304288387298584,True,True
53,Blitzcrank,hook,1,40,Janna,enchanter,Support,0.5695769786834717,0.4304230213165283,False,False
