neighbor_scope,support_champion_id,support_name,support_archetype,neighbor_rank,neighbor_champion_id,neighbor_name,neighbor_support_archetype,neighbor_primary_class,neighbor_is_support,cosine_distance,cosine_similarity,same_support_archetype,same_primary_class
all_champions_exploratory,1,Annie,mage_support,1,30,Karthus,,Mage,False,0.3798990249633789,0.6201009750366211,False,True
all_champions_exploratory,1,Annie,mage_support,2,154,Zac,,Tank,False,0.4453997015953064,0.5546002984046936,False,False
all_champions_exploratory,1,Annie,mage_support,3,20,Nunu & Willump,,Tank,False,0.5206426978111267,0.4793573021888733,False,False
all_champions_exploratory,1,Annie,mage_support,4,83,Yorick,,Fighter,False,0.553115963935852,0.44688403606414795,False,False
all_champions_exploratory,1,Annie,mage_support,5,84,Akali,,Assassin,False,0.5556761026382446,0.44432389736175537,False,False
all_champions_exploratory,9,Fiddlesticks,mage_support,1,22,Ashe,,Marksman,False,0.29388850927352905,0.706111490726471,False,False
all_champions_exploratory,9,Fiddlesticks,mage_support,2,62,Wukong,,Fighter,False,0.35360854864120483,0.6463914513587952,False,False
all_champions_exploratory,9,Fiddlesticks,mage_support,3,427,Ivern,enchanter,Support,True,0.39896923303604126,0.6010307669639587,False,False
all_champions_exploratory,9,Fiddlesticks,mage_support,4,41,Gangplank,,Fighter,False,0.3990820050239563,0.6009179949760437,False,False
all_champions_exploratory,9,Fiddlesticks,mage_support,5,518,Neeko,mage_support,Mage,True,0.41950005292892456,0.5804999470710754,True,True
all_champions_exploratory,10,Kayle,enchanter,1,267,Nami,enchanter,Support,True,0.38531696796417236,0.6146830320358276,True,False
all_champions_exploratory,10,Kayle,enchanter,2,43,Karma,enchanter,Mage,True,0.4070513844490051,0.5929486155509949,True,False
all_champions_exploratory,10,Kayle,enchanter,3,56,Nocturne,,Assassin,False,0.49131453037261963,0.5086854696273804,False,False
all_champions_exploratory,10,Kayle,enchanter,4,25,Morgana,catcher,Mage,True,0.5108489990234375,0.4891510009765625,False,False
all_champions_exploratory,10,Kayle,enchanter,5,526,Rell,engage_tank,Tank,True,0.5117288827896118,0.4882711172103882,False,False
all_champions_exploratory,12,Alistar,engage_tank,1,888,Renata Glasc,enchanter,Support,True,0.3739417791366577,0.6260582208633423,False,False
all_champions_exploratory,12,Alistar,engage_tank,2,166,Akshan,,Marksman,False,0.4069269895553589,0.5930730104446411,False,False
all_champions_exploratory,12,Alistar,engage_tank,3,107,Rengar,,Assassin,False,0.446103572845459,0.553896427154541,False,False
all_champions_exploratory,12,Alistar,engage_tank,4,48,Trundle,,Fighter,False,0.5020273923873901,0.49797260761260986,False,False
all_champions_exploratory,12,Alistar,engage_tank,5,89,Leona,engage_tank,Tank,True,0.5068461894989014,0.49315381050109863,True,True
all_champions_exploratory,16,Soraka,enchanter,1,110,Varus,,Marksman,False,0.3999195694923401,0.6000804305076599,False,False
all_champions_exploratory,16,Soraka,enchanter,2,429,Kalista,,Marksman,False,0.47655177116394043,0.5234482288360596,False,False
all_champions_exploratory,16,Soraka,enchanter,3,161,Vel'Koz,mage_support,Mage,True,0.5607631802558899,0.4392368197441101,False,False
all_champions_exploratory,16,Soraka,enchanter,4,427,Ivern,enchanter,Support,True,0.5714251399040222,0.4285748600959778,True,True
all_champions_exploratory,16,Soraka,enchanter,5,56,Nocturne,,Assassin,False,0.5901591777801514,0.40984082221984863,False,False
all_champions_exploratory,25,Morgana,catcher,1,234,Viego,,Assassin,False,0.36865437030792236,0.6313456296920776,False,False
all_champions_exploratory,25,Morgana,catcher,2,58,Renekton,,Fighter,False,0.38663214445114136,0.6133678555488586,False,False
all_champions_exploratory,25,Morgana,catcher,3,777,Yone,,Assassin,False,0.3917144536972046,0.6082855463027954,False,False
all_champions_exploratory,25,Morgana,catcher,4,90,Malzahar,,Mage,False,0.397999107837677,0.602000892162323,False,True
all_champions_exploratory,25,Morgana,catcher,5,50,Swain,mage_support,Mage,True,0.4300975203514099,0.5699024796485901,False,True
all_champions_exploratory,26,Zilean,enchanter,1,23,Tryndamere,,Fighter,False,0.32788753509521484,0.6721124649047852,False,False
all_champions_exploratory,26,Zilean,enchanter,2,54,Malphite,,Tank,False,0.442316472530365,0.557683527469635,False,False
all_champions_exploratory,26,Zilean,enchanter,3,147,Seraphine,enchanter,Mage,True,0.4633070230484009,0.5366929769515991,True,False
all_champions_exploratory,26,Zilean,enchanter,4,115,Ziggs,,Mage,False,0.5094786882400513,0.49052131175994873,False,False
all_champions_exploratory,26,Zilean,enchanter,5,36,Dr. Mundo,,Fighter,False,0.5272974967956543,0.4727025032043457,False,False
all_champions_exploratory,32,Amumu,engage_tank,1,78,Poppy,,Tank,False,0.4328358769416809,0.5671641230583191,False,True
all_champions_exploratory,32,Amumu,engage_tank,2,81,Ezreal,,Marksman,False,0.5132097601890564,0.4867902398109436,False,False
all_champions_exploratory,32,Amumu,engage_tank,3,876,Lillia,,Fighter,False,0.5182473063468933,0.4817526936531067,False,False
all_champions_exploratory,32,Amumu,engage_tank,4,106,Volibear,,Fighter,False,0.5221714377403259,0.4778285622596741,False,False
all_champions_exploratory,32,Amumu,engage_tank,5,555,Pyke,roamer,Support,True,0.5505785942077637,0.44942140579223633,False,False
all_champions_exploratory,37,Sona,enchanter,1,44,Taric,warden,Support,True,0.37259799242019653,0.6274020075798035,False,True
all_champions_exploratory,37,Sona,enchanter,2,42,Corki,,Marksman,False,0.43149542808532715,0.5685045719146729,False,False
all_champions_exploratory,37,Sona,enchanter,3,120,Hecarim,,Fighter,False,0.4390830397605896,0.5609169602394104,False,False
all_champions_exploratory,37,Sona,enchanter,4,222,Jinx,,Marksman,False,0.5111647844314575,0.4888352155685425,False,False
all_champions_exploratory,37,Sona,enchanter,5,11,Master Yi,,Assassin,False,0.5391455888748169,0.4608544111251831,False,False
all_champions_exploratory,40,Janna,enchanter,1,133,Quinn,,Marksman,False,0.3386729955673218,0.6613270044326782,False,False
all_champions_exploratory,40,Janna,enchanter,2,60,Elise,,Mage,False,0.3965943455696106,0.6034056544303894,False,False
all_champions_exploratory,40,Janna,enchanter,3,427,Ivern,enchanter,Support,True,0.42740362882614136,0.5725963711738586,True,True
all_champions_exploratory,40,Janna,enchanter,4,131,Diana,,Fighter,False,0.48959505558013916,0.5104049444198608,False,False
all_champions_exploratory,40,Janna,enchanter,5,80,Pantheon,engage_tank,Fighter,True,0.5397400856018066,0.46025991439819336,False,False
all_champions_exploratory,43,Karma,enchanter,1,10,Kayle,enchanter,Fighter,True,0.4070513844490051,0.5929486155509949,True,False
all_champions_exploratory,43,Karma,enchanter,2,421,Rek'Sai,,Fighter,False,0.5086802840232849,0.4913197159767151,False,False
all_champions_exploratory,43,Karma,enchanter,3,42,Corki,,Marksman,False,0.5116108655929565,0.48838913440704346,False,False
all_champions_exploratory,43,Karma,enchanter,4,526,Rell,engage_tank,Tank,True,0.523432731628418,0.47656726837158203,False,False
all_champions_exploratory,43,Karma,enchanter,5,234,Viego,,Assassin,False,0.5298669934272766,0.4701330065727234,False,False
all_champions_exploratory,44,Taric,warden,1,37,Sona,enchanter,Support,True,0.37259799242019653,0.6274020075798035,False,True
all_champions_exploratory,44,Taric,warden,2,120,Hecarim,,Fighter,False,0.39690905809402466,0.6030909419059753,False,False
all_champions_exploratory,44,Taric,warden,3,904,champ_904,,Unknown,False,0.40091967582702637,0.5990803241729736,False,False
all_champions_exploratory,44,Taric,warden,4,4,Twisted Fate,,Mage,False,0.42702335119247437,0.5729766488075256,False,False
all_champions_exploratory,44,Taric,warden,5,238,Zed,,Assassin,False,0.4669541120529175,0.5330458879470825,False,False
all_champions_exploratory,50,Swain,mage_support,1,25,Morgana,catcher,Mage,True,0.4300975203514099,0.5699024796485901,False,True
all_champions_exploratory,50,Swain,mage_support,2,234,Viego,,Assassin,False,0.450497031211853,0.549502968788147,False,False
all_champions_exploratory,50,Swain,mage_support,3,58,Renekton,,Fighter,False,0.4773872494697571,0.5226127505302429,False,False
all_champions_exploratory,50,Swain,mage_support,4,54,Malphite,,Tank,False,0.5455470085144043,0.4544529914855957,False,False
all_champions_exploratory,50,Swain,mage_support,5,10,Kayle,enchanter,Fighter,True,0.5883710384368896,0.41162896156311035,False,False
all_champions_exploratory,53,Blitzcrank,hook,1,164,Camille,,Fighter,False,0.5143261551856995,0.48567384481430054,False,False
all_champions_exploratory,53,Blitzcrank,hook,2,127,Lissandra,,Mage,False,0.5569474697113037,0.4430525302886963,False,False
