champion_id,name,vocab_index,support_archetype,generic_archetype,is_support,primary_class,classes
1,Annie,1,mage_support,burst_mage,True,Mage,Mage
2,Olaf,2,,bruiser,False,Fighter,Fighter|Tank
3,Galio,3,,battle_mage,False,Tank,Tank|Mage
4,Twisted Fate,4,,control_mage,False,Mage,Mage
5,Xin Zhao,5,,bruiser_jg,False,Fighter,Fighter|Assassin
6,Urgot,6,,bruiser,False,Fighter,Fighter|Tank
7,LeBlanc,7,,assassin_mid,False,Assassin,Assassin|Mage
8,Vladimir,8,,battle_mage,False,Mage,Mage
9,Fiddlesticks,9,mage_support,mage_support,True,Mage,Mage|Support
10,Kayle,10,enchanter,ranged_top,True,Fighter,Fighter|Support
11,Master Yi,11,,farmer,False,Assassin,Assassin|Fighter
12,Alistar,12,engage_tank,engage_tank,True,Tank,Tank|Support
13,Ryze,13,,battle_mage,False,Mage,Mage|Fighter
14,Sion,14,,tank_top,False,Tank,Tank|Fighter
15,Sivir,15,,hypercarry,False,Marksman,Marksman
16,Soraka,16,enchanter,enchanter,True,Support,Support|Mage
17,Teemo,17,,ranged_top,False,Marksman,Marksman|Assassin
18,Tristana,18,,hypercarry,False,Marksman,Marksman|Assassin
19,Warwick,19,,bruiser_jg,False,Fighter,Fighter|Tank
20,Nunu & Willump,20,,tank_engage,False,Tank,Tank|Fighter
21,Miss Fortune,21,,lane_bully,False,Marksman,Marksman
22,Ashe,22,,utility_adc,False,Marksman,Marksman|Support
23,Tryndamere,23,,splitpusher,False,Fighter,Fighter|Assassin
24,Jax,24,,splitpusher,False,Fighter,Fighter|Assassin
25,Morgana,25,catcher,catcher,True,Mage,Mage|Support
26,Zilean,26,enchanter,enchanter,True,Support,Support|Mage
27,Singed,27,,ap_bruiser,False,Tank,Tank|Fighter
28,Evelynn,28,,assassin_jg,False,Assassin,Assassin|Mage
29,Twitch,29,,hypercarry,False,Marksman,Marksman|Assassin
30,Karthus,30,,farmer,False,Mage,Mage
31,Cho'Gath,31,,unknown,False,Tank,Tank|Mage
32,Amumu,32,engage_tank,tank_engage,True,Tank,Tank|Mage
33,Rammus,33,,tank_engage,False,Tank,Tank|Fighter
34,Anivia,34,,control_mage,False,Mage,Mage|Support
35,Shaco,35,,assassin_jg,False,Assassin,Assassin
36,Dr. Mundo,36,,tank_top,False,Fighter,Fighter|Tank
37,Sona,37,enchanter,enchanter,True,Support,Support|Mage
38,Kassadin,38,,assassin_mid,False,Assassin,Assassin|Mage
39,Irelia,39,,bruiser,False,Fighter,Fighter|Assassin
40,Janna,40,enchanter,enchanter,True,Support,Support|Mage
41,Gangplank,41,,unknown,False,Fighter,Fighter
42,Corki,42,,caster_adc,False,Marksman,Marksman
43,Karma,43,enchanter,enchanter,True,Mage,Mage|Support
44,Taric,44,warden,warden,True,Support,Support|Fighter
45,Veigar,45,,burst_mage,False,Mage,Mage
48,Trundle,46,,bruiser_jg,False,Fighter,Fighter|Tank
50,Swain,47,mage_support,battle_mage,True,Mage,Mage|Fighter
51,Caitlyn,48,,lane_bully,False,Marksman,Marksman
53,Blitzcrank,49,hook,hook,True,Tank,Tank|Fighter
54,Malphite,50,,tank_top,False,Tank,Tank|Fighter
55,Katarina,51,,assassin_mid,False,Assassin,Assassin|Mage
56,Nocturne,52,,assassin_jg,False,Assassin,Assassin|Fighter
57,Maokai,53,engage_tank,tank_engage,True,Tank,Tank|Mage
58,Renekton,54,,bruiser,False,Fighter,Fighter|Tank
59,Jarvan IV,55,,ganker,False,Tank,Tank|Fighter
60,Elise,56,,ganker,False,Mage,Mage|Fighter
61,Orianna,57,,control_mage,False,Mage,Mage|Support
62,Wukong,58,,unknown,False,Fighter,Fighter|Tank
63,Brand,59,mage_support,mage_support,True,Mage,Mage
64,Lee Sin,60,,ganker,False,Fighter,Fighter|Assassin
67,Vayne,61,,hypercarry,False,Marksman,Marksman|Assassin
68,Rumble,62,,ap_bruiser,False,Fighter,Fighter|Mage
69,Cassiopeia,63,,battle_mage,False,Mage,Mage
72,Skarner,64,,tank_engage,False,Fighter,Fighter|Tank
74,Heimerdinger,65,mage_support,mage_support,True,Mage,Mage|Support
75,Nasus,66,,splitpusher,False,Fighter,Fighter|Tank
76,Nidalee,67,,ganker,False,Assassin,Assassin|Mage
77,Udyr,68,,bruiser_jg,False,Fighter,Fighter|Tank
78,Poppy,69,,tank_top,False,Tank,Tank|Fighter
79,Gragas,70,,ap_bruiser,False,Fighter,Fighter|Mage
80,Pantheon,71,engage_tank,bruiser,True,Fighter,Fighter|Assassin
81,Ezreal,72,,caster_adc,False,Marksman,Marksman|Mage
82,Mordekaiser,73,,ap_bruiser,False,Fighter,Fighter
83,Yorick,74,,splitpusher,False,Fighter,Fighter|Tank
84,Akali,75,,assassin_mid,False,Assassin,Assassin
85,Kennen,76,,ranged_top,False,Mage,Mage|Marksman
86,Garen,77,,bruiser,False,Fighter,Fighter|Tank
89,Leona,78,engage_tank,engage_tank,True,Tank,Tank|Support
90,Malzahar,79,,battle_mage,False,Mage,Mage|Assassin
91,Talon,80,,assassin_mid,False,Assassin,Assassin
92,Riven,81,,bruiser,False,Fighter,Fighter|Assassin
96,Kog'Maw,82,,hypercarry,False,Marksman,Marksman|Mage
98,Shen,83,,tank_top,False,Tank,Tank
99,Lux,84,mage_support,burst_mage,True,Mage,Mage|Support
101,Xerath,85,mage_support,artillery,True,Mage,Mage
102,Shyvana,86,,farmer,False,Fighter,Fighter|Tank
103,Ahri,87,,burst_mage,False,Mage,Mage|Assassin
104,Graves,88,,bruiser_jg,False,Marksman,Marksman
105,Fizz,89,,assassin_mid,False,Assassin,Assassin|Fighter
106,Volibear,90,,unknown,False,Fighter,Fighter|Tank
107,Rengar,91,,assassin_jg,False,Assassin,Assassin|Fighter
110,Varus,92,,utility_adc,False,Marksman,Marksman|Mage
111,Nautilus,93,engage_tank,engage_tank,True,Tank,Tank|Support
112,Viktor,94,,control_mage,False,Mage,Mage
113,Sejuani,95,,tank_engage,False,Tank,Tank|Fighter
114,Fiora,96,,splitpusher,False,Fighter,Fighter|Assassin
115,Ziggs,97,,artillery,False,Mage,Mage
117,Lulu,98,enchanter,enchanter,True,Support,Support|Mage
119,Draven,99,,lane_bully,False,Marksman,Marksman
