neighbor_scope,support_champion_id,support_name,support_archetype,neighbor_rank,neighbor_champion_id,neighbor_name,neighbor_support_archetype,neighbor_primary_class,neighbor_is_support,cosine_distance,cosine_similarity,same_support_archetype,same_primary_class
all_champions_exploratory,1,Annie,mage_support,1,106,Volibear,,Fighter,False,0.37572145462036133,0.6242785453796387,False,False
all_champions_exploratory,1,Annie,mage_support,2,12,Alistar,engage_tank,Tank,True,0.38273584842681885,0.6172641515731812,False,False
all_champions_exploratory,1,Annie,mage_support,3,18,Tristana,,Marksman,False,0.4461207389831543,0.5538792610168457,False,False
all_champions_exploratory,1,Annie,mage_support,4,8,Vladimir,,Mage,False,0.4695029854774475,0.5304970145225525,False,True
all_champions_exploratory,1,Annie,mage_support,5,76,Nidalee,,Assassin,False,0.4876057505607605,0.5123942494392395,False,False
all_champions_exploratory,9,Fiddlesticks,mage_support,1,40,Janna,enchanter,Support,True,0.3662392497062683,0.6337607502937317,False,False
all_champions_exploratory,9,Fiddlesticks,mage_support,2,498,Xayah,,Marksman,False,0.41113656759262085,0.5888634324073792,False,False
all_champions_exploratory,9,Fiddlesticks,mage_support,3,245,Ekko,,Assassin,False,0.46866756677627563,0.5313324332237244,False,False
all_champions_exploratory,9,Fiddlesticks,mage_support,4,107,Rengar,,Assassin,False,0.47153180837631226,0.5284681916236877,False,False
all_champions_exploratory,9,Fiddlesticks,mage_support,5,23,Tryndamere,,Fighter,False,0.5418912172317505,0.4581087827682495,False,False
all_champions_exploratory,10,Kayle,enchanter,1,38,Kassadin,,Assassin,False,0.39843589067459106,0.6015641093254089,False,False
all_champions_exploratory,10,Kayle,enchanter,2,200,Bel'Veth,,Fighter,False,0.4323554039001465,0.5676445960998535,False,True
all_champions_exploratory,10,Kayle,enchanter,3,6,Urgot,,Fighter,False,0.5307124853134155,0.4692875146865845,False,True
all_champions_exploratory,10,Kayle,enchanter,4,39,Irelia,,Fighter,False,0.5495680570602417,0.4504319429397583,False,True
all_champions_exploratory,10,Kayle,enchanter,5,58,Renekton,,Fighter,False,0.5627966523170471,0.4372033476829529,False,True
all_champions_exploratory,12,Alistar,engage_tank,1,711,Vex,,Mage,False,0.3121863007545471,0.6878136992454529,False,False
all_champions_exploratory,12,Alistar,engage_tank,2,1,Annie,mage_support,Mage,True,0.38273584842681885,0.6172641515731812,False,False
all_champions_exploratory,12,Alistar,engage_tank,3,420,Illaoi,,Fighter,False,0.43686896562576294,0.5631310343742371,False,False
all_champions_exploratory,12,Alistar,engage_tank,4,893,champ_893,,Unknown,False,0.45847100019454956,0.5415289998054504,False,False
all_champions_exploratory,12,Alistar,engage_tank,5,60,Elise,,Mage,False,0.48371458053588867,0.5162854194641113,False,False
all_champions_exploratory,16,Soraka,enchanter,1,429,Kalista,,Marksman,False,0.4436950087547302,0.5563049912452698,False,False
all_champions_exploratory,16,Soraka,enchanter,2,126,Jayce,,Fighter,False,0.5015041828155518,0.49849581718444824,False,False
all_champions_exploratory,16,Soraka,enchanter,3,36,Dr. Mundo,,Fighter,False,0.538292646408081,0.46170735359191895,False,False
all_champions_exploratory,16,Soraka,enchanter,4,236,Lucian,,Marksman,False,0.5463382005691528,0.45366179943084717,False,False
all_champions_exploratory,16,Soraka,enchanter,5,133,Quinn,,Marksman,False,0.5611398220062256,0.4388601779937744,False,False
all_champions_exploratory,25,Morgana,catcher,1,497,Rakan,engage_tank,Support,True,0.25857311487197876,0.7414268851280212,False,False
all_champions_exploratory,25,Morgana,catcher,2,58,Renekton,,Fighter,False,0.38345152139663696,0.616548478603363,False,False
all_champions_exploratory,25,Morgana,catcher,3,427,Ivern,enchanter,Support,True,0.41551196575164795,0.584488034248352,False,False
all_champions_exploratory,25,Morgana,catcher,4,51,Caitlyn,,Marksman,False,0.4664991497993469,0.5335008502006531,False,False
all_champions_exploratory,25,Morgana,catcher,5,117,Lulu,enchanter,Support,True,0.474029004573822,0.525970995426178,False,False
all_champions_exploratory,26,Zilean,enchanter,1,800,champ_800,,Unknown,False,0.3974449038505554,0.6025550961494446,False,False
all_champions_exploratory,26,Zilean,enchanter,2,142,Zoe,,Mage,False,0.4323269724845886,0.5676730275154114,False,False
all_champions_exploratory,26,Zilean,enchanter,3,59,Jarvan IV,,Tank,False,0.4966539740562439,0.5033460259437561,False,False
all_champions_exploratory,26,Zilean,enchanter,4,233,Briar,,Fighter,False,0.5040157437324524,0.4959842562675476,False,False
all_champions_exploratory,26,Zilean,enchanter,5,58,Renekton,,Fighter,False,0.5141379237174988,0.4858620762825012,False,False
all_champions_exploratory,32,Amumu,engage_tank,1,90,Malzahar,,Mage,False,0.38375186920166016,0.6162481307983398,False,False
all_champions_exploratory,32,Amumu,engage_tank,2,72,Skarner,,Fighter,False,0.3924098610877991,0.6075901389122009,False,False
all_champions_exploratory,32,Amumu,engage_tank,3,147,Seraphine,enchanter,Mage,True,0.5404399633407593,0.4595600366592407,False,False
all_champions_exploratory,32,Amumu,engage_tank,4,432,Bard,roamer,Support,True,0.5518444776535034,0.4481555223464966,False,False
all_champions_exploratory,32,Amumu,engage_tank,5,9,Fiddlesticks,mage_support,Mage,True,0.5687029957771301,0.4312970042228699,False,False
all_champions_exploratory,37,Sona,enchanter,1,117,Lulu,enchanter,Support,True,0.4688987135887146,0.5311012864112854,True,True
all_champions_exploratory,37,Sona,enchanter,2,897,K'Sante,,Tank,False,0.4872652292251587,0.5127347707748413,False,False
all_champions_exploratory,37,Sona,enchanter,3,79,Gragas,,Fighter,False,0.5355494022369385,0.4644505977630615,False,False
all_champions_exploratory,37,Sona,enchanter,4,115,Ziggs,,Mage,False,0.5708107948303223,0.42918920516967773,False,False
all_champions_exploratory,37,Sona,enchanter,5,13,Ryze,,Mage,False,0.5913270711898804,0.40867292881011963,False,False
all_champions_exploratory,40,Janna,enchanter,1,92,Riven,,Fighter,False,0.20679807662963867,0.7932019233703613,False,False
all_champions_exploratory,40,Janna,enchanter,2,9,Fiddlesticks,mage_support,Mage,True,0.3662392497062683,0.6337607502937317,False,False
all_champions_exploratory,40,Janna,enchanter,3,23,Tryndamere,,Fighter,False,0.4015014171600342,0.5984985828399658,False,False
all_champions_exploratory,40,Janna,enchanter,4,4,Twisted Fate,,Mage,False,0.44199204444885254,0.5580079555511475,False,False
all_champions_exploratory,40,Janna,enchanter,5,48,Trundle,,Fighter,False,0.4824572801589966,0.5175427198410034,False,False
