ally_bottom_champion_name,n,mean_abs_error,median_abs_error,p90_abs_error,mean_signed_error,mean_prediction,mean_actual
Renata,2,0.31375721314724464,0.31375721314724464,0.4071851630419174,0.31375721314724464,0.3818017926107334,0.06804457946348873
Nocturne,1,0.3078877208996923,0.3078877208996923,0.3078877208996923,-0.3078877208996923,0.4337726048315873,0.7416603257312796
DrMundo,6,0.29746478740221444,0.2634045806611079,0.45252141608147906,-0.17981921042617688,0.41659165187961505,0.5964108623057919
FiddleSticks,2,0.2678344485826075,0.2678344485826075,0.28366632018314264,0.0197898395006689,0.4871611491016582,0.4673713096009893
Nautilus,1,0.2227539787074056,0.2227539787074056,0.2227539787074056,0.2227539787074056,0.29002499772101087,0.06727101901360526
Gnar,2,0.21468154990343563,0.21468154990343563,0.3298512274838632,0.14396209697553447,0.3677209839601481,0.22375888698461358
Soraka,13,0.20887587295202067,0.24164836034900145,0.38431218760387037,-0.016718319183407215,0.41721040605019366,0.43392872523360093
Nidalee,3,0.2077551733141918,0.2590691407373803,0.29374051940264057,-0.006149597268221341,0.3792746493519872,0.3854242466202085
Sona,4,0.20293126381056364,0.16504321523206691,0.3700697965668371,0.017236505886380163,0.4519612940258534,0.43472478813947324
Taric,1,0.1983403834448968,0.1983403834448968,0.1983403834448968,0.1983403834448968,0.45995415183566274,0.26161376839076594
Morgana,5,0.1967527110715229,0.16000946462487092,0.3116692946267554,0.10637797400081359,0.48165988520556463,0.37528191120475113
KSante,4,0.19551284924290757,0.20374969968869913,0.28190699185485296,0.04442453975781975,0.2946945085517317,0.25026996879391195
LeeSin,13,0.1916263495301407,0.17801923262130642,0.34762248215689634,0.020784981286346853,0.3561676361696493,0.33538265488330243
Vex,5,0.18980813143328149,0.20546025054137362,0.25571034347036903,-0.18980813143328149,0.41059512553434774,0.6004032569676292
Irelia,11,0.18826439144642146,0.16352720332568754,0.31158898442510236,-0.08428825555147006,0.3900950692870875,0.47438332483855755
Elise,2,0.18719348400740524,0.18719348400740524,0.20058650241534834,0.016741273009928864,0.3719020409551971,0.35516076794526824
Lulu,4,0.18677535020237354,0.19651956398681986,0.20825553234790445,0.009744213784446336,0.43619926190906866,0.4264550481246223
MasterYi,9,0.18619651389543135,0.1973759959125338,0.3209980947332069,0.1409530166524111,0.36772986560189785,0.2267768489494868
Orianna,8,0.1851629772051044,0.1709027045399123,0.2893922356090268,-0.09971162493514826,0.4221450089314105,0.5218566338665588
Chogath,21,0.1850493922552576,0.11091427404366017,0.36522954094109034,-0.021843114215859754,0.3437445517401863,0.3655876659560461
Shen,1,0.18414475111484913,0.18414475111484913,0.18414475111484913,0.18414475111484913,0.28988187745890553,0.10573712634405641
Karma,11,0.1816514450781328,0.17563494815254144,0.31389737708899124,-0.03275795795967594,0.4083696878163188,0.4411276457759948
Rengar,20,0.1800476784973902,0.1643222749825317,0.29409901632296503,-0.09339368645200426,0.3866825852808063,0.48007627173281053
Bard,6,0.17952540079967508,0.170631064294758,0.2941314170934511,-0.17952540079967508,0.3558204568208095,0.5353458576204846
Qiyana,36,0.17792532073516815,0.15347841992602143,0.3442654071211917,0.023501139976778527,0.40110631517716844,0.37760517520038994
Diana,4,0.17709251683119953,0.1877774097612656,0.2236294858160075,-0.06406480294839283,0.46075133343504737,0.5248161363834402
Tryndamere,1,0.1718275849514322,0.1718275849514322,0.1718275849514322,-0.1718275849514322,0.43617215433017925,0.6079997392816114
Kennen,10,0.17111862099647168,0.17342919585735433,0.31399473485402996,0.03178737029383359,0.4442000529427802,0.41241268264894665
Leblanc,2,0.1672355458328203,0.1672355458328203,0.22601050885953505,0.1672355458328203,0.36482410126493514,0.19758855543211484
Lissandra,4,0.1654231323450137,0.14204441571416473,0.24692828727077734,0.0762584799521323,0.5108710464653075,0.43461256651317515
Akshan,45,0.1650309004806631,0.13634436660179544,0.27656352184141936,0.03992192438580268,0.40993268328934873,0.37001075890354607
Kindred,6,0.1627281947603079,0.1383250976513387,0.25777222588856225,-0.09040773387838952,0.42333015860222684,0.5137378924806163
Zoe,26,0.15810761397966752,0.15425300268112008,0.26784545665306825,0.021628922927102542,0.46461913303125907,0.44299021010415657
Quinn,7,0.1579890927556848,0.19740649657677267,0.30026592261287144,-0.009498320455091778,0.46748720881804307,0.4769855292731348
Neeko,5,0.1579433283266256,0.13268005591597415,0.23703635179155458,0.0763365113278453,0.4671168654628211,0.3907803541349758
Singed,43,0.1564847195386758,0.12796782358726072,0.32964861692394276,0.025752084569716213,0.38976861142376523,0.364016526854049
Anivia,49,0.15642080882322687,0.1449653325578389,0.29984685470950834,-0.028885821122118214,0.46231612553381046,0.49120194665592865
Sion,41,0.15634339415592194,0.14308731828757887,0.2703075526946099,0.007071654497896653,0.40262397322284105,0.3955523187249444
Malzahar,43,0.15239859642410514,0.12003879190682176,0.3270557001822075,-0.02321285831015988,0.48337780467767916,0.5065906629878391
Zyra,157,0.1510679408152042,0.13239538752411895,0.27987806638162493,-0.006705068540685441,0.45315409289302816,0.4598591614337136
Ornn,6,0.15072319165452958,0.14593918683542612,0.23401112812970484,-0.09609540495669255,0.37577797952036746,0.47187338447705995
Pantheon,10,0.15056773093244374,0.13677176577652372,0.23476764289253993,0.041294085306039854,0.3937835083697231,0.3524894230636833
Aurora,47,0.15042229077451844,0.12389476314737702,0.32821290326017183,-0.027325583958383533,0.4552425393060041,0.4825681232643876
Vladimir,259,0.1495806637680281,0.1273432028539088,0.3010777410085927,-0.005556590676267013,0.43212724601965036,0.43768383669591737
Trundle,4,0.1488056301528626,0.16042236440131774,0.25403192482920356,0.011616734248455128,0.37540265676795664,0.3637859225195015
Tristana,1242,0.1484669928294247,0.1305725997792375,0.3028936103384124,0.00492141350161608,0.38919375022319774,0.3842723367215816
Heimerdinger,80,0.14809613282917045,0.12655466127430887,0.3080100608932115,0.05999115886581187,0.4604008959542572,0.4004097370884453
Naafiri,69,0.14742037124994523,0.13411629111372464,0.2994123280142988,-0.01951738499499968,0.4194881918434885,0.4390055768384882
Samira,1032,0.14646926595794588,0.12771145650027876,0.284465965510333,0.006876918010268497,0.37808563632639164,0.3712087183161231
