ally_utility_champion_name,n,mean_abs_error,median_abs_error,p90_abs_error,mean_signed_error,mean_prediction,mean_actual
Caitlyn,1,0.4662498576652125,0.4662498576652125,0.4662498576652125,-0.4662498576652125,0.3724210264266122,0.8386708840918247
Gangplank,1,0.3904187222439546,0.3904187222439546,0.3904187222439546,0.3904187222439546,0.3904187222439546,0.0
Samira,1,0.38914210727772963,0.38914210727772963,0.38914210727772963,-0.38914210727772963,0.35377806425713626,0.7429201715348659
Olaf,1,0.35869777237794004,0.35869777237794004,0.35869777237794004,0.35869777237794004,0.3823848781277842,0.023687105749844197
Belveth,2,0.3388151438908844,0.3388151438908844,0.42525309485749957,-0.10804743870826894,0.5013341872335213,0.6093816259417901
Yorick,1,0.24307160054687604,0.24307160054687604,0.24307160054687604,0.24307160054687604,0.3320311508858479,0.08895955033897185
Yone,1,0.23879839291003563,0.23879839291003563,0.23879839291003563,0.23879839291003563,0.3538860880731718,0.11508769516313615
Rumble,7,0.2183430354796517,0.24758051941936865,0.3435448326731702,0.0854015830591111,0.398024950058771,0.31262336699965987
Kalista,3,0.21421926725248477,0.18332350158549202,0.38109842072956684,0.19502450081490022,0.4003372746991647,0.20531277388426442
Rammus,14,0.2048380126697968,0.18357066176371067,0.3615485395712178,-0.15041144347341387,0.466432820710246,0.6168442641836599
Yasuo,2,0.2028529642897339,0.2028529642897339,0.22288849850528644,0.02504441776944069,0.342774126884909,0.3177297091154683
Zeri,1,0.20222801456944564,0.20222801456944564,0.20222801456944564,0.20222801456944564,0.41875357233943766,0.21652555776999202
Darius,2,0.1997534045812677,0.1997534045812677,0.2177851097794199,0.022539631497690255,0.5254336524512552,0.502894020953565
Vladimir,2,0.19639261403643704,0.19639261403643704,0.2676036152872561,0.19639261403643704,0.3850050420072121,0.18861242797077504
Singed,17,0.1937408881223102,0.14773990121079783,0.3714370253957177,0.0500606179768298,0.5250290996481436,0.47496848167131384
Jax,27,0.18784867111961775,0.16065256593437893,0.33135931099584226,0.022665291626466372,0.5141569220579995,0.49149163043153304
Karthus,18,0.18635606988149192,0.14867415968235645,0.33333567478169795,-0.056885675414005035,0.33079949452380303,0.38768516993780805
Gwen,2,0.1858606727270816,0.1858606727270816,0.1989103513484223,-0.1858606727270816,0.43705945677475566,0.6229201295018372
Diana,1,0.18559105804689174,0.18559105804689174,0.18559105804689174,0.18559105804689174,0.44783041400876245,0.2622393559618707
Zed,16,0.18551830048543985,0.20098201901537704,0.3367446246949352,0.023150477692685266,0.394598390310493,0.37144791261780774
Fizz,2,0.1836289009767171,0.1836289009767171,0.23336286231377845,-0.06216745167132667,0.5320353315813833,0.5942027832527099
Zac,51,0.18178614223447037,0.1621327755305833,0.3430270033367638,0.006240402564887195,0.4087680966027995,0.4025276940379124
TwistedFate,25,0.17993458205977,0.13862183561114094,0.3555126023014289,-0.05032744869510876,0.45927215666821447,0.5095996053633232
AurelionSol,27,0.1774539870860355,0.2057939429661121,0.29346910978242025,-0.07556007618281313,0.6139812252389247,0.689541301421738
Syndra,16,0.17545408033834825,0.14481772933922,0.32375874458152576,-0.015201862183014097,0.385840035535991,0.4010418977190051
MasterYi,3,0.17519749121373995,0.22599604979658358,0.2601857185793072,-0.003957932636252132,0.46104958007904884,0.465007512715301
Orianna,19,0.17317894146955343,0.1427412770868936,0.3092371910269689,-0.002964301200859481,0.32076716799601035,0.3237314691968698
Sett,7,0.17151224467643436,0.1914553168784357,0.23906016344134978,0.11681072556830988,0.38659055980986096,0.2697798342415511
Kassadin,1,0.17114187071338396,0.17114187071338396,0.17114187071338396,0.17114187071338396,0.3718217867208052,0.20067991600742122
LeeSin,22,0.16759623975093818,0.15941196840925104,0.31462076678368683,0.021648028841121998,0.45282683048422745,0.4311788016431054
Fiora,12,0.16500237436902324,0.18422632396670316,0.2601695346230772,-0.01670272036445651,0.4756974571179062,0.4924001774823627
Varus,3,0.163446610162165,0.1981601676837592,0.20833044645622648,0.163446610162165,0.3920245499839769,0.22857793982181185
Garen,2,0.16317703737095124,0.16317703737095124,0.2906344016987511,-0.16317703737095124,0.43264311612393613,0.5958201534948874
JarvanIV,60,0.16266794031669782,0.1533741057902341,0.3203101589116541,-0.010253121377105878,0.4407334178116193,0.4509865391887252
Qiyana,15,0.1623465762277753,0.11846166662149049,0.32592715187708515,0.018259424208434835,0.4495191674623537,0.43125974325391886
Kled,2,0.16199705429787464,0.16199705429787464,0.21853982666793692,0.07067846546257787,0.41265292565409395,0.3419744601915161
Shaco,232,0.16184695478736597,0.13727450428594037,0.30998452187825354,0.006878303451662898,0.536640009170234,0.5297617057185712
Twitch,16,0.16152344909249886,0.14950310430862804,0.281559035609764,-0.12081887569138576,0.5662684364063819,0.6870873120977677
Kayle,9,0.16011436844436577,0.0850749927550482,0.3043768257993901,-0.04209182752245301,0.26400976585097957,0.30610159337343257
Amumu,108,0.15897957906806257,0.12638812681600026,0.3317002286178024,-0.008061225897340965,0.41105985041372123,0.4191210763110622
Vayne,5,0.158287527285834,0.21518565358968578,0.2213684428204573,0.017110463761217054,0.44696880283969626,0.4298583390784792
Brand,184,0.1581800850475585,0.1373605360781806,0.2985661901522691,0.017444028058940107,0.38574405685380403,0.36830002879486395
Morgana,289,0.15784446488414536,0.1451132086937439,0.3165908505696799,0.02115189484307192,0.3648491574171847,0.34369726257411276
XinZhao,17,0.1572582795462456,0.15381828392353541,0.2916642192398464,0.06976451235778483,0.49841813392408246,0.42865362156629766
Ekko,34,0.15622252839868675,0.11767945561771614,0.32485000720957685,0.042675552901413685,0.47168357818614115,0.4290080252847275
MissFortune,9,0.15455709128936201,0.13929304678665996,0.24229525226943527,0.025242835902836474,0.32689653919593487,0.3016537032930984
Teemo,30,0.1539259537904962,0.13973065788321826,0.2886073904899362,0.00697325554406417,0.4084269479438324,0.4014536923997682
Pantheon,591,0.15260222543456045,0.1367742511015319,0.29993038452488696,-0.01705198205379659,0.47668445974295554,0.4937364417967521
Trundle,77,0.1525451264103349,0.14611803290230613,0.3163312260817322,-0.005823472954825413,0.4287758449606944,0.4345993179155198
Viktor,2,0.15183188216149307,0.15183188216149307,0.17426249870121913,0.15183188216149307,0.4580871777393654,0.30625529557787234
Nasus,14,0.15077452164413851,0.16768011885795386,0.23436725525380175,-0.011070182193808958,0.34159402303856534,0.35266420523237424
Vi,10,0.15000656777891166,0.1148051806579409,0.2704096709345572,0.021786947473424065,0.45112326036111483,0.42933631288769075
Akshan,6,0.14950039590217185,0.16371070673518748,0.25690053764143805,-0.14950039590217185,0.48354093775962226,0.633041333661794
Rengar,16,0.14877558396998905,0.11587394189609695,0.2974039525419636,-0.09262961385265486,0.39324498764742066,0.48587460150007555
Zilean,902,0.14839046796474076,0.1257061377232912,0.3158922108819645,-0.009150070487731593,0.3644663222611926,0.3736163927489242
Taliyah,54,0.1477532720954207,0.12085765599635928,0.3035810966144138,-0.003614080079451255,0.45119184258610856,0.4548059226655598
Lissandra,26,0.1475224635831571,0.1316080286304569,0.3083126359818293,-0.0008289393186732585,0.42843176347047673,0.42926070278915
Elise,734,0.14747578104232126,0.1283556189106165,0.2959754060273757,-0.01808113713189389,0.5235597518235381,0.5416408889554319
Sona,1608,0.14687457102424525,0.12976734616345584,0.2919953982538525,0.0023477689619033106,0.33390826478152935,0.331560495819626
Annie,62,0.14668240096502658,0.12420730534110777,0.2868339545679205,0.04527244673152397,0.3783735639195373,0.33310111718801333
Janna,2158,0.14661326921444637,0.12378970917933363,0.3020790488839852,0.009429260504094062,0.4347643622727895,0.4253351017686953
Anivia,211,0.14595528020538756,0.12003462898429423,0.3062883824218871,0.014521070354510982,0.3720052375219562,0.35748416716744524
Shen,140,0.14575639457735537,0.12660450557423408,0.2835198326702379,-0.003132612662068293,0.36133003937216307,0.3644626520342314
