ally_utility_champion_name,ally_bottom_champion_name,n,mean_abs_error,median_abs_error,p90_abs_error,mean_signed_error,mean_prediction,mean_actual
Mel,Seraphine,1,0.6099823021646971,0.6099823021646971,0.6099823021646971,-0.6099823021646971,0.3740724423003742,0.9840547444650712
Sion,Smolder,1,0.5927683303547882,0.5927683303547882,0.5927683303547882,-0.5927683303547882,0.3248863524054807,0.9176546827602688
Nami,DrMundo,1,0.5772156118240055,0.5772156118240055,0.5772156118240055,-0.5772156118240055,0.3995044346318201,0.9767200464558257
Rammus,Caitlyn,1,0.5447656162106913,0.5447656162106913,0.5447656162106913,-0.5447656162106913,0.45523438378930864,1.0
Syndra,Corki,1,0.5322740634425275,0.5322740634425275,0.5322740634425275,-0.5322740634425275,0.363079260368082,0.8953533238106095
Yuumi,Sion,1,0.5320284116370447,0.5320284116370447,0.5320284116370447,-0.5320284116370447,0.21964867177453776,0.7516770834115825
Karthus,Lucian,1,0.5106081946606982,0.5106081946606982,0.5106081946606982,-0.5106081946606982,0.2981609450427708,0.808769139703469
Zac,Jinx,1,0.49801966092575184,0.49801966092575184,0.49801966092575184,-0.49801966092575184,0.38669549556938626,0.8847151564951381
Ashe,Singed,1,0.4900401631938431,0.4900401631938431,0.4900401631938431,-0.4900401631938431,0.40819296806130484,0.8982331312551479
Ashe,Zyra,1,0.4898770790854579,0.4898770790854579,0.4898770790854579,-0.4898770790854579,0.39236412776659163,0.8822412068520495
Shen,Singed,1,0.48371951120903156,0.48371951120903156,0.48371951120903156,-0.48371951120903156,0.3834782931200257,0.8671978043290572
Elise,Akshan,1,0.4833799723750757,0.4833799723750757,0.4833799723750757,-0.4833799723750757,0.5166200276249243,1.0
Singed,Ezreal,1,0.47962239320318956,0.47962239320318956,0.47962239320318956,0.47962239320318956,0.47962239320318956,0.0
Rakan,Chogath,1,0.47398196554123134,0.47398196554123134,0.47398196554123134,0.47398196554123134,0.47398196554123134,0.0
Caitlyn,Corki,1,0.4662498576652125,0.4662498576652125,0.4662498576652125,-0.4662498576652125,0.3724210264266122,0.8386708840918247
Sona,Aurora,1,0.4642358948298253,0.4642358948298253,0.4642358948298253,-0.4642358948298253,0.3920249070082532,0.8562608018380785
Braum,Aurora,1,0.4594818249251502,0.4594818249251502,0.4594818249251502,-0.4594818249251502,0.3736378098159854,0.8331196347411356
Karma,Ahri,1,0.45092294760302276,0.45092294760302276,0.45092294760302276,-0.45092294760302276,0.4281184850022207,0.8790414326052435
Seraphine,Akshan,1,0.45005424480257955,0.45005424480257955,0.45005424480257955,-0.45005424480257955,0.4127799605310534,0.862834205333633
Belveth,Yunara,1,0.44686258259915335,0.44686258259915335,0.44686258259915335,-0.44686258259915335,0.46751647630523185,0.9143790589043852
Sejuani,Fiora,1,0.4446870830017132,0.4446870830017132,0.4446870830017132,-0.4446870830017132,0.4078099303682048,0.852497013369918
Zed,Swain,1,0.4416415413130235,0.4416415413130235,0.4416415413130235,0.4416415413130235,0.4830626619154337,0.041421120602410134
