error_rank,match_id,team_id,side,patch,game_version,ally_utility_champion_name,ally_bottom_champion_name,enemy_utility_champion_name,enemy_bottom_champion_name,prediction,actual,signed_error,abs_error,prediction_bin,actual_bin,qualitative_note,ally_top_champion_name,ally_jungle_champion_name,ally_middle_champion_name,enemy_top_champion_name,enemy_jungle_champion_name,enemy_middle_champion_name,support_champion_name,game_start_timestamp,platform_id,queue_id,game_duration_seconds,ally_top_participant_id,ally_top_champion_id,ally_top_summoner1_id,ally_top_summoner2_id,ally_top_keystone_id,ally_top_primary_style_id,ally_top_sub_style_id,ally_jungle_participant_id,ally_jungle_champion_id,ally_jungle_summoner1_id,ally_jungle_summoner2_id,ally_jungle_keystone_id,ally_jungle_primary_style_id,ally_jungle_sub_style_id,ally_middle_participant_id,ally_middle_champion_id,ally_middle_summoner1_id,ally_middle_summoner2_id,ally_middle_keystone_id,ally_middle_primary_style_id,ally_middle_sub_style_id,ally_bottom_participant_id,ally_bottom_champion_id,ally_bottom_summoner1_id,ally_bottom_summoner2_id,ally_bottom_keystone_id,ally_bottom_primary_style_id,ally_bottom_sub_style_id,ally_utility_participant_id,ally_utility_champion_id,ally_utility_summoner1_id,ally_utility_summoner2_id,ally_utility_keystone_id,ally_utility_primary_style_id,ally_utility_sub_style_id,enemy_top_participant_id,enemy_top_champion_id,enemy_top_summoner1_id,enemy_top_summoner2_id,enemy_top_keystone_id,enemy_top_primary_style_id,enemy_top_sub_style_id,enemy_jungle_participant_id,enemy_jungle_champion_id,enemy_jungle_summoner1_id,enemy_jungle_summoner2_id,enemy_jungle_keystone_id,enemy_jungle_primary_style_id,enemy_jungle_sub_style_id,enemy_middle_participant_id,enemy_middle_champion_id,enemy_middle_summoner1_id,enemy_middle_summoner2_id,enemy_middle_keystone_id,enemy_middle_primary_style_id,enemy_middle_sub_style_id,enemy_bottom_participant_id,enemy_bottom_champion_id,enemy_bottom_summoner1_id,enemy_bottom_summoner2_id,enemy_bottom_keystone_id,enemy_bottom_primary_style_id,enemy_bottom_sub_style_id,enemy_utility_participant_id,enemy_utility_champion_id,enemy_utility_summoner1_id,enemy_utility_summoner2_id,enemy_utility_keystone_id,enemy_utility_primary_style_id,enemy_utility_sub_style_id,ally_ban_1_champion_id,enemy_ban_1_champion_id,ally_ban_2_champion_id,enemy_ban_2_champion_id,ally_ban_3_champion_id,enemy_ban_3_champion_id,ally_ban_4_champion_id,enemy_ban_4_champion_id,ally_ban_5_champion_id,enemy_ban_5_champion_id,support_roam_score,raw_support_roam_score_v5_geometry,support_roam_score_quantile
1,EUW1_7831489390,200,red,16.8,16.8.766.8562,Yuumi,Smolder,Pyke,Velkoz,0.2085366053424323,1.0,-0.7914633946575678,0.7914633946575678,very_low,very_high,,Sion,Talon,KogMaw,Jayce,Shaco,Azir,Yuumi,1777057420646,EUW1,420,1265.0,6,14,4,12,8437,8400,8300,7,91,11,4,8128,8100,8300,8,96,6,4,8005,8000,8200,9,901,4,21,8021,8000,8300,10,350,3,14,8229,8200,8000,1,126,12,4,8010,8000,8300,2,35,14,11,8229,8200,8000,3,268,4,14,9923,8100,8200,4,161,21,4,8229,8200,8300,5,555,4,14,9923,8100,8400,83.0,92.0,157.0,799.0,104.0,81.0,,104.0,107.0,7.0,1.0,1.0,1.0
2,EUW1_7706461344,100,blue,16.2,16.2.741.3171,Yuumi,Zeri,Sona,Lucian,0.1739646687470375,0.9295642077597724,-0.7555995390127349,0.7555995390127349,very_low,very_high,,KSante,Viego,Cassiopeia,Camille,Graves,TwistedFate,Yuumi,1769644550879,EUW1,420,1051.0,1,897,4,12,8437,8400,8300,2,234,11,4,8010,8000,8300,3,69,4,1,8010,8000,8200,4,221,4,6,8008,8000,8300,5,350,3,7,8229,8200,8000,6,164,4,12,8437,8400,8300,7,104,4,11,8128,8100,8000,8,4,4,12,8360,8300,8400,9,236,21,4,8112,8100,8200,10,37,4,7,8214,8200,8000,119.0,523.0,134.0,,107.0,54.0,201.0,91.0,39.0,555.0,0.9295642077597724,0.9072058823529412,0.9975375540929525
3,EUW1_7708715292,200,red,16.2,16.2.741.3171,Senna,Caitlyn,Blitzcrank,Tristana,0.3096420467140087,1.0,-0.6903579532859914,0.6903579532859914,low_mid,very_high,,Teemo,Diana,Yasuo,Swain,Nidalee,Qiyana,Senna,1769796748286,EUW1,420,1870.0,6,17,4,14,8005,8000,8200,7,131,4,11,8010,8000,8300,8,157,4,14,8437,8400,8000,9,51,21,4,8008,8000,8300,10,235,7,4,8214,8200,8400,1,50,14,4,8112,8100,8200,2,76,4,11,8010,8000,8200,3,246,14,4,8112,8100,8000,4,18,21,4,8008,8000,8300,5,53,3,4,8351,8300,8200,887.0,39.0,523.0,201.0,114.0,78.0,54.0,555.0,84.0,245.0,1.0,1.0,1.0
4,EUW1_7783266689,200,red,16.5,16.5.752.7101,Senna,Ashe,Lulu,Twitch,0.2629699526163075,0.9432054457287128,-0.6802354931124053,0.6802354931124053,low_mid,very_high,,Garen,Nidalee,Leblanc,FiddleSticks,Briar,KogMaw,Senna,1773690046885,EUW1,420,1789.0,6,86,4,14,8010,8000,8400,7,76,4,11,8128,8100,8300,8,7,4,12,8112,8100,8200,9,22,21,4,8008,8000,8300,10,235,4,7,8214,8200,8400,1,9,4,14,8369,8300,8200,2,233,4,11,8005,8000,8100,3,96,4,6,8005,8000,8200,4,29,4,21,8008,8000,8100,5,117,4,7,8214,8200,8400,799.0,2.0,107.0,119.0,122.0,110.0,555.0,91.0,238.0,,0.9432054457287128,0.925,0.997997997997998
5,EUW1_7714775914,200,red,16.2,16.2.741.3171,Senna,Kaisa,Rell,Ezreal,0.30355502822562663,0.9707064374405748,-0.6671514092149482,0.6671514092149482,low_mid,very_high,,DrMundo,Kayn,Irelia,Cassiopeia,Naafiri,TwistedFate,Senna,1770141092703,EUW1,420,1864.0,6,36,12,6,8437,8400,8300,7,141,4,11,8128,8100,8300,8,39,4,14,8010,8000,8300,9,145,21,4,8008,8000,8300,10,235,7,4,8214,8200,8400,1,69,4,12,8010,8000,8200,2,950,4,11,8010,8000,8300,3,4,6,4,8360,8300,8200,4,81,21,4,8008,8000,8300,5,526,4,14,8439,8400,8300,200.0,238.0,800.0,122.0,555.0,234.0,122.0,126.0,107.0,799.0,0.9707064374405748,0.9611338650571244,0.9987704064072775
6,EUW1_7705744974,100,blue,16.2,16.2.741.3171,Karma,Caitlyn,Lulu,Ashe,0.3366410986010733,1.0,-0.6633589013989267,0.6633589013989267,low_mid,very_high,,Kled,FiddleSticks,Zed,Volibear,Naafiri,Galio,Karma,1769621369282,EUW1,420,1812.0,1,240,4,12,8010,8000,8400,2,9,4,11,8128,8100,8300,3,238,4,12,8369,8300,8000,4,51,4,21,8008,8000,8200,5,43,7,4,8214,8200,8400,6,106,14,4,8437,8400,8000,7,950,11,4,8010,8000,8300,8,3,4,12,8230,8200,8400,9,22,21,4,8008,8000,8300,10,117,4,7,8214,8200,8400,131.0,54.0,114.0,84.0,523.0,110.0,555.0,555.0,246.0,119.0,1.0,1.0,1.0
7,EUW1_7830670024,100,blue,16.8,16.8.766.8562,Sona,Ashe,Blitzcrank,Jinx,0.3406474206862067,1.0,-0.6593525793137933,0.6593525793137933,low_mid,very_high,,Jayce,Shyvana,Ryze,Sylas,Udyr,Yone,Sona,1776978399499,EUW1,420,1255.0,1,126,4,14,8112,8100,8300,2,102,4,11,8005,8000,8300,3,13,4,14,8230,8200,8300,4,22,4,21,8008,8000,8300,5,37,4,7,8214,8200,8000,6,517,4,3,8112,8100,8400,7,77,11,4,8010,8000,8300,8,777,3,4,8021,8000,8400,9,222,4,1,8008,8000,8300,10,53,7,4,8351,8300,8200,119.0,81.0,72.0,166.0,950.0,68.0,111.0,799.0,92.0,119.0,1.0,1.0,1.0
8,EUW1_7705182186,200,red,16.2,16.2.741.3171,Yuumi,Aphelios,Velkoz,Caitlyn,0.15837569749590863,0.8167022853786017,-0.658326587882693,0.658326587882693,very_low,very_high,,Poppy,Diana,Fizz,Nasus,Elise,Ekko,Yuumi,1769584336288,EUW1,420,1334.0,6,78,12,4,8437,8400,8000,7,131,4,11,8010,8000,8300,8,105,4,14,8112,8100,8200,9,523,4,21,8021,8000,8200,10,350,7,3,8214,8200,8000,1,75,12,4,8230,8200,8300,2,60,4,11,8128,8100,8000,3,245,4,12,8112,8100,8200,4,51,21,4,8008,8000,8200,5,161,4,7,8229,8200,8400,234.0,92.0,555.0,555.0,122.0,107.0,110.0,134.0,166.0,35.0,0.8167022853786017,0.7633991894630192,0.9860869281959355
9,EUW1_7716308181,100,blue,16.3,16.3.742.6169,Velkoz,Twitch,Nami,Mel,0.34218717476077987,1.0,-0.6578128252392201,0.6578128252392201,low_mid,very_high,,Ahri,XinZhao,Zoe,Ornn,JarvanIV,Jayce,Velkoz,1770228575376,EUW1,420,1427.0,1,103,4,14,8112,8100,8200,2,5,4,11,8010,8000,8300,3,142,14,4,8112,8100,8200,4,29,4,21,8008,8000,8200,5,161,4,7,8229,8200,8000,6,516,12,4,8360,8300,8400,7,59,11,4,8010,8000,8300,8,126,4,12,8230,8200,8300,9,800,21,4,8229,8200,8000,10,267,7,4,8214,8200,8400,555.0,35.0,39.0,24.0,119.0,110.0,950.0,200.0,200.0,799.0,1.0,1.0,1.0
10,EUW1_7708270762,200,red,16.2,16.2.741.3171,Lux,Caitlyn,Karma,Jhin,0.3428767431544603,1.0,-0.6571232568455396,0.6571232568455396,low_mid,very_high,,Gwen,Nidalee,Quinn,Sion,Ambessa,Akali,Lux,1769777985004,EUW1,420,2030.0,6,887,4,6,8010,8000,8400,7,76,4,11,8010,8000,8200,8,133,14,4,8112,8100,8200,9,51,4,21,8008,8000,8300,10,99,4,7,8229,8200,8100,1,14,4,12,8437,8400,8300,2,799,11,4,8010,8000,8300,3,84,14,4,8112,8100,8400,4,202,21,4,8021,8000,8300,5,43,3,4,8214,8200,8300,134.0,13.0,110.0,432.0,54.0,166.0,29.0,121.0,126.0,122.0,1.0,1.0,1.0
