feature,importance_mean,importance_std,feature_type
ally_utility_champion_id,0.2262761618345126,0.0015435462392426273,ally_champions
ally_bottom_champion_id,0.024100174782214302,0.0010101292398739501,ally_champions
enemy_utility_champion_id,0.017155388648309677,0.0008393632007162205,enemy_champions
enemy_bottom_champion_id,0.013123128766351633,0.0009069576845752662,enemy_champions
ally_jungle_champion_id,0.0022256425853156236,0.00026664084004629485,ally_champions
enemy_middle_champion_id,0.001981720497858186,0.00021058787713357005,enemy_champions
ally_middle_champion_id,0.0018939996128558567,0.0002119195869820362,ally_champions
ally_bottom_summoner2_id,0.0006369726275657017,9.736550927779423e-05,ally_spells
ally_top_champion_id,0.0005252410370979677,0.00020248231885633666,ally_champions
ally_utility_summoner1_id,0.0004983440876876854,8.344984939628701e-05,ally_spells
enemy_jungle_champion_id,0.00046347750018204125,0.00014823988690521565,enemy_champions
ally_bottom_summoner1_id,0.0002381107922330372,6.618041394240094e-05,ally_spells
enemy_top_champion_id,8.377784907521723e-05,0.00016165738681649886,enemy_champions
ally_utility_summoner2_id,1.5126135866594392e-05,6.119669506029128e-06,ally_spells
ally_middle_summoner2_id,3.7721926258060813e-06,2.836241672608573e-06,ally_spells
enemy_bottom_summoner2_id,3.2219939023692135e-06,3.3132575589355382e-06,enemy_spells
enemy_jungle_summoner1_id,2.3183351652300566e-06,1.350150911660139e-06,enemy_spells
enemy_top_summoner1_id,2.048739077986639e-06,2.482122104911894e-06,enemy_spells
ally_middle_summoner1_id,1.7312287276971538e-06,2.3284279801309075e-06,ally_spells
ally_jungle_summoner2_id,0.0,0.0,ally_spells
ally_jungle_summoner1_id,0.0,0.0,ally_spells
enemy_jungle_summoner2_id,0.0,0.0,enemy_spells
enemy_bottom_summoner1_id,0.0,0.0,enemy_spells
enemy_utility_summoner1_id,0.0,0.0,enemy_spells
enemy_utility_summoner2_id,0.0,0.0,enemy_spells
enemy_middle_summoner1_id,-8.10258523553653e-07,8.528846028482586e-07,enemy_spells
side,-1.645015144868811e-06,2.7267416920951994e-06,context
enemy_middle_summoner2_id,-1.9413324823802647e-06,2.8294900452167544e-06,enemy_spells
ally_top_summoner2_id,-2.8443336210770553e-06,9.827198862835505e-06,ally_spells
ally_top_summoner1_id,-3.1225526977207706e-06,2.5191548500059566e-06,ally_spells
enemy_top_summoner2_id,-4.091096344582823e-06,2.2466744198700927e-06,enemy_spells
