run_id,hidden_dims,dropout,lr,weight_decay
001_h128-64_d0p2_lr1em03_wd1em04,"[128, 64]",0.2,0.001,0.0001
002_h128-64_d0p2_lr1em03_wd5em04,"[128, 64]",0.2,0.001,0.0005
003_h128-64_d0p2_lr1em03_wd1em03,"[128, 64]",0.2,0.001,0.001
004_h128-64_d0p2_lr5em04_wd1em04,"[128, 64]",0.2,0.0005,0.0001
005_h128-64_d0p2_lr5em04_wd5em04,"[128, 64]",0.2,0.0005,0.0005
006_h128-64_d0p2_lr5em04_wd1em03,"[128, 64]",0.2,0.0005,0.001
007_h128-64_d0p2_lr2em04_wd1em04,"[128, 64]",0.2,0.0002,0.0001
008_h128-64_d0p2_lr2em04_wd5em04,"[128, 64]",0.2,0.0002,0.0005
009_h128-64_d0p2_lr2em04_wd1em03,"[128, 64]",0.2,0.0002,0.001
010_h128-64_d0p3_lr1em03_wd1em04,"[128, 64]",0.3,0.001,0.0001
011_h128-64_d0p3_lr1em03_wd5em04,"[128, 64]",0.3,0.001,0.0005
012_h128-64_d0p3_lr1em03_wd1em03,"[128, 64]",0.3,0.001,0.001
013_h128-64_d0p3_lr5em04_wd1em04,"[128, 64]",0.3,0.0005,0.0001
014_h128-64_d0p3_lr5em04_wd5em04,"[128, 64]",0.3,0.0005,0.0005
015_h128-64_d0p3_lr5em04_wd1em03,"[128, 64]",0.3,0.0005,0.001
016_h128-64_d0p3_lr2em04_wd1em04,"[128, 64]",0.3,0.0002,0.0001
017_h128-64_d0p3_lr2em04_wd5em04,"[128, 64]",0.3,0.0002,0.0005
018_h128-64_d0p3_lr2em04_wd1em03,"[128, 64]",0.3,0.0002,0.001
019_h128-64_d0p4_lr1em03_wd1em04,"[128, 64]",0.4,0.001,0.0001
020_h128-64_d0p4_lr1em03_wd5em04,"[128, 64]",0.4,0.001,0.0005
021_h128-64_d0p4_lr1em03_wd1em03,"[128, 64]",0.4,0.001,0.001
022_h128-64_d0p4_lr5em04_wd1em04,"[128, 64]",0.4,0.0005,0.0001
023_h128-64_d0p4_lr5em04_wd5em04,"[128, 64]",0.4,0.0005,0.0005
024_h128-64_d0p4_lr5em04_wd1em03,"[128, 64]",0.4,0.0005,0.001
025_h128-64_d0p4_lr2em04_wd1em04,"[128, 64]",0.4,0.0002,0.0001
026_h128-64_d0p4_lr2em04_wd5em04,"[128, 64]",0.4,0.0002,0.0005
027_h128-64_d0p4_lr2em04_wd1em03,"[128, 64]",0.4,0.0002,0.001
028_h192-96_d0p2_lr1em03_wd1em04,"[192, 96]",0.2,0.001,0.0001
029_h192-96_d0p2_lr1em03_wd5em04,"[192, 96]",0.2,0.001,0.0005
030_h192-96_d0p2_lr1em03_wd1em03,"[192, 96]",0.2,0.001,0.001
031_h192-96_d0p2_lr5em04_wd1em04,"[192, 96]",0.2,0.0005,0.0001
032_h192-96_d0p2_lr5em04_wd5em04,"[192, 96]",0.2,0.0005,0.0005
033_h192-96_d0p2_lr5em04_wd1em03,"[192, 96]",0.2,0.0005,0.001
034_h192-96_d0p2_lr2em04_wd1em04,"[192, 96]",0.2,0.0002,0.0001
035_h192-96_d0p2_lr2em04_wd5em04,"[192, 96]",0.2,0.0002,0.0005
036_h192-96_d0p2_lr2em04_wd1em03,"[192, 96]",0.2,0.0002,0.001
037_h192-96_d0p3_lr1em03_wd1em04,"[192, 96]",0.3,0.001,0.0001
038_h192-96_d0p3_lr1em03_wd5em04,"[192, 96]",0.3,0.001,0.0005
039_h192-96_d0p3_lr1em03_wd1em03,"[192, 96]",0.3,0.001,0.001
040_h192-96_d0p3_lr5em04_wd1em04,"[192, 96]",0.3,0.0005,0.0001
041_h192-96_d0p3_lr5em04_wd5em04,"[192, 96]",0.3,0.0005,0.0005
042_h192-96_d0p3_lr5em04_wd1em03,"[192, 96]",0.3,0.0005,0.001
043_h192-96_d0p3_lr2em04_wd1em04,"[192, 96]",0.3,0.0002,0.0001
044_h192-96_d0p3_lr2em04_wd5em04,"[192, 96]",0.3,0.0002,0.0005
045_h192-96_d0p3_lr2em04_wd1em03,"[192, 96]",0.3,0.0002,0.001
046_h192-96_d0p4_lr1em03_wd1em04,"[192, 96]",0.4,0.001,0.0001
047_h192-96_d0p4_lr1em03_wd5em04,"[192, 96]",0.4,0.001,0.0005
048_h192-96_d0p4_lr1em03_wd1em03,"[192, 96]",0.4,0.001,0.001
049_h192-96_d0p4_lr5em04_wd1em04,"[192, 96]",0.4,0.0005,0.0001
050_h192-96_d0p4_lr5em04_wd5em04,"[192, 96]",0.4,0.0005,0.0005
051_h192-96_d0p4_lr5em04_wd1em03,"[192, 96]",0.4,0.0005,0.001
052_h192-96_d0p4_lr2em04_wd1em04,"[192, 96]",0.4,0.0002,0.0001
053_h192-96_d0p4_lr2em04_wd5em04,"[192, 96]",0.4,0.0002,0.0005
054_h192-96_d0p4_lr2em04_wd1em03,"[192, 96]",0.4,0.0002,0.001
055_h256-128_d0p2_lr1em03_wd1em04,"[256, 128]",0.2,0.001,0.0001
056_h256-128_d0p2_lr1em03_wd5em04,"[256, 128]",0.2,0.001,0.0005
057_h256-128_d0p2_lr1em03_wd1em03,"[256, 128]",0.2,0.001,0.001
058_h256-128_d0p2_lr5em04_wd1em04,"[256, 128]",0.2,0.0005,0.0001
059_h256-128_d0p2_lr5em04_wd5em04,"[256, 128]",0.2,0.0005,0.0005
060_h256-128_d0p2_lr5em04_wd1em03,"[256, 128]",0.2,0.0005,0.001
