error_rank,match_id,team_id,side,patch,frame_idx,minute,support_champion_name,adc_champion_name,support_alive,adc_alive,support_x,support_y,adc_x,adc_y,support_zone,adc_zone,support_zone_v5_abs,adc_zone_v5_abs,support_in_bot_context_v5,valid_support_frame_v5,valid_coop_frame_v5,out_bot_context_v5,far_from_adc_v5,support_dead_or_base,adc_dead_or_base,dist_to_adc,support_xp,adc_xp,xp_ratio_frame
8,EUW1_7705182186,200,red,16.2,5,5.002283333333334,Yuumi,Aphelios,True,True,10618.0,8719.0,13644.0,4177.0,OWN_BOTTOM_JUNGLE,BOTTOM_LANE,RED_BOT_JUNGLE,BOT_LANE_CORE,False,True,True,True,True,False,False,5457.695484359676,558.0,683.0,0.8169838945827232
8,EUW1_7705182186,200,red,16.2,6,6.002533333333333,Yuumi,Aphelios,True,True,11516.0,13610.0,14340.0,14391.0,OWN_BASE,OWN_BASE,RED_BASE,RED_BASE,False,False,False,False,False,True,True,2930.006313986371,558.0,1409.0,0.3960255500354862
8,EUW1_7705182186,200,red,16.2,7,7.003033333333334,Yuumi,Aphelios,True,True,6432.0,9347.0,13704.0,4651.0,RIVER_TOP,BOTTOM_LANE,RED_TOP_JUNGLE,BOT_LANE_CORE,False,True,True,True,True,False,False,8656.465791534096,558.0,1546.0,0.36093143596377747
8,EUW1_7705182186,200,red,16.2,8,8.003183333333334,Yuumi,Aphelios,True,True,10859.0,8851.0,13850.0,9198.0,OWN_BOTTOM_JUNGLE,BOTTOM_LANE,RED_BOT_JUNGLE,BOT_LANE_CORE,False,True,True,True,True,False,False,3011.0612747003343,773.0,2197.0,0.35184342284934
8,EUW1_7705182186,200,red,16.2,9,9.003183333333334,Yuumi,Aphelios,True,True,12340.0,2199.0,12698.0,3127.0,BOTTOM_LANE,RIVER_BOT,BOT_LANE_CORE,BOT_LANE_CORE,True,True,True,False,False,False,False,994.6597408159233,1057.0,2197.0,0.4811106053709604
8,EUW1_7705182186,200,red,16.2,10,10.003283333333334,Yuumi,Aphelios,True,True,12467.0,2701.0,14122.0,5058.0,RIVER_BOT,BOTTOM_LANE,BOT_LANE_CORE,BOT_LANE_CORE,True,True,True,False,True,False,False,2880.0128471935673,1669.0,2625.0,0.6358095238095238
8,EUW1_7705182186,200,red,16.2,11,11.003466666666666,Yuumi,Aphelios,True,True,11797.0,6689.0,13364.0,3425.0,OWN_BOTTOM_JUNGLE,BOTTOM_LANE,RED_BOT_JUNGLE,BOT_LANE_CORE,False,True,True,True,True,False,False,3620.660851281158,1944.0,2961.0,0.6565349544072948
14,EUW1_7705296763,200,red,16.2,5,5.0007166666666665,Braum,Vayne,True,True,6451.0,7383.0,12963.0,2509.0,MID_LANE,BOTTOM_LANE,MID_LANE,BOT_LANE_CORE,False,True,True,True,True,False,False,8134.0039341028105,1423.0,1594.0,0.8927227101631117
14,EUW1_7705296763,200,red,16.2,6,6.001133333333334,Braum,Vayne,True,True,11940.0,13166.0,13925.0,9071.0,OWN_BASE,BOTTOM_LANE,RED_BASE,BOT_LANE_CORE,False,False,False,False,False,True,False,4550.741697789494,1512.0,1886.0,0.8016967126193001
14,EUW1_7705296763,200,red,16.2,7,7.002683333333334,Braum,Vayne,True,True,10864.0,10364.0,12261.0,1992.0,OWN_BOTTOM_JUNGLE,BOTTOM_LANE,RED_BOT_JUNGLE,BOT_LANE_CORE,False,True,True,True,True,False,False,8487.755474800155,1553.0,2612.0,0.594563552833078
14,EUW1_7705296763,200,red,16.2,8,8.002766666666666,Braum,Vayne,True,False,3280.0,11337.0,13013.0,2466.0,RIVER_TOP,BOTTOM_LANE,TOP_SIDE_NEAR,BOT_LANE_CORE,False,True,False,True,False,False,True,13169.127913419325,1608.0,2891.0,0.5562089242476652
14,EUW1_7705296763,200,red,16.2,9,9.003316666666667,Braum,Vayne,True,True,11225.0,12889.0,12877.0,1872.0,OWN_BASE,BOTTOM_LANE,RED_TOP_JUNGLE,BOT_LANE_CORE,False,True,True,True,True,False,False,11140.170241069029,1974.0,3617.0,0.5457561515067736
14,EUW1_7705296763,200,red,16.2,10,10.003666666666666,Braum,Vayne,True,True,4779.0,8488.0,13774.0,4753.0,ENEMY_TOP_JUNGLE,BOTTOM_LANE,BLUE_TOP_JUNGLE,BOT_LANE_CORE,False,True,True,True,True,False,False,9739.622682629959,2357.0,4082.0,0.5774130328270456
14,EUW1_7705296763,200,red,16.2,11,11.0041,Braum,Vayne,True,True,4747.0,10256.0,12849.0,3080.0,RIVER_TOP,BOTTOM_LANE,BARON_GRUBS_HERALD_AREA,BOT_LANE_CORE,False,True,True,True,True,False,False,10823.002356093248,2580.0,4144.0,0.6225868725868726
6,EUW1_7705744974,100,blue,16.2,5,5.000866666666667,Karma,Caitlyn,True,True,5990.0,4103.0,11710.0,1978.0,OWN_BOTTOM_JUNGLE,BOTTOM_LANE,BLUE_BOT_JUNGLE,BOT_LANE_CORE,False,True,True,True,True,False,False,6101.968944529298,1063.0,1470.0,0.7231292517006803
6,EUW1_7705744974,100,blue,16.2,6,6.0013,Karma,Caitlyn,True,False,6857.0,8479.0,9657.0,1135.0,RIVER_TOP,BOTTOM_LANE,RIVER_TOP,BOT_LANE_CORE,False,True,False,True,False,False,True,7859.665132815774,1063.0,2072.0,0.513030888030888
6,EUW1_7705744974,100,blue,16.2,7,7.001366666666667,Karma,Caitlyn,True,False,2449.0,2284.0,6249.0,6098.0,OWN_BASE,MID_LANE,BLUE_BASE,MID_LANE,False,False,False,False,False,True,True,5383.920133137192,1254.0,2140.0,0.585981308411215
6,EUW1_7705744974,100,blue,16.2,8,8.001666666666667,Karma,Caitlyn,True,True,4875.0,8587.0,6937.0,1260.0,OWN_TOP_JUNGLE,BOTTOM_LANE,RIVER_TOP,BOT_LANE_CORE,False,True,True,True,True,False,False,7611.620918043672,1254.0,2164.0,0.5794824399260629
6,EUW1_7705744974,100,blue,16.2,9,9.00355,Karma,Caitlyn,True,True,3871.0,3357.0,9975.0,857.0,OWN_BASE,BOTTOM_LANE,BLUE_BOT_JUNGLE,BOT_LANE_CORE,False,True,True,True,True,False,False,6596.121284512588,1354.0,2660.0,0.5090225563909775
6,EUW1_7705744974,100,blue,16.2,10,10.003666666666666,Karma,Caitlyn,True,True,2046.0,1518.0,5254.0,758.0,OWN_BASE,BOTTOM_LANE,BLUE_BASE,BOT_LANE_CORE,False,False,False,False,False,True,False,3296.7960203810003,1735.0,3293.0,0.5268751897965381
6,EUW1_7705744974,100,blue,16.2,11,11.004133333333334,Karma,Caitlyn,True,True,8590.0,4650.0,11697.0,1829.0,OWN_BOTTOM_JUNGLE,BOTTOM_LANE,BLUE_BOT_JUNGLE,BOT_LANE_CORE,False,True,True,True,True,False,False,4196.604579895514,1735.0,3789.0,0.4579044602797572
2,EUW1_7706461344,100,blue,16.2,5,5.003633333333333,Yuumi,Zeri,True,True,4749.0,1048.0,11628.0,1942.0,BOTTOM_LANE,BOTTOM_LANE,BOT_LANE_CORE,BOT_LANE_CORE,True,True,True,False,True,False,False,6936.849212718985,791.0,1080.0,0.7324074074074074
2,EUW1_7706461344,100,blue,16.2,6,6.004083333333333,Yuumi,Zeri,True,True,2854.0,1670.0,10709.0,929.0,OWN_BASE,BOTTOM_LANE,BLUE_BASE,BOT_LANE_CORE,False,False,False,False,False,True,False,7889.873636503946,928.0,1452.0,0.6391184573002755
2,EUW1_7706461344,100,blue,16.2,7,7.004433333333333,Yuumi,Zeri,True,True,8268.0,3575.0,12722.0,2442.0,OWN_BOTTOM_JUNGLE,BOTTOM_LANE,BLUE_BOT_JUNGLE,BOT_LANE_CORE,False,True,True,True,True,False,False,4595.846494390343,1083.0,1775.0,0.6101408450704225
2,EUW1_7706461344,100,blue,16.2,8,8.004983333333334,Yuumi,Zeri,True,False,6274.0,2718.0,9644.0,856.0,OWN_BOTTOM_JUNGLE,BOTTOM_LANE,BLUE_BOT_JUNGLE,BOT_LANE_CORE,False,True,False,True,False,False,True,3850.1875279004266,1083.0,2240.0,0.48348214285714286
2,EUW1_7706461344,100,blue,16.2,9,9.005266666666667,Yuumi,Zeri,True,True,6714.0,6953.0,8766.0,4487.0,MID_LANE,OWN_BOTTOM_JUNGLE,MID_LANE,BOT_SIDE_NEAR,False,True,True,True,True,False,False,3208.092891423189,1449.0,2550.0,0.5682352941176471
2,EUW1_7706461344,100,blue,16.2,10,10.0053,Yuumi,Zeri,True,True,5428.0,6185.0,11162.0,1493.0,MID_LANE,BOTTOM_LANE,MID_LANE,BOT_LANE_CORE,False,True,True,True,True,False,False,7409.022877545999,1655.0,2842.0,0.5823363828289937
2,EUW1_7706461344,100,blue,16.2,11,11.005566666666667,Yuumi,Zeri,True,True,7661.0,7421.0,9768.0,875.0,MID_LANE,BOTTOM_LANE,MID_LANE,BOT_LANE_CORE,False,True,True,True,True,False,False,6876.740870499629,2161.0,3400.0,0.6355882352941177
10,EUW1_7708270762,200,red,16.2,5,5.0023,Lux,Caitlyn,True,True,14206.0,12936.0,13463.0,4147.0,OWN_BASE,BOTTOM_LANE,RED_BASE,BOT_LANE_CORE,False,False,False,False,False,True,False,8820.349766307456,865.0,1423.0,0.6078706957132818
10,EUW1_7708270762,200,red,16.2,6,6.002533333333333,Lux,Caitlyn,False,True,13661.0,3928.0,14009.0,4434.0,BOTTOM_LANE,BOTTOM_LANE,BOT_LANE_CORE,BOT_LANE_CORE,True,False,False,False,False,True,False,614.1172526480591,1147.0,1904.0,0.6024159663865546
10,EUW1_7708270762,200,red,16.2,7,7.002633333333334,Lux,Caitlyn,True,True,14201.0,14314.0,13207.0,3380.0,OWN_BASE,BOTTOM_LANE,RED_BASE,BOT_LANE_CORE,False,False,False,False,False,True,False,10979.088851084138,1333.0,2244.0,0.5940285204991087
10,EUW1_7708270762,200,red,16.2,8,8.002666666666666,Lux,Caitlyn,False,True,4485.0,13566.0,12985.0,2918.0,TOP_LANE,BOTTOM_LANE,TOP_LANE_CORE,BOT_LANE_CORE,False,False,False,False,False,True,False,13624.606563126878,1518.0,2771.0,0.5478166726813425
10,EUW1_7708270762,200,red,16.2,9,9.00315,Lux,Caitlyn,True,True,8337.0,8380.0,14064.0,5134.0,MID_LANE,BOTTOM_LANE,MID_LANE,BOT_LANE_CORE,False,True,True,True,True,False,False,6582.935895176254,1518.0,3404.0,0.44594594594594594
10,EUW1_7708270762,200,red,16.2,10,10.003366666666667,Lux,Caitlyn,True,True,9788.0,7283.0,14131.0,11544.0,OWN_BOTTOM_JUNGLE,OWN_BASE,RED_BOT_JUNGLE,RED_BASE,False,True,False,True,False,False,True,6084.223039961635,1896.0,4073.0,0.46550454210655534
10,EUW1_7708270762,200,red,16.2,11,11.003883333333333,Lux,Caitlyn,True,True,7199.0,8629.0,13112.0,2921.0,RIVER_TOP,BOTTOM_LANE,RED_TOP_JUNGLE,BOT_LANE_CORE,False,True,True,True,True,False,False,8218.566359165081,2621.0,4631.0,0.5659684733318937
3,EUW1_7708715292,200,red,16.2,5,5.0032,Senna,Caitlyn,True,True,5990.0,13420.0,13249.0,3682.0,TOP_LANE,BOTTOM_LANE,TOP_LANE_CORE,BOT_LANE_CORE,False,True,True,True,True,False,False,12145.852172655486,857.0,1415.0,0.6056537102473498
3,EUW1_7708715292,200,red,16.2,6,6.00365,Senna,Caitlyn,False,True,7275.0,7966.0,11416.0,1498.0,MID_LANE,BOTTOM_LANE,MID_LANE,BOT_LANE_CORE,False,False,False,False,False,True,False,7680.032877533794,1128.0,2094.0,0.5386819484240688
3,EUW1_7708715292,200,red,16.2,7,7.004166666666666,Senna,Caitlyn,True,True,7880.0,7548.0,14094.0,7901.0,MID_LANE,BOTTOM_LANE,MID_LANE,BOT_LANE_CORE,False,True,True,True,True,False,False,6224.018396502376,1323.0,2417.0,0.5473727761688043
3,EUW1_7708715292,200,red,16.2,8,8.004383333333333,Senna,Caitlyn,True,True,12244.0,13029.0,13282.0,4352.0,OWN_BASE,BOTTOM_LANE,RED_BASE,BOT_LANE_CORE,False,False,False,False,False,True,False,8738.865658653875,1640.0,2696.0,0.6083086053412463
3,EUW1_7708715292,200,red,16.2,9,9.004566666666667,Senna,Caitlyn,False,True,6756.0,7361.0,12644.0,2426.0,MID_LANE,BOTTOM_LANE,MID_LANE,BOT_LANE_CORE,False,False,False,False,False,True,False,7682.627740558564,1971.0,3329.0,0.5920696905977771
3,EUW1_7708715292,200,red,16.2,10,10.005016666666666,Senna,Caitlyn,True,True,3782.0,11172.0,13489.0,4666.0,RIVER_TOP,BOTTOM_LANE,TOP_SIDE_NEAR,BOT_LANE_CORE,False,True,True,True,True,False,False,11685.627283120064,2124.0,3962.0,0.5360928823826351
3,EUW1_7708715292,200,red,16.2,11,11.005483333333334,Senna,Caitlyn,True,True,8088.0,8037.0,13113.0,4250.0,MID_LANE,BOTTOM_LANE,MID_LANE,BOT_LANE_CORE,False,True,True,True,True,False,False,6292.21693840891,2346.0,4334.0,0.541301338255653
13,EUW1_7708834871,200,red,16.2,5,5.00365,Yuumi,Tristana,True,False,12002.0,3859.0,12132.0,3482.0,OWN_BOTTOM_JUNGLE,RIVER_BOT,BOT_SIDE_NEAR,BOT_SIDE_NEAR,True,True,False,False,False,False,True,398.7844029046272,1548.0,1548.0,1.0
13,EUW1_7708834871,200,red,16.2,6,6.00395,Yuumi,Tristana,True,True,12439.0,6578.0,13089.0,2518.0,OWN_BOTTOM_JUNGLE,BOTTOM_LANE,RED_BOT_JUNGLE,BOT_LANE_CORE,False,True,True,True,True,False,False,4111.702810272162,1548.0,1765.0,0.8770538243626063
13,EUW1_7708834871,200,red,16.2,7,7.00445,Yuumi,Tristana,True,True,13132.0,2522.0,14205.0,13443.0,BOTTOM_LANE,OWN_BASE,BOT_LANE_CORE,RED_BASE,True,True,False,False,False,False,True,10973.585102417532,1635.0,2336.0,0.6999143835616438
13,EUW1_7708834871,200,red,16.2,8,8.004483333333333,Yuumi,Tristana,True,True,7637.0,11143.0,12722.0,3958.0,OWN_TOP_JUNGLE,OWN_BOTTOM_JUNGLE,RED_TOP_JUNGLE,BOT_SIDE_NEAR,False,True,True,True,True,False,False,8802.35479857521,1703.0,2677.0,0.636159880463205
13,EUW1_7708834871,200,red,16.2,9,9.004633333333333,Yuumi,Tristana,True,False,3842.0,10502.0,13116.0,4867.0,RIVER_TOP,BOTTOM_LANE,TOP_SIDE_NEAR,BOT_LANE_CORE,False,True,False,True,False,False,True,10851.741841750567,2115.0,3155.0,0.6703645007923931
13,EUW1_7708834871,200,red,16.2,10,10.004666666666667,Yuumi,Tristana,True,True,7560.0,5170.0,12372.0,4258.0,ENEMY_BOTTOM_JUNGLE,OWN_BOTTOM_JUNGLE,BLUE_BOT_JUNGLE,BOT_SIDE_NEAR,False,True,True,True,True,False,False,4897.661482789516,2115.0,3602.0,0.5871737923375903
13,EUW1_7708834871,200,red,16.2,11,11.005133333333333,Yuumi,Tristana,True,True,13617.0,4974.0,14121.0,4567.0,BOTTOM_LANE,BOTTOM_LANE,BOT_LANE_CORE,BOT_LANE_CORE,True,True,True,False,False,False,False,647.8155601712574,2368.0,3881.0,0.6101520226745684
5,EUW1_7714775914,200,red,16.2,5,5.002566666666667,Senna,Kaisa,True,True,4279.0,11672.0,13242.0,3415.0,OWN_TOP_JUNGLE,BOTTOM_LANE,TOP_SIDE_NEAR,BOT_LANE_CORE,False,True,True,True,True,False,False,12186.608141726721,1216.0,1177.0,1.0331350892098556
5,EUW1_7714775914,200,red,16.2,6,6.002633333333334,Senna,Kaisa,True,True,13737.0,14018.0,13029.0,3568.0,OWN_BASE,BOTTOM_LANE,RED_BASE,BOT_LANE_CORE,False,False,False,False,False,True,False,10473.95646353373,1425.0,1549.0,0.9199483537766301
