error_rank,match_id,team_id,prediction,actual,signed_error,abs_error,ally_utility_champion_name,ally_bottom_champion_name,enemy_utility_champion_name,enemy_bottom_champion_name,valid_support_frames_v5,valid_coop_frames_v5,outside_ratio_v5,far_ratio_v5,xp_gap_v5,frames_out_bot_context_v5,frames_in_bot_context_v5,frames_far_from_adc_v5,mean_distance_to_adc_v5,support_adc_xp_ratio_v5,support_score_confidence_v5,raw_support_roam_score_v5_geometry,support_roam_score_v5_geometry,frames_in_window,valid_support_frames_reconstructed,valid_coop_frames_reconstructed,invalid_support_frames,invalid_coop_frames,support_dead_or_base_frames,adc_dead_or_base_frames,outside_ratio_reconstructed,far_ratio_reconstructed,xp_ratio_reconstructed,xp_gap_reconstructed,raw_score_reconstructed,score_reconstructed,mean_distance_to_adc_reconstructed,max_distance_to_adc,frames_out_bot_context_reconstructed,frames_far_from_adc_reconstructed,score_reconstructed_delta,raw_score_reconstructed_delta,label_diagnostic,timeline_plot
1,EUW1_7831489390,200,0.2085366053424323,1.0,-0.7914633946575678,0.7914633946575678,Yuumi,Smolder,Pyke,Velkoz,5,5.0,1.0,1.0,1.0,5,0,5.0,5401.205496648775,0.5678733031674208,0.8333333333333334,1.0,1.0,7,5,5,2,0,2,0,1.0,1.0,0.5678733031674208,1.0,1.0,1.0,5401.205496648775,10364.467473054272,5,5,0.0,0.0,consistent_full_roam_label,timeline_case_01_EUW1_7831489390_200.png
2,EUW1_7706461344,100,0.1739646687470375,0.9295642077597724,-0.7555995390127349,0.7555995390127349,Yuumi,Zeri,Sona,Lucian,6,5.0,0.8333333333333334,1.0,0.9110294117647058,5,1,5.0,5805.310469315629,0.6355882352941177,1.0,0.9072058823529412,0.9295642077597724,7,6,5,1,1,1,1,0.8333333333333334,1.0,0.6355882352941177,0.9110294117647058,0.9072058823529412,0.9295642077597724,5805.310469315629,7889.873636503946,5,5,0.0,0.0,mostly_outside_bot_context,timeline_case_02_EUW1_7706461344_100.png
3,EUW1_7708715292,200,0.3096420467140087,1.0,-0.6903579532859914,0.6903579532859914,Senna,Caitlyn,Blitzcrank,Tristana,4,4.0,1.0,1.0,1.0,4,0,4.0,9086.928697671709,0.541301338255653,0.6666666666666666,1.0,1.0,7,4,4,3,0,3,0,1.0,1.0,0.541301338255653,1.0,1.0,1.0,9086.928697671709,12145.852172655486,4,4,0.0,0.0,consistent_full_roam_label,timeline_case_03_EUW1_7708715292_200.png
4,EUW1_7783266689,200,0.2629699526163075,0.9432054457287128,-0.6802354931124053,0.6802354931124053,Senna,Ashe,Lulu,Twitch,6,5.0,0.8333333333333334,1.0,1.0,5,1,5.0,7991.328911190511,0.4179327521793275,1.0,0.925,0.9432054457287128,7,6,5,1,1,1,1,0.8333333333333334,1.0,0.4179327521793275,1.0,0.925,0.9432054457287128,7991.328911190509,9556.813276401292,5,5,0.0,0.0,mostly_outside_bot_context,timeline_case_04_EUW1_7783266689_200.png
5,EUW1_7714775914,200,0.3035550282256266,0.9707064374405748,-0.6671514092149482,0.6671514092149482,Senna,Kaisa,Rell,Ezreal,4,4.0,1.0,1.0,0.805669325285622,4,0,4.0,9897.338918020048,0.6777322698857512,0.6666666666666666,0.9611338650571244,0.9707064374405748,7,4,4,3,0,3,0,1.0,1.0,0.6777322698857512,0.805669325285622,0.9611338650571244,0.9707064374405748,9897.338918020048,12186.608141726721,4,4,0.0,0.0,consistent_full_roam_label,timeline_case_05_EUW1_7714775914_200.png
6,EUW1_7705744974,100,0.3366410986010733,1.0,-0.6633589013989267,0.6633589013989267,Karma,Caitlyn,Lulu,Ashe,5,4.0,1.0,1.0,1.0,5,0,4.0,6126.578931745268,0.4579044602797572,0.8333333333333334,1.0,1.0,7,5,4,2,1,2,2,1.0,1.0,0.4579044602797572,1.0,1.0,1.0,6126.578931745268,7859.665132815774,5,4,0.0,0.0,consistent_full_roam_label,timeline_case_06_EUW1_7705744974_100.png
7,EUW1_7830670024,100,0.3406474206862067,1.0,-0.6593525793137933,0.6593525793137933,Sona,Ashe,Blitzcrank,Jinx,7,5.0,1.0,1.0,1.0,7,0,5.0,8580.362339039146,0.5331172776990075,1.0,1.0,1.0,7,7,5,0,2,0,2,1.0,1.0,0.5331172776990075,1.0,1.0,1.0,8580.362339039144,12136.55408260516,7,5,0.0,0.0,consistent_full_roam_label,timeline_case_07_EUW1_7830670024_100.png
8,EUW1_7705182186,200,0.1583756974959086,0.8167022853786017,-0.658326587882693,0.658326587882693,Yuumi,Aphelios,Velkoz,Caitlyn,6,6.0,0.6666666666666666,0.8333333333333334,0.8586626139817629,4,2,5.0,4103.4259983141255,0.6565349544072948,1.0,0.7633991894630192,0.8167022853786017,7,6,6,1,0,1,1,0.6666666666666666,0.8333333333333334,0.6565349544072948,0.8586626139817629,0.7633991894630192,0.8167022853786017,4103.425998314126,8656.465791534096,4,5,0.0,0.0,mostly_far_from_adc,timeline_case_08_EUW1_7705182186_200.png
9,EUW1_7716308181,100,0.3421871747607798,1.0,-0.6578128252392201,0.6578128252392201,Velkoz,Twitch,Nami,Mel,5,5.0,1.0,1.0,1.0,5,0,5.0,6210.468645409208,0.5591911764705882,0.8333333333333334,1.0,1.0,7,5,5,2,0,2,0,1.0,1.0,0.5591911764705882,1.0,1.0,1.0,6210.468645409208,12083.124637278224,5,5,0.0,0.0,consistent_full_roam_label,timeline_case_09_EUW1_7716308181_100.png
10,EUW1_7708270762,200,0.3428767431544603,1.0,-0.6571232568455396,0.6571232568455396,Lux,Caitlyn,Karma,Jhin,3,2.0,1.0,1.0,1.0,3,0,2.0,7400.751127170668,0.5659684733318937,0.5,1.0,1.0,7,3,2,4,1,4,1,1.0,1.0,0.5659684733318937,1.0,1.0,1.0,7400.751127170668,13624.606563126878,3,2,0.0,0.0,low_valid_support_frames,timeline_case_10_EUW1_7708270762_200.png
11,EUW1_7830110048,100,0.3197948722722933,0.9768110531297456,-0.6570161808574522,0.6570161808574522,Nami,Yasuo,Soraka,Smolder,6,6.0,1.0,1.0,0.8460076045627376,6,0,6.0,10239.453998914494,0.6615969581749049,1.0,0.9692015209125475,0.9768110531297455,7,6,6,1,0,1,0,1.0,1.0,0.6615969581749049,0.8460076045627376,0.9692015209125475,0.9768110531297455,10239.453998914492,14745.90248170657,6,6,0.0,0.0,consistent_full_roam_label,timeline_case_11_EUW1_7830110048_100.png
12,EUW1_7806861902,200,0.347330692420286,0.9981423621611766,-0.6508116697408906,0.6508116697408906,Sona,Yunara,Camille,Corki,6,3.0,1.0,1.0,0.9876195835678108,6,0,3.0,9652.960875514935,0.6049521665728756,1.0,0.9975239167135622,0.9981423621611766,7,6,3,1,3,1,3,1.0,1.0,0.6049521665728756,0.9876195835678108,0.9975239167135622,0.9981423621611766,9652.960875514937,14833.510879087256,6,3,0.0,0.0,low_valid_coop_frames,timeline_case_12_EUW1_7806861902_200.png
13,EUW1_7708834871,200,0.130511375849925,0.7771988451075833,-0.6466874692576583,0.6466874692576583,Yuumi,Tristana,Milio,Lucian,7,4.0,0.5714285714285714,0.75,0.974619943313579,4,3,3.0,4614.8836629520365,0.6101520226745684,1.0,0.714566845805573,0.7771988451075833,7,7,4,0,3,0,3,0.5714285714285714,0.75,0.6101520226745684,0.974619943313579,0.714566845805573,0.7771988451075833,4614.8836629520365,10973.585102417532,4,3,0.0,0.0,possible_adc_death_base_coop_artifact,timeline_case_13_EUW1_7708834871_200.png
14,EUW1_7705296763,200,0.3453058627302333,0.9915179091201616,-0.6462120463899284,0.6462120463899284,Braum,Vayne,Karma,Varus,6,5.0,1.0,1.0,0.9435328185328185,6,0,5.0,9664.91093773904,0.6225868725868726,1.0,0.9887065637065637,0.9915179091201616,7,6,5,1,1,1,1,1.0,1.0,0.6225868725868726,0.9435328185328185,0.9887065637065637,0.9915179091201616,9664.91093773904,13169.127913419325,6,5,0.0,0.0,consistent_full_roam_label,timeline_case_14_EUW1_7705296763_200.png
