,team_id,support_roam_score_v5_geometry,outside_ratio_v5,support_roam_score_v3,outside_ratio,score_delta_v5_minus_v3,outside_ratio_delta_v5_minus_v3
count,337094.0,337094.0,337094.0,337094.0,337094.0,337094.0,337094.0
mean,150.00118661263625,0.3925581980849583,0.1954252268760981,0.37253815727203016,0.16153958186595968,0.0200200408129282,0.03388564501013847
std,50.00007414937424,0.1894274520406602,0.1872620135926732,0.18029183036822666,0.17315840182432382,0.06432978659523346,0.13125186069569927
min,100.0,0.0,0.0,0.0,0.0,-0.40283357098399825,-1.0
1%,100.0,0.0,0.0,0.0,0.0,-0.1435154818042488,-0.3333333333333333
5%,100.0,0.09101845550970743,0.0,0.08698447946319282,0.0,-0.08519167148906667,-0.16666666666666666
25%,100.0,0.25467328481363943,0.0,0.2410285256833955,0.0,0.0,0.0
50%,200.0,0.3896425513561819,0.16666666666666666,0.3678449177002483,0.14285714285714285,0.0,0.0
75%,200.0,0.5241725615235937,0.3333333333333333,0.49509376713164527,0.2857142857142857,0.06533045927674593,0.14285714285714285
95%,200.0,0.7113450175924957,0.5714285714285714,0.6756652037432384,0.5,0.13337293039312784,0.2857142857142857
99%,200.0,0.8392797978785536,0.7142857142857143,0.8051110982743945,0.6666666666666666,0.1934696262413119,0.4
max,200.0,1.0,1.0,1.0,1.0,0.5029733718731741,0.8333333333333334
