model,trained_target,evaluation_scale,eval_split,n_train,n_eval,notes,mse,rmse,mae,r2,pearson_corr,spearman_corr,pred_std,target_std,compression_ratio,within_005,within_010,within_015,within_020,fixed_bin_acc,fixed_bin_adjacent_acc,train_quantile_bin_acc,train_quantile_adjacent_acc,fixed_bin_spearman,train_quantile_bin_spearman,fixed_bin_kendall_tau,train_quantile_bin_kendall_tau,fixed_bin_qwk,train_quantile_bin_qwk,used_sample_weight,seed,feature_protocol_id,test_dataset,metrics_source
Global Mean,raw,raw,test,268322,57468,Sample-weighted train mean.,0.03633108183107663,0.1906071400317329,0.15513229794788497,-0.0008099183011023303,,,0.0,0.19052999878163798,0.0,0.19379480754506856,0.3791153337509571,0.543084847219322,0.688870327834621,0.4651110183058398,0.9667815131899492,0.25120066819795367,0.7475290596505881,,,,,,,True,,baseline_no_features,C:\Users\adria\Desktop\TFG\final\data\training\test.parquet,recomputed_from_predictions
Champion Mean,raw,raw,test,268322,57468,Sample-weighted support-champion means. 4 unseen support champions in test.,0.03178990598313717,0.17829724053707946,0.1438116783888113,0.12428555368343108,0.3533109058404073,0.3361690309963734,0.06796592411489616,0.19052999878163798,0.35672033039159534,0.21225725621215286,0.41198580079348507,0.586535115194543,0.7305978979606041,0.47953643766965964,0.9679647803995267,0.2917623721027354,0.838153407113524,0.2101246376816857,0.28776744316114294,0.1968435341943008,0.26003253939627413,0.1413357088493884,0.23397597622705202,True,,baseline_support_champion_only,C:\Users\adria\Desktop\TFG\final\data\training\test.parquet,recomputed_from_predictions
Global Mean,quantile,quantile,test,268322,57468,Sample-weighted train mean.,0.08686325526065047,0.29472572887457665,0.25545993688185187,-0.0007001218449371738,,,1.1102230246251565e-16,0.294622611057171,3.76828859347024e-16,,,,,,,,,,,,,,,True,,,C:\Users\adria\Desktop\TFG\final\data\training\test.parquet,recomputed_from_predictions
Global Mean (quantile->raw),quantile,raw,test,268322,57468,Quantile predictions inverse-transformed to raw scale. Sample-weighted train mean.,0.036354409072206814,0.19066832215186352,0.15515014012082734,-0.0014525122760968845,,,5.551115123125783e-17,0.19052999878163798,2.9135123910265634e-16,0.19426463423122434,0.37739263590171923,0.5442507134405234,0.686886615159741,0.4651110183058398,0.9667815131899492,0.25120066819795367,0.7475290596505881,,,,,,,True,,,C:\Users\adria\Desktop\TFG\final\data\training\test.parquet,recomputed_from_predictions
Champion Mean,quantile,quantile,test,268322,57468,Sample-weighted support-champion means. 4 unseen support champions in test.,0.07625367752093819,0.27614068429142813,0.23499793318610157,0.12152654010774899,0.34927499736812884,0.336140383409151,0.1042295206669687,0.294622611057171,0.353772985355639,,,,,,,,,,,,,,,True,,,C:\Users\adria\Desktop\TFG\final\data\training\test.parquet,recomputed_from_predictions
Champion Mean (quantile->raw),quantile,raw,test,268322,57468,Quantile predictions inverse-transformed to raw scale. Sample-weighted support-champion means. 4 unseen support champions in test.,0.03199212032546168,0.17886341248411225,0.14465269170122147,0.11871516851400321,0.35297723739248277,0.336140383409151,0.05414621407704697,0.19052999878163798,0.2841873427979323,0.20945569708359435,0.4080531774204775,0.5808449919955454,0.7273961160993945,0.4732198788891209,0.9668337161550776,0.28556762024082966,0.8411637781025962,0.12674430922694602,0.28310263130529756,0.11894265711841721,0.2576449914713599,0.03512749066573939,0.22070237173473328,True,,,C:\Users\adria\Desktop\TFG\final\data\training\test.parquet,recomputed_from_predictions
HistGBT,raw,raw,test,268322,57468,,0.03049828399715769,0.17463757899477905,0.14081499608648268,0.15986577946020153,0.40064201760844365,0.3869731287230126,0.07426269510402678,0.19052999878163798,0.38976904203488466,0.21664230528294007,0.4195552307371059,0.5982111783949329,0.7416127236027006,0.4826338136006125,0.9710099533653511,0.30157652954687825,0.8471497181039883,0.23027268660585248,0.3271918395080084,0.21561543692638074,0.29362465398269977,0.15232455837169612,0.2758732993077242,,123.0,draft_10_champions_side,C:\Users\adria\Desktop\TFG\final\data\training\test.parquet,recomputed_from_predictions
HistGBT,quantile,quantile,test,268322,57468,,0.07321898341428758,0.2705900652542284,0.22974119290315664,0.15648745370895822,0.39623867234229215,0.38726236884853704,0.11408392701309003,0.294622611057171,0.38722054157259583,,,,,,,,,,,,,,,,,,C:\Users\adria\Desktop\TFG\final\data\training\test.parquet,recomputed_from_predictions
HistGBT (quantile->raw),quantile,raw,test,268322,57468,Quantile predictions inverse-transformed to raw scale.,0.030812088281205248,0.17553372405667592,0.14194989315336567,0.15122143351585549,0.40059427696577227,0.38726259837249494,0.059151665042818366,0.19052999878163798,0.3104585389233678,0.2130751026658314,0.4155008004454653,0.5899805108930187,0.7375234913343078,0.4777615368552934,0.9697744831906452,0.2903702930326443,0.852578826477344,0.17992077806464934,0.3197222678599008,0.16868692546688446,0.2903531727943831,0.08396223606077657,0.25182358045995146,,,,C:\Users\adria\Desktop\TFG\final\data\training\test.parquet,recomputed_from_predictions
HistGBT,raw,raw,test,268322,57468,,0.030531485215060605,0.17473261062280449,0.14089533405430332,0.15895118769738514,0.399498338783711,0.3863638323597353,0.07405536328472004,0.19052999878163798,0.3886808573887264,0.2176689635971323,0.4192072109695831,0.5984895942089511,0.7416823275562052,0.482947031391383,0.9707663395280852,0.30157652954687825,0.8474281339180065,0.22958552281763864,0.3275614346428781,0.21494260566691653,0.2939904899531773,0.15120060647397526,0.2761854776217465,,42.0,draft_10_champions_side,C:\Users\adria\Desktop\TFG\final\data\training\test.parquet,recomputed_from_predictions
HistGBT,quantile,quantile,test,268322,57468,,0.07326214977095472,0.2706698168820357,0.2298070095205167,0.15599015967770413,0.39565065753001105,0.3869525760820539,0.11355015601186212,0.294622611057171,0.3854088306543041,,,,,,,,,,,,,,,,,,C:\Users\adria\Desktop\TFG\final\data\training\test.parquet,recomputed_from_predictions
