model,trained_target,decile,n,pred_mean,true_mean,true_std,abs_error_mean,true_q25,true_q75
Champion Mean,raw,1,5747,0.28043981466052487,0.2888930870097416,0.18092592265238627,0.13763554614258056,0.146787585803561,0.41060165379467173
Champion Mean,raw,2,5747,0.3177339967906454,0.3221737171998602,0.18089382926607916,0.14685177545345235,0.18314866429317245,0.44276143582687
Champion Mean,raw,3,5747,0.3366354275516351,0.33746310378010336,0.17840703607875685,0.14434491482005285,0.20539134619643207,0.4576605778471359
Champion Mean,raw,4,5747,0.3517822758812571,0.35905884768052543,0.1816653061871258,0.14673404810280194,0.22513213107382635,0.4835486111157326
Champion Mean,raw,5,5747,0.37758120825396385,0.3810496128367401,0.17679594840224563,0.1426392120108254,0.2549108653875627,0.502841455121826
Champion Mean,raw,6,5747,0.40030159368351576,0.4075477017008863,0.17551319037561766,0.1421015800260275,0.28297926845268573,0.5301466206729422
Champion Mean,raw,7,5747,0.4137921280822444,0.41616767948276023,0.17663291734699388,0.14322495684747968,0.2934517877182866,0.5417866815793395
Champion Mean,raw,8,5747,0.4277620577652511,0.4261834088631768,0.18187585750471408,0.14627742360855547,0.29906975624424414,0.5492655683806007
Champion Mean,raw,9,5746,0.458303954663878,0.4648033328765762,0.1813612033266444,0.1450378063755751,0.34075030396865624,0.5869136436484312
Champion Mean,raw,10,5746,0.5071713958226483,0.5120857707820524,0.17916485477147281,0.14326963953488964,0.3922924029542179,0.6350311665545437
Champion Mean (quantile->raw),quantile,1,5747,0.29838209568215085,0.2888930870097416,0.18092592265238627,0.1396021958382966,0.146787585803561,0.41060165379467173
Champion Mean (quantile->raw),quantile,2,5747,0.3300928008066735,0.3222113928685458,0.17962787944934422,0.1462728616071713,0.18372878751756944,0.44059972742777875
Champion Mean (quantile->raw),quantile,3,5747,0.3457803162836091,0.3374651177427526,0.179817858934646,0.1462766879377897,0.20528865154454054,0.45972181490605435
Champion Mean (quantile->raw),quantile,4,5747,0.3582747094388145,0.3591179726042489,0.18169443908696908,0.146822860548731,0.22534533188119954,0.483377741355261
Champion Mean (quantile->raw),quantile,5,5747,0.37778011290847946,0.3809507982816819,0.1766477563733683,0.14256186569985954,0.25490287141316037,0.502841455121826
Champion Mean (quantile->raw),quantile,6,5747,0.3958299447913031,0.4082082141011704,0.17603194215238652,0.1428626192835252,0.2820110630697003,0.5310083394307343
Champion Mean (quantile->raw),quantile,7,5747,0.40725889938297205,0.4155477271751176,0.17613402099689854,0.14285553327403525,0.2941272107056882,0.5405143312184308
