model,trained_target,evaluation_scale,eval_split,n_train,n_eval,notes,mse,rmse,mae,r2,pearson_corr,spearman_corr,pred_std,target_std,compression_ratio,within_005,within_010,within_015,within_020,fixed_bin_acc,fixed_bin_adjacent_acc,train_quantile_bin_acc,train_quantile_adjacent_acc,fixed_bin_spearman,train_quantile_bin_spearman,fixed_bin_kendall_tau,train_quantile_bin_kendall_tau,fixed_bin_qwk,train_quantile_bin_qwk,seed,feature_protocol_id,test_dataset,metrics_source,diagnostic_family,support_effect_r2,support_effect_spearman_corr,r2_lift_over_support_effect,spearman_lift_over_support_effect,residual_r2,residual_spearman_corr
HistGBT + Archetypes,raw,raw,test,268322,57468,,0.03045243101657058,0.17450624921924882,0.14089347607383773,0.16112888849638762,0.4019871787920651,0.38805376040217504,0.07264832976718741,0.19052999878163798,0.3812960175916863,0.21678151318994918,0.4181457506786386,0.5968365003132178,0.7405164613350038,0.4825816106354841,0.9711839632491126,0.3024465789656853,0.8472367230458691,0.2338198696880587,0.32807243469675906,0.21900309513655633,0.29443236388505833,0.15781304820577824,0.27760745754991434,42.0,,C:\Users\adria\Desktop\TFG\final\data\training\test.parquet,recomputed_from_predictions,,,,,,,
HistGBT + Archetypes,quantile,quantile,test,268322,57468,,0.07318930207492319,0.2705352141125498,0.22992506238994417,0.15682939484194158,0.39629192780943795,0.3872555257739647,0.11284108551156152,0.294622611057171,0.3830021229757715,,,,,,,,,,,,,,,,,C:\Users\adria\Desktop\TFG\final\data\training\test.parquet,recomputed_from_predictions,,,,,,,
HistGBT + Archetypes (quantile->raw),quantile,raw,test,268322,57468,Quantile predictions inverse-transformed to raw scale.,0.03080045958135406,0.17550059709685908,0.14206082690387084,0.15154176854474688,0.4006958062477906,0.38725668534254587,0.05839140801077667,0.19052999878163798,0.306468316717399,0.212274657200529,0.41468295399178673,0.5891104614742118,0.7359226004037029,0.47826616551820145,0.969878889120902,0.2901614811721306,0.8520219948493074,0.18420455904456112,0.3175504188439763,0.17269051146677672,0.28822142849140664,0.08885941380732598,0.25175848314443416,,,C:\Users\adria\Desktop\TFG\final\data\training\test.parquet,recomputed_from_predictions,,,,,,,
HistGBT + Pair TE,raw,raw,test,268322,57468,OOF-smoothed pair target encodings fitted on train only.,0.030480692530791734,0.17458720609137351,0.14074299402493937,0.16035037042554545,0.40113954613332403,0.38795486619207736,0.07535826084235868,0.19052999878163798,0.39551913779585457,0.2172165378993527,0.4201120623651423,0.5986810050810886,0.742413169068003,0.4828600264495023,0.9707663395280852,0.3024465789656853,0.8472193220574928,0.23184197343250448,0.32899075410063244,0.2169897793476093,0.29502801710353893,0.1549636555385765,0.27782155815304743,,,C:\Users\adria\Desktop\TFG\final\data\training\test.parquet,recomputed_from_predictions,,,,,,,
HistGBT + Pair TE,quantile,quantile,test,268322,57468,OOF-smoothed pair target encodings fitted on train only.,0.07323471295411355,0.270619128950844,0.22962027962479828,0.1563062429959451,0.395957438112646,0.3871974311249465,0.11517637557304224,0.294622611057171,0.3909285005647189,,,,,,,,,,,,,,,,,C:\Users\adria\Desktop\TFG\final\data\training\test.parquet,recomputed_from_predictions,,,,,,,
HistGBT + Pair TE (quantile->raw),quantile,raw,test,268322,57468,Quantile predictions inverse-transformed to raw scale. OOF-smoothed pair target encodings fitted on train only.,0.030804097066175193,0.17551095996026914,0.14187646686479094,0.15144156698995737,0.39999016945196847,0.38719669683020436,0.05983669381979342,0.19052999878163798,0.31405392432910717,0.2150414143523352,0.41537899352683233,0.591389990951486,0.7383065358112341,0.47763972993666043,0.9695308693533793,0.28970905547435094,0.8525266235122155,0.17788132154674974,0.3184855590852748,0.16676738950059408,0.28934052566063534,0.08241203707522804,0.2507041031770384,,,C:\Users\adria\Desktop\TFG\final\data\training\test.parquet,recomputed_from_predictions,,,,,,,
Smoothed Support Mean,raw,raw,test,268322,57468,Sample-weighted smoothed ally-support mean fitted on train only.,0.031799646054477076,0.17832455258454197,0.1438508252328158,0.12401724457974783,0.3529571676152208,0.335586732594223,0.06702490553264669,0.19052999878163798,0.35178137805722853,,,,,,,,,,,,,,,,,C:\Users\adria\Desktop\TFG\final\data\training\test.parquet,recomputed_from_predictions,support_residual,,,,,,
Residual Context GBT,residual,residual,test,268322,57468,Residual target y - support_effect; direct ally support excluded from residual categorical features.,0.030553187892475984,0.17479470212931508,0.14084750845995903,0.03858246862549963,0.19804216095526977,0.18917375734333733,0.03685355162025503,0.17826752987773303,0.20673171185763045,,,,,,,,,,,,,,,,,C:\Users\adria\Desktop\TFG\final\data\training\test.parquet,recomputed_from_predictions,support_residual,,,,,,
Smoothed Support Mean + Residual Context GBT,raw,raw,test,268322,57468,Additive diagnostic: smoothed support effect plus residual context GBT. Direct ally support is excluded from residual categorical features and used only through explicit smoothed interactions.,0.030553187892475984,0.17479470212931508,0.14084750845995903,0.15835334547204227,0.39862236304375137,0.3853842732479788,0.0773473452665802,0.19052999878163798,0.40595888186209567,,,,,,,,,,,,,,,,,C:\Users\adria\Desktop\TFG\final\data\training\test.parquet,recomputed_from_predictions,support_residual,0.12401724457974783,0.335586732594223,0.03433610089229444,0.0497975406537558,0.03858246862549963,0.18917375734333733
OOS Group Mean Reference (botlane+side),reference,raw,test,9284,57468,Train-only botlane+side group means applied to test; unseen groups fall back to train global mean. ICC is descriptive and not used as model R2.,,,,0.1131779083411704,,,,,,,,,,,,,,,,,,,,,,C:\Users\adria\Desktop\TFG\final\data\training\test.parquet,recomputed_from_predictions,,,,,,,
